date,PM2.5,SO2,NO2
20130101,70.93,40.9,66.58
20130102,53.33,24.88,42.14
20130103,34.61,23.57,29.48
20130104,43.57,24.07,39.02
20130105,49.19,24.86,44.63
20130106,76.78,34.43,48.97
20130107,120.03,47.01,63.88
20130108,108.75,51.2,58.64
20130109,89.64,50.02,45.75
20130110,54.8,30.38,50.11
20130111,44.34,18.87,56.3
20130112,148.89,67.62,95.69
20130113,70.55,16.68,56.55
20130114,112.68,29.41,59.82
20130115,105.82,22.32,60.08
20130116,167.08,42.89,59.08
20130117,52.58,23.04,32.24
20130118,87.82,37.38,62.53
20130119,76.87,23.62,57.43
20130120,29.35,12.54,43.03
20130121,95.09,30.4,57.73
20130122,101.72,30.38,51.7
20130123,135.93,47.88,65.74
20130124,181.86,57.98,81.47
20130125,150.27,41.58,73.18
20130126,134.39,44.46,78.18
20130127,42.01,18.99,46.16
20130128,43.85,19.6,47.92
20130129,67.36,23.66,70.66
20130130,123.03,27.47,80.19
20130131,34.53,11.73,38.28
20130201,74.0,17.34,55.08
20130202,55.71,15.05,32.72
20130203,18.8,9.1,26.21
20130204,55.12,18.27,38.78
20130205,32.5,8.24,31.61
20130206,49.69,14.89,34.17
20130207,49.05,25.25,24.52
20130208,20.76,10.71,19.48
20130209,41.06,14.88,22.07
20130210,147.29,35.91,29.88
20130211,50.2,14.04,18.83
20130212,34.71,13.64,22.4
20130213,79.23,19.84,17.83
20130214,58.34,11.25,24.23
20130215,56.45,15.21,21.76
20130216,41.62,12.61,20.15
20130217,34.34,12.77,36.83
20130218,41.27,12.61,29.74
20130219,14.98,13.94,25.58
20130220,40.22,19.47,34.96
20130221,48.59,16.85,27.23
20130222,78.49,23.61,57.95
20130223,117.68,32.31,63.17
20130224,61.63,15.43,23.68
20130225,24.29,7.89,27.29
20130226,33.87,12.18,42.48
20130227,36.15,12.34,34.54
20130228,44.21,13.96,34.33
20130301,42.21,15.1,31.53
20130302,20.48,15.5,22.57
20130303,51.78,29.99,54.27
20130304,100.74,47.97,79.66
20130305,123.23,38.69,69.49
20130306,77.26,32.25,68.65
20130307,124.2,48.06,81.58
20130308,133.97,43.09,96.32
20130309,110.83,39.56,81.95
20130310,42.6,14.66,23.94
20130311,18.5,10.35,33.34
20130312,36.57,16.27,42.0
20130313,43.07,15.73,35.99
20130314,23.92,16.25,28.97
20130315,28.36,11.52,32.45
20130316,35.63,14.38,41.48
20130317,40.71,10.49,42.7
20130318,61.99,24.84,66.15
20130319,83.86,24.55,61.66
20130320,57.02,15.44,34.66
20130321,20.26,12.99,27.65
20130322,66.02,22.02,49.51
20130323,47.15,10.22,29.98
20130324,58.65,11.72,32.72
20130325,33.35,16.14,26.41
20130326,14.86,8.22,27.16
20130327,42.29,14.06,48.68
20130328,67.16,21.88,54.01
20130329,36.21,13.26,34.92
20130330,22.24,11.31,33.67
20130331,30.53,10.99,25.53
20130401,43.02,15.33,38.05
20130402,62.97,24.56,42.19
20130403,39.81,14.43,39.22
20130404,29.27,9.55,20.24
20130405,23.24,8.15,30.37
20130406,33.42,16.11,26.23
20130407,53.45,31.48,45.8
20130408,58.55,24.13,50.86
20130409,53.58,26.28,45.59
20130410,45.84,26.57,46.44
20130411,65.99,38.84,56.78
20130412,82.35,40.94,60.66
20130413,73.31,27.94,50.04
20130414,53.65,28.82,41.94
20130415,76.85,24.31,46.04
20130416,47.08,24.68,56.54
20130417,90.35,27.16,61.53
20130418,62.94,15.1,37.46
20130419,23.32,12.43,25.35
20130420,21.08,9.09,28.12
20130421,50.7,17.97,30.46
20130422,37.01,11.03,24.41
20130423,64.16,16.55,47.04
20130424,90.17,29.26,54.84
20130425,91.79,34.5,55.17
20130426,54.92,24.08,58.73
20130427,42.58,24.43,45.54
20130428,33.64,17.22,31.95
20130429,67.86,23.12,40.88
20130430,34.56,12.91,37.57
20130501,38.27,22.72,43.64
20130502,34.76,12.47,29.67
20130503,32.84,13.01,27.86
20130504,35.24,12.43,31.31
20130505,33.44,10.61,21.62
20130506,37.37,11.03,29.61
20130507,33.45,8.71,21.71
20130508,31.34,9.67,23.79
20130509,38.21,10.72,37.26
20130510,97.18,25.4,46.51
20130511,125.47,28.11,53.63
20130512,99.16,25.19,42.45
20130513,58.75,17.98,32.87
20130514,40.85,12.2,24.79
20130515,29.21,7.09,22.46
20130516,19.66,4.8,20.34
20130517,24.12,4.94,20.21
20130518,42.37,7.75,40.12
20130519,75.43,22.81,37.76
20130520,99.62,28.21,66.37
20130521,80.44,21.29,49.34
20130522,51.09,8.87,18.66
20130523,39.29,6.12,19.04
20130524,51.24,8.07,19.49
20130525,39.05,10.65,21.63
20130526,34.66,7.65,13.0
20130527,25.59,9.75,25.28
20130528,50.83,15.9,31.43
20130529,99.56,23.03,42.59
20130530,42.75,11.62,32.25
20130531,32.47,7.92,31.51
20130601,72.54,16.61,44.97
