date,PM2.5,SO2,NO2
20130101,27.1,11.76,5.65
20130102,26.63,10.99,5.88
20130103,44.36,15.1,7.43
20130104,34.97,10.41,5.64
20130105,28.34,9.0,5.42
20130106,27.89,8.95,5.29
20130107,27.74,8.69,5.0
20130108,33.63,10.03,4.73
20130109,51.25,16.01,6.44
20130110,49.56,12.75,5.63
20130111,57.76,14.57,6.0
20130112,59.1,18.24,7.54
20130113,41.04,10.61,6.46
20130114,39.03,10.67,6.59
20130115,38.15,10.18,5.95
20130116,35.54,9.52,5.94
20130117,49.27,16.32,6.84
20130118,50.57,14.46,5.92
20130119,35.53,10.03,5.68
20130120,26.31,8.03,5.17
20130121,29.13,8.53,6.47
20130122,28.09,8.56,5.62
20130123,31.81,9.67,5.59
20130124,34.18,12.5,5.56
20130125,37.29,13.09,5.64
20130126,33.76,11.06,5.75
20130127,45.42,14.2,5.7
20130128,36.32,10.56,4.9
20130129,35.72,10.85,6.3
20130130,33.28,8.88,5.3
20130131,19.75,6.19,4.02
20130201,20.6,7.31,5.79
20130202,25.14,7.54,6.28
20130203,22.69,5.62,4.81
20130204,21.59,6.14,5.16
20130205,17.26,5.26,5.13
20130206,18.3,6.06,5.62
20130207,19.44,6.24,4.03
20130208,37.61,10.96,6.18
20130209,37.44,9.33,4.46
20130210,29.36,7.95,3.43
20130211,25.84,7.51,3.65
20130212,33.44,8.38,4.48
20130213,31.49,7.59,4.04
20130214,28.17,7.24,3.81
20130215,32.58,8.37,4.27
20130216,28.25,7.71,4.21
20130217,27.43,6.99,3.95
20130218,25.34,4.77,3.25
20130219,27.62,7.73,4.28
20130220,34.13,8.79,5.28
20130221,34.56,8.6,5.14
20130222,42.58,10.46,5.54
20130223,38.1,8.52,4.57
20130224,30.28,7.03,4.16
20130225,27.55,6.48,4.26
20130226,22.19,5.3,3.8
20130227,21.44,6.94,5.34
20130228,18.7,6.4,4.76
20130301,21.17,5.93,4.57
20130302,38.41,10.64,6.64
20130303,51.42,13.94,6.25
20130304,55.2,14.39,5.62
