date,PM2.5,SO2,NO2
20130101,23.21,12.73,9.61
20130102,23.69,11.6,9.16
20130103,21.88,13.22,8.68
20130104,28.9,17.11,10.67
20130105,34.4,18.71,11.42
20130106,40.9,20.79,12.62
20130107,46.13,21.26,12.99
20130108,47.63,19.6,13.14
20130109,45.9,19.82,12.71
20130110,54.32,21.88,14.13
20130111,50.25,18.67,12.92
20130112,53.45,20.09,14.16
20130113,52.34,19.59,13.95
20130114,55.47,20.53,14.41
20130115,47.92,16.41,12.64
20130116,46.73,17.34,12.09
20130117,46.92,17.76,12.45
20130118,48.46,19.61,13.86
20130119,50.82,19.7,14.4
20130120,45.42,16.37,13.24
20130121,42.11,15.99,12.59
20130122,46.87,17.84,12.72
20130123,45.6,17.62,12.08
20130124,34.27,13.49,9.78
20130125,30.05,13.77,10.1
20130126,33.39,14.52,10.67
20130127,40.32,17.32,12.12
20130128,43.84,17.5,12.78
20130129,44.32,18.81,13.38
20130130,46.23,18.91,13.85
20130131,40.21,16.1,12.69
20130201,29.29,12.01,9.95
20130202,32.67,13.5,10.73
20130203,31.87,12.94,10.35
20130204,26.07,10.7,8.89
20130205,26.47,11.89,9.79
20130206,32.97,12.74,8.91
20130207,23.53,9.74,7.0
20130208,20.36,11.15,7.06
20130209,27.5,12.68,7.14
20130210,39.4,13.74,7.18
20130211,32.14,12.44,7.26
20130212,30.68,12.23,7.03
20130213,33.09,13.1,7.33
20130214,30.03,11.24,6.85
20130215,31.18,12.36,7.36
20130216,37.89,14.35,8.38
20130217,31.77,11.04,7.62
20130218,23.15,9.94,7.0
20130219,20.83,10.99,7.27
20130220,23.53,10.34,7.34
20130221,28.48,11.52,8.21
20130222,28.8,11.62,8.05
20130223,33.9,13.58,9.29
20130224,40.95,15.31,10.16
20130225,40.76,13.23,9.83
20130226,40.15,12.6,9.87
20130227,49.76,14.7,10.79
20130228,39.83,11.01,8.62
20130301,20.75,7.84,6.06
20130302,21.04,10.42,7.4
20130303,24.7,11.02,8.33
20130304,26.14,11.7,9.38
20130305,31.08,14.13,11.14
20130306,31.03,11.56,10.21
20130307,31.74,11.17,9.35
20130308,33.17,11.28,9.16
20130309,38.21,9.22,7.57
20130310,29.85,8.1,6.42
20130311,34.25,11.55,8.6
20130312,30.53,9.12,7.89
20130313,26.99,9.08,7.36
20130314,29.47,12.22,8.69
20130315,33.39,12.45,9.25
20130316,35.75,12.74,10.34
20130317,34.11,10.95,8.53
20130318,27.65,8.7,6.67
20130319,24.76,8.4,6.73
20130320,19.93,7.68,6.49
20130321,26.48,10.45,7.82
20130322,23.5,8.52,6.86
20130323,25.95,8.97,7.25
20130324,25.15,9.01,7.04
20130325,29.89,10.71,8.07
20130326,28.49,9.83,7.68
20130327,25.43,9.02,6.91
20130328,23.22,8.65,6.84
20130329,25.33,10.23,7.8
20130330,25.49,9.61,7.4
20130331,32.22,10.63,7.85
20130401,31.4,8.7,7.11
20130402,31.73,9.52,7.74
20130403,30.45,9.54,7.86
20130404,38.24,8.56,7.52
20130405,30.59,6.38,6.1
20130406,22.36,6.21,5.18
20130407,26.94,7.83,6.54
20130408,27.95,6.65,6.25
20130409,29.57,6.2,5.65
20130410,24.7,6.51,6.11
20130411,21.29,7.25,7.07
20130412,22.69,8.05,7.25
20130413,22.89,7.8,6.53
20130414,25.01,7.78,6.03
20130415,31.85,8.23,6.73
20130416,26.0,7.12,6.25
20130417,36.4,8.1,7.15
20130418,38.92,7.47,6.22
20130419,29.49,7.37,6.32
20130420,27.06,7.59,6.52
20130421,30.43,9.29,6.85
20130422,36.27,10.14,8.23
20130423,32.71,7.66,6.78
20130424,29.53,7.34,6.87
20130425,26.51,7.17,6.22
20130426,26.42,8.9,7.21
20130427,30.73,9.05,7.57
20130428,38.93,8.29,6.96
20130429,37.34,6.65,6.14
20130430,30.28,7.09,6.05
20130501,29.98,7.99,6.7
20130502,30.49,8.32,6.68
20130503,31.45,8.31,6.8
20130504,33.41,9.61,7.34
20130505,34.0,9.83,6.71
20130506,32.1,9.49,6.88
20130507,34.33,9.74,7.26
20130508,35.63,9.08,6.95
20130509,31.33,6.98,6.22
20130510,27.98,7.18,6.04
20130511,29.84,7.67,6.29
20130512,39.82,8.02,6.44
20130513,45.55,8.03,6.58
20130514,33.13,7.26,5.68
20130515,26.86,8.02,6.12
20130516,25.49,8.29,6.21
20130517,27.65,8.16,6.48
20130518,33.97,7.84,6.07
20130519,36.8,7.25,5.29
20130520,29.74,7.01,5.72
20130521,31.35,7.86,6.45
20130522,37.35,7.57,6.62
20130523,39.89,8.01,6.79
20130524,32.29,6.89,5.77
20130525,30.73,7.73,6.24
20130526,34.13,7.67,5.35
20130527,35.52,6.98,5.09
20130528,34.32,5.9,5.31
20130529,26.98,5.23,5.29
20130530,29.04,6.89,6.26
20130531,33.79,7.83,6.47
20130601,26.95,6.7,6.12
20130602,30.34,7.13,6.33
20130603,30.42,7.98,6.27
20130604,31.25,8.03,6.35
20130605,31.91,8.05,6.06
20130606,32.25,8.05,6.1
20130607,29.97,7.56,5.64
20130608,27.09,6.96,5.52
20130609,23.9,5.79,5.12
20130610,22.88,5.97,5.42
20130611,22.36,6.63,5.94
20130612,29.8,7.42,5.86
20130613,35.18,8.56,6.03
20130614,34.42,9.14,6.19
20130615,30.78,8.46,6.06
20130616,27.46,7.27,6.07
20130617,24.73,6.69,5.9
20130618,24.06,6.87,5.99
20130619,23.07,7.04,6.02
20130620,24.0,7.52,6.31
20130621,24.36,7.79,6.26
20130622,25.78,7.69,6.28
20130623,24.84,7.16,5.73
20130624,26.99,7.51,6.04
20130625,26.05,7.75,5.59
20130626,25.13,7.33,5.55
20130627,25.79,7.01,5.57
20130628,29.93,7.52,5.53
20130629,28.35,7.75,5.32
20130630,28.33,7.33,5.07
20130701,24.28,6.38,5.07
20130702,18.3,5.41,4.72
20130703,18.65,5.8,4.99
20130704,17.9,5.58,5.0
20130705,16.61,5.24,5.01
20130706,24.89,6.02,5.66
20130707,34.93,6.7,5.16
20130708,26.86,5.92,4.92
20130709,19.67,5.39,4.86
