date,PM2.5,SO2,NO2
20130101,3.83,4.39,2.56
20130102,3.91,4.62,2.63
20130103,7.31,10.12,4.76
20130104,16.06,16.56,7.69
20130105,16.49,17.21,6.89
20130106,17.47,19.12,7.24
20130107,14.8,14.64,6.01
20130108,6.84,8.37,4.01
20130109,10.0,12.3,5.92
20130110,19.69,22.76,10.0
20130111,13.15,13.27,6.41
20130112,13.83,17.0,7.03
20130113,19.28,18.37,8.88
20130114,20.39,21.92,9.24
20130115,15.72,13.0,6.78
20130116,8.54,9.05,4.4
20130117,12.34,13.96,7.16
20130118,23.84,19.68,10.8
20130119,29.23,23.97,11.1
20130120,30.88,18.45,10.48
20130121,16.69,10.91,5.9
20130122,19.86,16.75,8.36
20130123,13.24,9.38,5.73
20130124,4.08,6.47,2.9
20130125,6.14,8.65,3.79
20130126,8.71,10.02,4.54
20130127,12.31,15.77,6.63
20130128,14.35,14.6,6.53
20130129,19.86,22.12,9.92
20130130,28.42,21.89,12.14
20130131,27.3,17.71,9.51
20130201,6.13,6.65,3.28
20130202,8.88,11.66,5.84
20130203,21.87,16.33,8.96
20130204,7.03,8.37,4.78
20130205,9.92,10.29,5.67
20130206,3.92,5.28,2.98
20130207,3.82,5.24,3.1
20130208,9.53,13.5,5.46
20130209,10.26,10.81,5.02
20130210,7.85,8.2,4.32
20130211,9.43,9.79,4.22
20130212,6.6,7.3,3.23
20130213,5.92,7.03,3.04
20130214,5.15,5.94,2.67
20130215,8.68,9.97,4.95
20130216,18.61,15.05,8.15
20130217,9.75,6.52,3.75
20130218,4.89,5.17,2.47
20130219,7.06,10.91,4.41
20130220,5.51,6.38,3.33
20130221,5.49,6.28,3.28
20130222,5.16,7.12,3.42
20130223,10.78,12.51,5.94
20130224,26.28,19.5,9.24
20130225,27.69,16.54,8.08
20130226,16.36,9.68,5.35
20130227,11.25,10.38,4.98
20130228,11.6,5.67,3.39
20130301,3.93,5.35,2.85
20130302,10.52,10.17,4.86
20130303,9.81,6.25,3.58
20130304,8.31,7.95,4.33
20130305,17.79,11.76,6.37
20130306,11.13,5.59,3.39
20130307,24.17,5.38,3.32
20130308,30.4,7.5,4.49
20130309,31.09,4.64,3.28
20130310,16.91,8.44,4.44
20130311,29.2,14.33,7.96
20130312,10.1,4.39,2.65
20130313,5.01,5.68,3.23
20130314,15.06,11.44,6.37
20130315,18.02,11.84,5.82
20130316,17.8,11.32,6.11
20130317,19.02,4.84,2.95
20130318,19.81,3.06,1.65
20130319,13.39,3.19,1.84
20130320,6.09,5.01,2.77
20130321,12.85,8.09,4.48
20130322,11.19,4.73,2.74
20130323,14.81,4.24,2.64
20130324,6.64,6.11,3.39
20130325,11.38,9.24,4.95
20130326,12.37,6.74,4.2
20130327,6.31,3.88,2.31
20130328,7.83,4.28,2.43
20130329,9.18,7.18,3.86
20130330,9.48,5.76,3.33
20130331,17.88,7.56,4.41
20130401,18.68,3.83,2.4
20130402,25.87,6.25,4.24
20130403,20.2,5.99,3.31
20130404,40.16,5.14,3.63
20130405,14.3,3.06,2.23
20130406,13.49,4.08,2.92
20130407,33.44,4.32,3.33
20130408,11.44,2.57,2.2
20130409,6.76,2.18,1.52
20130410,5.45,2.29,1.82
20130411,4.02,3.17,2.31
20130412,7.67,3.11,2.63
20130413,11.29,2.26,2.03
20130414,26.23,3.49,2.38
20130415,51.06,3.4,2.55
20130416,15.17,2.71,2.11
20130417,19.64,3.86,3.28
20130418,30.18,3.17,2.21
20130419,22.93,6.64,4.4
20130420,19.62,5.94,3.61
20130421,24.21,6.22,4.04
20130422,41.6,7.58,5.1
20130423,37.09,3.03,2.34
20130424,20.25,2.76,2.01
20130425,13.71,3.02,2.3
20130426,13.72,4.57,3.5
20130427,22.6,5.69,4.73
20130428,28.91,5.5,3.14
20130429,36.18,3.81,2.64
20130430,16.27,4.02,2.85
20130501,12.73,4.87,3.51
20130502,13.75,3.63,2.76
20130503,16.67,3.97,3.31
20130504,26.89,6.55,3.99
20130505,24.94,8.69,3.42
20130506,30.46,10.65,4.06
20130507,37.78,11.76,4.51
20130508,51.12,8.21,3.27
20130509,33.62,3.18,2.28
20130510,26.05,2.85,2.52
20130511,38.21,2.85,2.5
20130512,47.17,3.0,2.41
20130513,90.11,3.56,2.54
20130514,30.75,3.93,2.73
20130515,27.23,6.84,4.02
20130516,35.27,8.85,4.68
20130517,39.36,5.96,3.34
20130518,65.72,6.08,4.14
20130519,76.47,3.46,2.13
20130520,32.49,3.2,2.8
20130521,29.03,2.95,2.88
20130522,24.22,4.43,3.57
20130523,36.13,6.74,3.73
20130524,14.57,2.87,2.06
20130525,28.47,7.59,4.06
20130526,43.02,11.11,3.49
20130527,48.8,6.32,3.02
20130528,51.6,2.39,1.81
20130529,26.92,2.23,1.69
20130530,37.68,3.11,2.65
20130531,61.73,3.49,2.83
20130601,26.81,2.57,2.07
20130602,52.39,4.27,3.3
20130603,28.69,4.83,3.17
20130604,32.29,8.13,3.94
20130605,37.82,10.6,3.95
20130606,40.5,11.91,5.08
20130607,38.75,10.2,4.52
20130608,33.47,7.02,3.29
20130609,20.47,3.47,1.99
20130610,16.15,3.74,2.6
20130611,15.77,4.26,3.12
20130612,23.29,4.86,3.62
20130613,39.57,8.95,4.21
20130614,41.35,11.98,4.41
20130615,36.22,8.62,3.55
20130616,23.43,5.18,2.71
20130617,17.93,3.91,3.02
20130618,15.83,3.15,2.64
20130619,13.03,3.33,2.89
20130620,12.97,4.66,3.41
20130621,15.13,5.41,3.65
20130622,17.38,5.45,3.78
20130623,20.13,4.83,3.53
20130624,24.86,5.77,3.58
20130625,33.73,8.39,3.6
20130626,34.59,8.31,3.4
20130627,34.07,6.43,3.36
20130628,27.26,5.81,4.17
20130629,32.66,8.65,4.23
20130630,37.88,8.9,3.68
20130701,27.72,5.83,3.03
20130702,24.05,4.74,3.21
20130703,25.31,5.02,3.31
20130704,20.11,3.44,2.94
20130705,11.43,2.29,2.9
20130706,18.5,4.94,4.38
20130707,37.88,7.05,4.25
20130708,30.41,4.19,3.13
20130709,21.74,4.27,3.72
20130710,18.17,5.08,3.9
20130711,18.89,6.42,4.4
20130712,17.77,4.68,3.27
20130713,19.5,6.03,3.67
20130714,26.67,9.72,4.47
20130715,27.08,8.91,4.39
20130716,13.02,4.16,3.33
20130717,20.75,5.41,3.91
20130718,31.24,7.14,4.04
20130719,22.58,5.44,3.5
20130720,16.04,3.85,3.25
20130721,24.69,6.98,4.05
20130722,32.5,10.59,3.97
20130723,31.78,8.86,4.12
20130724,25.22,6.24,3.23
20130725,23.73,6.62,3.77
20130726,24.14,6.7,4.2
20130727,24.84,6.61,3.63
20130728,18.53,4.25,3.36
20130729,19.12,3.89,3.62
20130730,22.45,4.75,3.96
20130731,34.13,6.52,4.31
20130801,40.16,9.38,4.22
20130802,44.6,10.64,3.94
20130803,31.97,7.57,3.86
20130804,18.81,4.61,3.65
20130805,20.48,4.53,3.8
20130806,26.51,5.26,3.65
20130807,21.78,4.09,3.1
20130808,20.01,4.11,3.43
20130809,16.59,3.59,3.21
20130810,18.37,4.99,3.73
20130811,22.8,7.16,3.66
20130812,24.65,7.11,3.65
20130813,17.78,5.24,3.41
20130814,21.44,7.34,3.54
20130815,23.41,5.84,3.13
20130816,25.51,4.0,2.8
20130817,11.47,2.51,2.41
20130818,10.41,3.35,2.81
20130819,13.21,5.83,3.58
20130820,14.68,6.42,4.39
20130821,19.16,5.66,4.2
20130822,12.73,3.55,3.25
20130823,11.0,4.46,3.44
20130824,11.52,5.77,4.35
20130825,16.66,7.24,4.63
20130826,20.05,6.8,4.02
20130827,25.73,9.45,5.75
20130828,25.54,6.11,4.07
20130829,10.63,2.8,2.3
20130830,9.04,2.83,2.76
20130831,9.47,3.98,3.66
20130901,12.05,5.05,4.11
20130902,11.21,4.64,3.47
20130903,13.11,5.57,4.22
20130904,14.53,4.81,3.3
20130905,13.52,5.01,3.87
20130906,16.15,6.46,3.99
20130907,17.42,7.6,4.67
20130908,24.7,9.37,5.11
20130909,39.86,11.07,5.15
20130910,15.05,3.36,3.2
20130911,16.98,4.62,4.54
20130912,35.96,9.05,5.55
20130913,41.43,7.78,4.72
20130914,21.41,2.69,3.05
20130915,14.32,4.71,4.83
20130916,17.91,7.92,4.7
20130917,22.31,8.8,4.3
20130918,26.23,10.01,5.29
20130919,23.76,7.2,4.01
20130920,13.7,4.52,4.09
20130921,19.39,8.66,5.68
20130922,38.76,11.44,6.1
20130923,12.69,2.5,1.78
20130924,7.47,2.4,2.39
20130925,9.47,3.64,3.59
20130926,17.8,5.06,4.98
20130927,48.1,6.57,6.51
20130928,36.35,4.8,5.55
20130929,23.8,5.16,5.89
20130930,36.47,12.31,9.16
20131001,14.82,4.31,3.14
20131002,10.88,5.02,4.18
20131003,16.03,6.39,5.92
20131004,22.73,7.32,6.61
20131005,23.46,10.16,6.72
20131006,38.78,14.93,7.51
20131007,11.35,4.16,2.95
20131008,18.32,7.63,6.3
20131009,49.23,9.38,6.98
20131010,30.16,4.87,3.68
20131011,9.03,4.4,4.26
20131012,12.42,6.58,6.17
20131013,14.24,5.84,4.83
20131014,4.06,2.47,1.95
20131015,6.99,5.14,4.49
20131016,15.22,10.16,7.59
20131017,24.26,13.53,9.55
20131018,29.95,11.18,8.41
20131019,17.94,6.94,4.76
20131020,23.49,10.31,7.07
20131021,49.22,13.46,8.05
20131022,64.29,13.15,6.91
20131023,23.22,7.93,4.17
20131024,20.26,7.72,4.24
20131025,24.7,10.58,7.19
20131026,33.62,15.57,11.14
20131027,27.32,12.33,9.8
20131028,9.64,5.1,4.06
20131029,6.93,6.25,4.84
20131030,15.95,12.55,9.49
20131031,25.59,16.0,10.59
20131101,32.71,17.46,11.4
20131102,24.29,12.34,7.44
20131103,6.4,7.76,4.39
20131104,14.46,13.1,8.17
20131105,20.94,13.37,7.73
20131106,7.7,4.51,3.01
20131107,7.67,8.53,5.92
20131108,20.68,15.74,11.71
20131109,6.83,5.3,3.05
20131110,4.81,5.8,2.88
20131111,7.35,9.59,4.99
20131112,10.83,9.83,5.91
20131113,14.77,10.38,6.18
20131114,11.6,6.53,3.59
20131115,20.24,7.28,4.04
20131116,7.21,6.43,3.19
20131117,5.52,5.99,3.35
20131118,6.74,7.74,4.44
20131119,11.32,9.61,5.52
20131120,10.99,8.81,5.14
20131121,13.56,12.41,7.31
20131122,17.73,14.47,9.52
20131123,9.66,7.57,4.28
20131124,6.68,5.83,2.88
20131125,4.57,7.14,3.27
20131126,3.38,4.08,2.28
20131127,1.46,2.98,1.47
20131128,2.77,4.45,2.75
20131129,7.43,10.0,5.65
20131130,6.13,7.75,4.28
20131201,9.92,11.82,7.22
20131202,10.91,10.49,6.62
20131203,7.91,8.62,5.2
20131204,9.05,10.33,6.06
20131205,5.23,7.44,4.51
20131206,10.41,12.74,7.8
20131207,15.15,14.82,9.21
20131208,13.3,10.5,5.87
20131209,6.53,8.99,4.83
20131210,5.34,6.92,3.89
20131211,5.48,8.08,4.7
20131212,5.07,6.15,3.44
20131213,7.5,9.8,5.31
20131214,7.54,9.23,4.88
20131215,9.0,10.59,5.78
20131216,10.65,10.4,5.88
20131217,9.45,8.95,5.32
20131218,12.43,12.84,7.06
20131219,13.3,14.48,7.5
20131220,12.9,14.11,7.2
20131221,14.01,14.24,8.28
20131222,22.08,18.84,10.92
20131223,23.88,20.21,11.65
20131224,28.98,23.55,13.54
20131225,13.16,9.36,5.55
20131226,4.3,5.43,3.56
20131227,7.75,8.88,5.01
20131228,6.03,8.12,4.06
20131229,7.67,10.46,5.29
20131230,6.26,7.59,3.99
20131231,5.45,5.93,3.27
20140101,5.73,7.46,4.38
20140102,9.38,11.88,6.14
20140103,7.97,9.89,5.23
20140104,11.8,12.54,7.23
20140105,13.6,13.25,8.31
20140106,23.53,21.16,12.98
20140107,5.61,7.55,3.48
20140108,4.02,5.63,2.94
20140109,6.89,8.95,5.26
20140110,9.72,13.52,7.24
20140111,8.67,10.53,5.48
20140112,5.66,8.71,4.51
20140113,9.24,10.39,6.03
20140114,12.73,15.15,8.12
20140115,16.43,18.7,10.41
20140116,14.37,14.22,8.18
20140117,9.85,10.8,5.35
20140118,11.81,15.25,8.74
20140119,13.33,10.71,6.83
20140120,8.17,9.46,4.31
20140121,8.61,11.87,6.61
20140122,20.04,23.03,13.4
20140123,24.67,22.16,12.9
20140124,9.31,11.91,5.05
20140125,6.14,8.81,4.15
20140126,17.76,21.2,11.65
20140127,10.01,11.23,5.57
20140128,9.83,12.27,6.99
20140129,15.05,12.18,6.94
20140130,9.22,12.31,5.75
20140131,33.58,27.38,12.22
20140201,26.44,18.42,10.13
20140202,5.89,6.83,2.5
20140203,2.37,5.15,1.76
20140204,5.64,8.01,4.09
20140205,17.88,15.46,8.88
20140206,27.09,16.22,8.85
20140207,25.04,15.57,7.05
20140208,10.01,8.42,3.75
20140209,7.12,7.63,4.0
20140210,14.23,13.52,7.54
20140211,20.47,15.24,8.83
20140212,22.32,16.98,9.92
20140213,39.41,22.57,13.55
20140214,38.33,18.05,11.0
20140215,22.22,14.27,8.21
20140216,16.35,16.01,7.86
20140217,23.63,16.45,9.54
20140218,26.11,13.05,7.59
20140219,13.33,10.01,6.04
20140220,26.45,18.13,13.12
20140221,39.94,23.13,15.65
20140222,51.09,21.45,13.66
20140223,71.28,27.49,14.75
20140224,76.53,26.12,13.31
20140225,69.82,23.34,11.87
20140226,29.0,9.38,4.9
20140227,4.61,5.97,3.53
20140228,10.17,9.56,6.13
20140301,7.77,7.84,3.92
20140302,9.85,9.25,5.13
20140303,13.92,11.23,6.48
20140304,5.97,5.68,2.58
20140305,5.06,6.37,3.0
20140306,5.32,7.0,3.28
20140307,9.86,10.34,5.52
20140308,10.72,10.9,5.97
20140309,8.42,9.2,5.23
20140310,21.6,18.85,10.46
20140311,12.92,7.69,4.32
20140312,4.2,4.14,2.07
20140313,6.24,6.12,3.39
20140314,11.82,7.64,4.38
20140315,15.45,8.51,5.34
20140316,33.21,11.39,7.16
20140317,23.67,6.97,3.76
20140318,10.86,8.91,5.14
20140319,5.77,5.29,2.56
20140320,17.78,5.34,2.81
20140321,24.63,7.88,4.66
20140322,22.01,10.22,5.62
20140323,29.02,14.5,7.69
20140324,32.51,10.2,5.43
20140325,20.59,7.22,4.37
20140326,17.88,7.67,4.68
20140327,30.74,10.66,5.88
20140328,15.9,6.08,2.78
20140329,8.55,6.02,3.42
20140330,7.76,5.08,3.46
20140331,9.43,7.28,4.0
20140401,11.11,5.5,3.84
20140402,11.67,3.53,2.49
20140403,29.34,3.91,2.27
20140404,24.63,4.65,3.0
20140405,21.04,4.76,3.18
20140406,25.41,7.98,4.94
20140407,20.75,7.4,4.55
20140408,22.05,7.59,5.14
20140409,22.65,5.62,3.52
