date,PM2.5,SO2,NO2
20130101,27.22,21.5,18.73
20130102,12.33,13.82,10.01
20130103,24.97,25.74,19.33
20130104,85.18,89.28,48.27
20130105,87.05,57.59,41.11
20130106,104.21,79.17,59.09
20130107,123.44,75.43,58.55
20130108,56.14,46.82,32.25
20130109,42.2,38.89,33.33
20130110,225.48,106.05,78.78
20130111,177.57,97.31,64.63
20130112,327.47,126.25,89.89
20130113,211.63,144.33,73.06
20130114,156.06,93.93,63.41
20130115,83.14,63.21,47.24
20130116,59.85,32.94,27.2
20130117,42.16,30.66,42.23
20130118,126.47,75.58,77.02
20130119,138.43,64.46,78.83
20130120,98.02,53.84,67.28
20130121,92.2,38.8,51.49
20130122,122.25,38.74,66.27
20130123,178.72,57.8,81.89
20130124,20.72,18.82,23.68
20130125,44.72,38.97,45.19
20130126,77.57,44.24,54.32
20130127,154.91,56.85,67.51
20130128,191.47,55.66,75.2
20130129,258.14,66.48,94.21
20130130,221.36,83.54,104.65
20130131,156.02,90.5,92.45
20130201,26.19,19.37,21.33
20130202,38.21,30.74,43.99
20130203,131.19,60.66,65.33
20130204,29.82,18.56,24.08
20130205,64.4,30.3,40.61
20130206,42.17,11.37,22.34
20130207,7.56,7.05,9.6
20130208,37.89,28.62,31.87
20130209,91.2,48.4,43.32
20130210,47.58,23.6,18.98
20130211,56.19,31.07,29.48
20130212,74.57,30.43,31.01
20130213,156.59,42.3,48.44
20130214,51.56,22.9,24.74
20130215,32.28,23.53,22.98
20130216,107.33,61.45,49.6
20130217,81.26,30.13,30.41
20130218,15.99,13.35,17.66
20130219,24.39,18.17,22.33
20130220,52.27,30.49,35.76
20130221,104.41,37.84,47.61
20130222,42.12,15.13,28.13
20130223,61.07,35.15,46.24
20130224,183.49,108.56,87.78
20130225,132.68,68.22,63.98
20130226,113.33,34.31,52.93
20130227,112.42,25.81,54.4
20130228,137.77,25.23,40.79
20130301,5.69,6.27,9.54
20130302,31.77,26.19,40.63
20130303,52.23,28.53,43.94
20130304,18.72,14.42,25.2
20130305,100.26,61.47,70.68
20130306,125.64,57.75,79.36
20130307,144.19,47.89,86.95
20130308,149.27,48.3,76.25
20130309,49.85,25.27,29.31
20130310,30.69,17.76,29.35
20130311,103.51,72.86,65.36
20130312,98.5,28.06,60.42
20130313,13.74,9.83,18.82
20130314,84.43,50.11,58.51
20130315,167.53,59.32,79.63
20130316,185.06,51.62,72.53
20130317,215.49,54.64,81.64
20130318,35.92,10.25,21.13
20130319,33.17,13.52,27.79
20130320,33.11,9.17,23.88
20130321,108.52,27.96,53.64
20130322,40.14,12.99,26.5
20130323,43.64,28.02,36.35
20130324,14.85,8.18,18.45
20130325,77.6,36.7,49.13
20130326,148.03,52.08,66.12
20130327,63.22,13.9,28.13
20130328,16.57,6.23,16.05
20130329,47.94,21.59,38.63
20130330,70.32,41.75,39.91
20130331,150.87,28.72,53.55
20130401,90.03,26.83,31.53
20130402,66.42,28.6,43.17
20130403,85.55,29.46,48.88
20130404,57.07,41.18,51.04
20130405,47.08,12.93,23.03
20130406,10.79,4.53,16.56
20130407,64.58,34.93,44.96
20130408,17.56,3.67,9.37
20130409,11.17,3.98,8.02
20130410,8.96,3.28,12.75
20130411,9.96,4.06,21.33
20130412,34.4,14.23,39.97
20130413,38.2,12.17,27.48
20130414,26.45,10.65,21.26
20130415,63.83,39.6,44.77
20130416,46.8,24.17,28.89
20130417,45.13,19.49,27.51
20130418,9.24,4.6,9.19
20130419,35.57,13.78,25.15
20130420,57.62,9.73,27.15
20130421,83.98,25.48,39.68
20130422,132.16,40.31,48.97
20130423,133.16,21.82,43.46
20130424,60.52,6.86,24.52
20130425,21.09,2.98,14.28
20130426,53.3,24.75,42.65
20130427,57.38,39.74,37.6
20130428,66.71,38.4,35.3
20130429,43.26,4.28,13.58
20130430,33.6,4.84,16.4
20130501,29.54,8.87,22.34
20130502,64.11,32.8,35.78
20130503,54.5,21.93,22.69
20130504,84.54,25.17,31.62
20130505,144.21,45.09,42.37
20130506,148.98,31.76,36.16
20130507,122.93,39.36,39.11
20130508,114.7,45.91,36.86
20130509,48.69,17.91,30.03
20130510,42.87,5.36,19.33
20130511,43.36,8.78,26.03
20130512,44.87,11.81,27.61
20130513,81.14,44.3,48.36
20130514,39.97,5.72,18.36
20130515,43.77,22.0,29.19
20130516,45.33,20.75,29.76
20130517,95.84,32.0,37.92
20130518,105.53,26.51,30.05
20130519,55.82,10.01,14.63
20130520,42.66,9.72,18.91
20130521,78.42,32.57,39.76
20130522,61.9,30.58,37.99
