date,PM2.5,SO2,NO2
20130101,19.27,6.85,19.13
20130102,15.89,5.94,19.13
20130103,15.24,4.91,11.39
20130104,9.03,4.05,12.08
20130105,9.83,4.63,15.75
20130106,11.17,4.6,15.36
20130107,22.59,5.49,16.79
20130108,30.55,6.84,18.39
20130109,26.33,6.51,14.8
20130110,20.38,5.1,11.71
20130111,10.52,4.06,12.78
20130112,9.09,3.72,13.6
20130113,10.55,4.18,15.26
20130114,18.45,5.96,14.41
20130115,16.4,5.97,18.42
20130116,22.75,7.8,21.42
20130117,45.05,8.95,15.08
20130118,12.69,4.63,11.22
20130119,10.24,4.42,15.21
20130120,9.52,4.68,16.83
20130121,13.31,6.15,22.89
20130122,47.81,10.06,28.39
20130123,52.53,10.44,21.39
20130124,43.61,9.97,19.05
20130125,67.51,13.4,16.95
20130126,30.07,7.23,16.07
20130127,28.73,8.59,14.8
20130128,13.22,5.03,12.14
20130129,13.88,5.99,19.01
20130130,12.39,6.5,19.32
20130131,14.9,7.05,20.66
20130201,12.71,6.14,20.68
20130202,20.94,4.81,16.95
20130203,22.22,4.25,14.13
20130204,16.85,6.81,21.68
20130205,19.82,5.87,19.76
20130206,33.64,8.4,21.05
20130207,32.13,6.8,15.55
20130208,11.91,4.11,12.25
20130209,9.22,4.07,12.64
20130210,14.3,5.26,15.56
20130211,15.61,5.46,15.67
20130212,19.59,5.64,16.39
20130213,21.22,5.3,12.6
20130214,18.81,5.12,16.67
20130215,26.2,6.83,18.41
20130216,26.87,5.62,11.4
20130217,24.16,5.82,15.68
20130218,22.5,7.07,20.17
20130219,21.59,7.63,19.58
20130220,12.53,4.35,11.74
20130221,10.87,4.19,13.04
20130222,12.92,4.72,13.77
20130223,20.18,4.94,9.66
20130224,20.88,4.81,11.05
20130225,20.42,6.15,18.03
20130226,21.99,7.14,19.84
20130227,24.72,8.06,20.46
20130228,21.61,6.11,15.39
20130301,24.26,7.29,19.44
20130302,15.51,4.79,13.34
20130303,13.09,4.91,13.08
20130304,16.89,7.39,13.96
20130305,20.54,7.11,13.67
20130306,22.55,6.34,15.03
20130307,22.27,6.86,18.35
20130308,24.36,8.87,22.36
20130309,25.47,8.1,20.08
20130310,26.5,7.95,19.18
20130311,21.81,5.21,13.07
20130312,18.45,5.15,16.21
20130313,18.05,5.74,17.21
20130314,20.61,5.4,11.21
20130315,16.31,4.91,13.42
20130316,18.01,5.56,15.65
20130317,19.18,5.51,15.72
20130318,19.66,4.94,15.3
20130319,36.66,8.66,17.62
20130320,32.65,5.78,16.56
20130321,36.72,6.59,13.28
20130322,29.2,6.4,17.75
20130323,19.59,6.02,18.93
20130324,14.85,5.12,16.39
20130325,25.43,6.57,11.58
20130326,22.52,5.35,12.27
20130327,17.9,4.93,12.73
20130328,21.22,6.21,15.64
20130329,21.22,5.52,14.3
20130330,19.59,4.85,13.5
20130331,19.04,4.52,14.4
20130401,18.77,4.75,14.7
20130402,23.96,6.23,16.18
20130403,37.1,7.66,13.55
20130404,25.84,5.06,13.08
20130405,15.83,3.69,12.06
20130406,26.73,8.73,10.61
20130407,27.84,8.21,12.85
20130408,23.05,6.32,15.68
20130409,25.53,7.17,17.15
20130410,30.4,6.4,12.67
20130411,30.26,6.18,15.55
20130412,20.82,5.27,14.07
20130413,26.84,6.24,17.06
20130414,31.21,7.62,21.69
20130415,32.34,7.88,16.65
20130416,29.24,6.55,16.71
20130417,31.01,6.29,17.52
20130418,27.28,5.71,17.97
20130419,26.32,5.63,17.26
20130420,25.9,6.07,17.88
20130421,20.09,5.85,14.55
20130422,22.29,6.11,13.94
20130423,27.11,7.21,17.72
20130424,28.42,7.14,18.15
20130425,39.62,9.17,18.12
20130426,56.04,12.06,16.57
20130427,45.83,7.54,13.81
20130428,23.77,5.25,14.68
20130429,17.81,4.79,15.33
20130430,13.6,4.01,14.99
20130501,15.81,4.65,12.73
20130502,25.14,5.53,14.86
20130503,30.44,6.27,17.59
20130504,23.81,5.29,15.11
20130505,17.28,4.29,12.77
20130506,19.77,4.5,13.74
20130507,22.83,4.73,13.76
20130508,23.95,4.74,13.85
20130509,22.67,5.09,15.28
20130510,13.34,4.67,15.13
20130511,33.36,9.11,18.32
20130512,38.06,8.69,18.64
20130513,24.93,6.31,16.87
20130514,27.68,6.71,17.13
20130515,17.38,4.97,14.65
20130516,7.87,3.66,13.09
20130517,8.96,4.05,13.68
20130518,18.86,6.87,16.25
20130519,17.62,6.46,16.36
20130520,17.48,5.65,15.13
20130521,14.63,5.03,16.31
20130522,8.76,4.31,14.87
20130523,7.11,3.92,13.96
20130524,21.25,7.16,18.39
20130525,24.99,6.26,16.08
20130526,21.85,5.2,15.1
20130527,9.1,3.46,13.09
20130528,8.22,4.2,16.32
20130529,11.84,6.05,19.41
20130530,12.7,5.92,18.82
20130531,14.07,6.59,19.26
20130601,9.61,5.06,17.24
20130602,8.98,5.16,16.44
20130603,17.97,6.69,16.08
20130604,22.4,6.5,17.15
20130605,23.36,7.73,20.33
20130606,18.38,6.43,18.13
20130607,14.86,5.41,16.95
20130608,7.12,3.94,14.56
20130609,10.48,4.85,15.49
20130610,15.3,5.75,16.93
20130611,13.75,5.34,16.1
20130612,14.03,5.99,18.64
20130613,10.39,3.89,13.57
20130614,3.95,2.73,10.08
20130615,5.21,3.92,13.23
20130616,7.48,5.04,15.47
20130617,11.02,6.19,17.79
20130618,14.75,6.72,17.67
20130619,13.48,6.47,17.87
20130620,14.34,6.7,19.73
20130621,9.2,4.38,14.72
20130622,5.36,3.63,12.8
20130623,5.15,3.73,12.66
20130624,4.3,3.28,11.08
20130625,2.82,2.5,9.28
20130626,3.22,2.69,11.3
20130627,3.98,3.04,13.19
20130628,5.03,4.0,15.14
20130629,6.72,4.53,15.62
20130630,6.96,4.31,15.2
20130701,5.95,4.41,13.76
20130702,9.3,5.16,15.93
20130703,12.36,6.58,18.03
20130704,8.63,4.95,16.66
20130705,5.86,4.0,14.21
20130706,8.26,4.89,16.65
20130707,9.44,5.22,17.4
20130708,9.3,5.32,16.73
20130709,9.82,5.52,16.68
20130710,8.02,4.52,14.49
20130711,8.61,5.23,15.47
20130712,4.48,3.38,10.19
20130713,12.86,4.5,6.37
20130714,8.54,3.39,10.32
20130715,7.96,4.6,15.6
20130716,8.13,4.61,14.66
20130717,5.3,3.44,12.07
20130718,3.53,2.55,9.87
20130719,5.41,3.81,14.02
20130720,9.15,5.38,17.78
20130721,12.17,6.1,18.17
20130722,11.97,5.05,15.54
20130723,14.86,5.8,17.45
20130724,16.65,6.95,19.07
20130725,10.67,5.8,16.89
20130726,8.93,5.03,17.31
20130727,11.17,5.84,18.45
20130728,11.15,5.61,17.79
20130729,13.65,6.0,18.67
20130730,13.83,6.21,19.04
20130731,11.33,5.91,16.32
20130801,5.02,3.15,10.89
20130802,4.25,3.03,11.0
20130803,6.88,4.32,15.5
20130804,11.22,6.73,18.43
20130805,9.69,5.25,17.12
20130806,10.79,5.71,18.36
20130807,11.88,6.14,18.37
20130808,13.66,6.68,19.56
20130809,14.29,6.71,19.17
20130810,11.99,5.77,17.26
20130811,10.44,4.22,13.49
20130812,8.62,3.32,11.54
20130813,4.67,2.67,9.73
20130814,5.83,3.69,13.79
20130815,8.77,5.21,17.03
20130816,10.8,5.57,15.94
20130817,18.6,6.87,19.03
20130818,27.4,8.77,21.63
20130819,24.38,8.0,20.28
20130820,16.95,6.29,17.76
20130821,11.42,4.38,9.28
20130822,16.76,5.54,7.03
20130823,8.19,4.4,12.1
20130824,6.78,4.53,14.77
20130825,13.57,7.15,19.84
20130826,14.64,7.0,20.39
20130827,11.83,6.36,18.17
20130828,8.34,3.99,12.21
20130829,15.54,7.35,11.89
20130830,14.76,5.47,15.45
20130831,22.47,8.24,16.05
20130901,18.91,6.1,13.51
20130902,15.99,6.35,16.47
20130903,20.39,7.94,17.09
20130904,26.52,7.86,16.89
20130905,24.97,7.13,15.97
20130906,19.85,6.05,15.97
20130907,16.85,5.31,15.95
20130908,15.18,4.98,15.24
20130909,14.07,4.5,14.49
20130910,16.51,4.95,15.83
20130911,16.74,5.28,15.9
20130912,12.83,4.35,14.87
20130913,11.84,4.81,16.31
20130914,12.75,6.23,18.08
20130915,12.53,6.29,18.3
20130916,17.6,5.02,13.13
20130917,16.2,3.77,11.03
20130918,7.56,3.21,10.37
20130919,4.29,3.1,10.18
20130920,2.9,2.35,7.36
20130921,1.39,1.05,2.8
20130922,3.76,1.82,4.86
20130923,4.96,2.91,9.66
20130924,6.23,3.59,13.11
