date,PM2.5,SO2,NO2
20130101,48.55,18.68,21.74
20130102,32.34,14.1,15.45
20130103,25.64,12.0,13.38
20130104,28.86,22.02,18.33
20130105,37.65,15.59,17.3
20130106,45.04,13.37,20.04
20130107,75.53,19.23,25.33
20130108,77.87,19.02,27.01
20130109,59.71,18.87,22.86
20130110,56.05,19.42,24.41
20130111,72.1,23.77,29.02
20130112,109.77,25.17,33.33
20130113,99.89,27.02,35.21
20130114,138.86,31.68,39.37
20130115,122.45,24.44,33.83
20130116,103.37,22.96,29.89
20130117,81.32,20.35,25.0
20130118,60.8,22.85,25.41
20130119,125.86,26.3,31.92
20130120,115.14,27.11,33.08
20130121,115.03,23.74,32.88
20130122,76.88,19.0,25.5
20130123,96.47,27.43,32.71
20130124,41.94,13.11,12.96
20130125,20.52,9.07,9.01
20130126,48.05,12.1,14.91
20130127,53.94,15.02,18.28
20130128,59.22,20.62,20.82
20130129,79.65,30.19,26.57
20130130,99.53,31.91,30.93
20130131,99.75,28.67,25.59
20130201,38.45,12.2,11.36
20130202,20.66,9.89,11.01
20130203,31.55,17.27,16.93
20130204,38.3,13.25,15.54
20130205,42.33,15.91,20.91
20130206,61.86,16.17,20.43
20130207,26.04,10.62,11.4
20130208,34.82,11.54,12.56
20130209,46.32,16.61,15.87
20130210,69.54,18.26,16.3
20130211,33.27,16.15,11.96
20130212,38.84,20.06,15.19
20130213,48.85,21.38,16.94
20130214,31.68,12.33,12.87
20130215,28.25,11.12,12.15
20130216,35.02,14.79,15.42
20130217,39.04,13.68,13.48
20130218,24.01,10.06,11.26
20130219,19.25,9.73,9.7
20130220,22.38,10.71,11.64
20130221,31.83,16.07,15.31
20130222,27.67,12.97,13.22
20130223,16.39,9.42,9.31
20130224,27.76,9.77,11.8
20130225,46.77,15.65,17.41
20130226,48.85,15.61,18.67
20130227,50.21,17.16,17.79
20130228,27.65,11.46,14.32
20130301,27.14,9.86,9.28
20130302,25.86,11.63,12.27
20130303,41.46,16.93,20.72
20130304,62.81,19.88,22.7
20130305,39.54,20.43,20.58
20130306,44.95,16.13,22.94
20130307,28.52,9.96,11.5
20130308,16.8,7.88,9.2
20130309,22.43,9.85,11.79
20130310,15.93,7.23,7.95
20130311,29.21,16.15,15.02
20130312,28.97,13.4,13.54
20130313,19.83,8.74,10.9
20130314,23.14,12.73,13.08
20130315,40.31,18.07,16.15
20130316,26.37,11.45,13.08
20130317,43.64,15.35,12.45
20130318,16.6,6.64,8.09
20130319,11.87,6.4,7.44
20130320,13.6,6.86,8.38
20130321,22.06,11.55,10.46
20130322,10.88,5.23,6.03
20130323,17.69,8.13,9.99
20130324,26.96,9.81,11.52
20130325,23.37,9.67,10.64
20130326,34.23,17.55,14.65
20130327,16.12,7.88,8.38
20130328,12.52,7.03,7.75
20130329,12.11,6.24,7.07
20130330,18.37,8.11,9.7
20130331,35.13,13.02,14.33
20130401,37.81,11.11,15.38
20130402,31.02,10.23,13.12
20130403,18.99,6.68,7.93
20130404,14.84,5.29,8.47
20130405,25.51,8.01,11.89
20130406,16.03,5.92,8.37
20130407,12.13,4.46,7.81
20130408,21.82,7.58,12.57
20130409,11.65,5.27,7.28
20130410,8.44,4.5,6.11
20130411,10.51,5.16,7.53
20130412,13.54,6.12,8.32
20130413,14.71,5.96,7.18
20130414,7.11,2.38,3.14
20130415,9.35,4.09,5.97
20130416,13.11,4.41,7.94
20130417,12.26,4.1,7.66
20130418,12.34,4.67,7.43
20130419,12.69,4.01,7.07
20130420,16.38,4.65,8.66
20130421,15.7,4.51,9.23
20130422,58.03,17.94,18.32
20130423,43.18,11.09,11.38
20130424,25.71,7.48,8.74
20130425,20.99,6.15,9.54
20130426,23.94,6.19,7.89
20130427,24.6,7.42,11.16
20130428,37.68,9.96,11.04
20130429,25.38,6.76,8.85
20130430,16.53,5.1,7.05
20130501,15.07,3.63,8.63
20130502,11.71,2.93,7.18
20130503,17.09,3.6,9.36
20130504,25.4,7.8,12.64
20130505,27.37,10.91,10.22
20130506,16.94,5.77,9.11
20130507,38.54,9.83,12.81
20130508,58.25,19.57,10.9
20130509,35.53,10.64,8.38
20130510,29.37,7.41,8.1
20130511,36.23,6.49,7.85
20130512,23.01,5.99,6.13
20130513,22.69,6.3,8.42
20130514,33.27,8.89,7.03
20130515,30.38,7.31,6.67
20130516,27.97,5.66,7.29
20130517,30.62,8.23,7.92
20130518,47.22,12.03,8.59
20130519,37.85,7.97,7.27
20130520,16.18,4.03,5.6
20130521,26.74,6.14,8.11
20130522,19.0,4.58,9.06
20130523,26.05,8.84,12.3
20130524,25.05,6.53,7.01
20130525,26.13,6.24,8.36
20130526,52.04,9.91,7.08
20130527,26.18,5.55,6.47
20130528,17.94,4.88,8.54
20130529,14.99,4.22,6.25
20130530,20.14,4.41,7.01
20130531,49.26,15.27,14.06
20130601,28.31,7.18,6.37
20130602,19.83,3.71,9.1
20130603,26.42,7.35,8.55
20130604,22.74,6.59,6.54
20130605,35.64,10.02,11.84
20130606,42.12,12.05,12.37
20130607,30.64,9.39,10.19
20130608,26.89,8.09,10.87
20130609,27.72,7.33,9.44
20130610,20.44,5.28,7.48
20130611,20.29,4.67,10.99
20130612,19.11,4.61,6.79
20130613,29.36,9.77,9.16
20130614,41.99,14.48,9.87
20130615,43.73,12.98,9.13
20130616,49.7,13.21,11.17
20130617,32.62,8.96,7.29
20130618,25.9,7.93,8.97
20130619,21.17,6.23,7.76
20130620,19.72,5.81,7.6
20130621,24.35,5.19,8.26
20130622,22.81,4.71,7.08
20130623,23.89,5.99,10.33
20130624,31.21,8.78,10.6
20130625,42.1,11.34,8.57
20130626,44.63,11.59,7.65
20130627,35.81,9.97,6.58
20130628,33.95,8.7,6.91
20130629,44.46,10.86,8.19
20130630,39.9,9.53,6.23
20130701,30.33,7.31,5.38
20130702,23.3,6.19,6.44
20130703,28.12,7.69,5.45
20130704,25.91,6.83,6.07
20130705,18.57,5.18,6.25
20130706,13.46,4.57,7.84
20130707,37.95,9.73,6.65
20130708,34.55,8.3,7.02
20130709,38.2,8.91,7.48
20130710,33.1,8.27,6.85
20130711,23.14,5.03,5.96
20130712,21.57,4.92,6.7
20130713,24.52,5.05,7.7
20130714,37.17,7.81,7.06
20130715,36.73,9.21,7.66
20130716,12.29,6.36,6.34
20130717,17.72,7.67,8.6
20130718,19.46,6.78,7.61
20130719,25.22,7.82,7.64
20130720,21.84,6.99,5.77
20130721,22.88,5.33,6.0
20130722,18.03,5.33,6.71
