date,PM2.5,SO2,NO2
20130101,42.38,15.82,10.78
20130102,47.44,16.55,11.97
20130103,34.98,12.21,7.83
20130104,35.86,11.67,7.02
20130105,39.51,12.46,6.35
20130106,44.33,14.08,7.27
20130107,45.47,12.89,6.5
20130108,57.46,13.11,8.37
20130109,57.7,13.66,8.72
20130110,64.38,18.52,9.74
20130111,66.5,18.11,7.34
20130112,76.99,19.18,8.28
20130113,85.62,19.2,8.56
20130114,76.93,19.43,8.38
20130115,71.13,15.89,7.67
20130116,55.11,13.83,8.18
20130117,70.47,15.89,10.91
20130118,56.95,15.97,9.77
20130119,55.97,15.87,9.43
20130120,46.19,13.32,6.95
20130121,30.25,8.93,6.53
20130122,35.9,10.45,8.32
20130123,41.68,12.23,9.25
20130124,39.14,8.59,8.54
20130125,44.43,13.21,10.73
20130126,36.45,9.22,8.31
20130127,46.98,13.91,11.2
20130128,48.92,16.18,11.03
20130129,51.74,15.55,9.08
20130130,46.3,12.7,7.22
20130131,48.43,12.49,8.37
20130201,54.2,11.72,9.47
20130202,65.6,13.42,9.6
20130203,45.64,11.02,7.66
20130204,45.69,9.26,8.0
20130205,46.32,9.08,8.71
20130206,47.55,10.45,8.19
20130207,41.88,12.13,7.3
20130208,30.29,10.76,5.13
20130209,28.84,8.74,4.47
20130210,37.0,11.32,4.8
20130211,35.97,10.66,4.51
20130212,35.09,10.41,4.29
20130213,34.47,10.77,4.82
20130214,35.4,10.69,4.12
20130215,31.88,10.24,4.59
20130216,37.68,11.71,5.68
20130217,40.73,10.5,4.59
20130218,36.62,12.28,5.4
20130219,28.47,10.26,5.15
20130220,34.83,10.58,5.78
20130221,38.99,11.09,5.88
20130222,33.89,8.95,5.2
20130223,35.85,11.81,6.41
20130224,39.74,11.76,6.23
20130225,42.35,11.21,6.14
20130226,41.39,9.89,6.02
20130227,51.03,12.33,7.32
20130228,56.42,12.64,8.52
20130301,37.68,8.34,5.75
20130302,31.95,8.77,4.73
20130303,31.9,8.09,5.52
20130304,38.27,11.12,8.35
20130305,37.72,11.49,8.29
20130306,40.61,10.11,7.65
20130307,32.45,6.98,9.08
20130308,34.53,10.05,9.61
20130309,44.04,10.64,9.71
20130310,53.83,8.26,6.48
20130311,49.43,10.07,6.06
20130312,33.45,6.88,4.5
20130313,37.21,6.78,6.1
20130314,42.42,12.91,7.46
20130315,43.99,12.69,7.15
20130316,43.34,11.63,5.83
20130317,40.23,11.06,5.01
20130318,34.0,8.76,5.73
20130319,25.44,7.99,5.05
20130320,27.12,6.26,5.61
20130321,29.26,10.24,5.67
20130322,30.67,8.87,4.5
20130323,21.52,7.13,4.09
20130324,24.29,8.7,5.87
20130325,31.04,11.94,6.16
20130326,30.17,9.21,4.05
20130327,31.39,10.8,6.54
20130328,31.91,9.65,5.51
20130329,33.09,13.16,6.21
20130330,36.32,11.8,5.11
20130331,37.07,12.94,5.44
20130401,34.62,10.17,4.65
20130402,34.8,11.36,5.14
20130403,33.93,11.14,5.2
20130404,37.86,11.35,5.83
20130405,24.76,4.86,2.7
20130406,23.49,3.99,3.05
20130407,27.35,8.63,5.99
20130408,27.89,7.42,5.37
20130409,32.59,7.28,5.63
20130410,30.71,7.68,6.7
20130411,30.18,8.89,4.99
20130412,35.24,10.06,5.17
20130413,29.22,8.37,4.54
20130414,26.39,7.9,5.44
20130415,31.31,9.56,6.65
20130416,27.93,6.09,4.26
20130417,31.82,8.7,5.81
20130418,34.65,9.88,6.14
20130419,39.76,10.9,6.9
20130420,30.64,8.31,3.79
20130421,29.24,10.53,4.73
20130422,27.7,9.6,4.27
20130423,29.56,7.51,4.74
20130424,27.99,6.55,4.37
20130425,31.03,7.01,4.4
20130426,37.37,10.06,5.95
20130427,37.45,9.29,7.32
20130428,52.02,11.47,7.67
20130429,28.65,7.67,4.55
20130430,24.77,7.62,3.43
20130501,34.88,9.48,5.23
20130502,35.79,10.49,4.04
20130503,37.56,8.96,4.77
20130504,37.6,10.75,6.42
20130505,32.7,9.42,4.86
20130506,32.7,9.15,4.15
20130507,37.31,9.51,4.27
20130508,39.37,9.68,4.38
20130509,27.24,7.6,3.75
20130510,25.81,5.8,3.73
20130511,30.14,8.86,6.6
20130512,33.25,10.46,7.12
20130513,37.45,10.76,7.22
20130514,32.69,8.65,4.27
20130515,29.48,7.71,3.29
20130516,32.39,8.97,4.13
20130517,32.03,8.41,4.5
20130518,26.46,6.84,3.49
20130519,29.33,6.83,4.37
20130520,26.27,6.3,4.05
20130521,29.97,8.9,5.63
20130522,32.98,9.35,6.19
20130523,39.92,11.38,6.21
20130524,34.65,10.11,4.06
20130525,28.28,7.55,3.41
20130526,23.07,6.39,3.14
20130527,29.23,8.17,4.5
20130528,28.96,8.61,4.62
20130529,17.99,4.46,2.65
20130530,21.25,5.72,3.58
20130531,25.38,6.35,4.47
20130601,25.21,5.68,4.38
20130602,26.0,6.2,5.4
20130603,32.17,9.71,6.15
20130604,32.46,10.17,5.18
20130605,33.12,10.24,5.04
20130606,30.35,8.74,2.89
20130607,31.21,7.87,3.18
20130608,31.8,10.07,4.33
20130609,22.86,6.06,2.71
20130610,21.14,3.44,3.01
20130611,21.89,3.91,3.7
20130612,26.47,8.54,4.9
20130613,28.42,10.12,4.63
20130614,30.29,9.63,4.37
20130615,30.21,9.4,4.4
20130616,28.68,8.72,5.07
20130617,29.92,9.08,5.84
20130618,30.75,8.49,4.68
20130619,27.41,7.91,4.45
20130620,27.7,8.13,4.78
20130621,31.09,10.52,4.39
20130622,36.66,11.07,4.18
20130623,39.86,10.95,4.55
20130624,40.5,11.3,5.15
20130625,32.85,9.14,4.35
20130626,34.36,8.67,5.22
20130627,36.77,9.06,5.51
20130628,41.12,11.04,5.51
20130629,37.82,11.69,5.57
20130630,29.65,10.64,4.22
20130701,24.7,8.76,4.25
20130702,25.29,8.34,4.65
20130703,25.85,8.34,4.88
20130704,24.4,8.56,4.88
20130705,22.31,5.78,3.74
20130706,26.52,6.05,4.29
20130707,33.3,8.05,4.82
20130708,31.74,9.1,5.25
20130709,23.79,8.17,4.68
20130710,20.99,7.8,4.39
20130711,23.83,7.74,4.11
20130712,27.4,8.39,4.87
20130713,33.7,9.46,5.13
20130714,35.48,10.05,5.25
20130715,32.2,9.84,5.79
20130716,27.69,8.62,5.07
20130717,32.21,8.5,5.9
20130718,30.99,8.96,5.31
20130719,27.72,7.56,5.11
20130720,30.52,7.78,5.01
20130721,34.17,9.3,5.0
20130722,23.69,8.28,4.54
20130723,25.86,7.4,5.18
20130724,27.24,8.25,5.42
20130725,21.9,8.2,5.04
20130726,23.66,7.95,5.34
20130727,26.04,8.33,5.12
20130728,29.97,9.39,4.58
20130729,25.71,8.24,4.37
20130730,27.17,8.59,4.83
20130731,30.46,8.8,5.43
20130801,21.55,6.87,4.64
20130802,23.85,6.67,4.9
20130803,28.11,6.52,4.82
20130804,27.85,8.31,4.52
20130805,23.81,8.11,5.25
20130806,27.74,7.65,5.16
20130807,19.33,6.44,4.46
20130808,15.78,4.45,3.77
20130809,23.41,7.05,5.41
20130810,27.72,8.63,5.6
20130811,29.8,8.21,5.79
20130812,23.36,6.99,4.41
20130813,25.88,7.15,4.57
20130814,30.57,8.22,5.7
20130815,35.98,8.3,5.98
20130816,34.91,8.36,4.24
20130817,27.24,6.27,4.86
20130818,21.7,5.68,5.07
20130819,25.78,7.17,4.67
20130820,32.04,8.65,4.67
20130821,36.53,8.71,4.35
20130822,40.87,8.63,4.53
20130823,40.05,8.1,5.04
20130824,32.51,7.8,4.89
20130825,32.62,9.28,4.54
20130826,36.84,11.18,4.47
20130827,39.15,11.63,5.06
20130828,32.08,9.06,4.57
20130829,24.09,5.12,3.74
20130830,25.73,5.01,5.68
20130831,32.42,8.29,5.27
20130901,37.81,12.22,5.54
20130902,40.37,12.76,5.34
20130903,43.11,13.24,5.79
20130904,44.15,15.56,5.29
20130905,41.28,13.74,4.19
20130906,40.01,12.38,4.61
20130907,44.16,15.86,5.53
20130908,36.92,12.89,5.02
20130909,33.94,11.06,4.59
20130910,33.41,9.62,4.74
20130911,29.13,8.64,4.48
20130912,27.8,8.33,4.61
20130913,29.05,9.56,4.75
20130914,34.8,10.77,5.21
20130915,44.73,13.06,5.62
20130916,43.47,13.43,5.67
20130917,41.35,12.25,5.22
20130918,36.24,11.51,5.44
20130919,34.47,12.27,4.76
20130920,33.42,11.54,4.09
20130921,37.72,12.37,4.5
20130922,44.39,12.6,6.84
20130923,44.25,12.7,5.63
20130924,32.31,10.61,4.26
20130925,30.71,10.54,4.59
20130926,34.16,11.33,5.1
20130927,27.93,8.94,5.01
20130928,26.86,7.97,5.87
20130929,32.12,9.49,6.65
20130930,42.18,12.74,8.48
20131001,39.27,11.43,7.89
20131002,39.73,11.4,7.72
20131003,40.51,12.37,7.52
20131004,46.97,14.61,7.85
20131005,46.15,14.9,7.63
20131006,39.22,13.11,6.33
20131007,35.37,10.86,7.49
20131008,29.21,7.73,7.54
20131009,33.63,9.07,7.89
20131010,38.03,9.16,9.19
20131011,41.06,9.92,8.39
20131012,44.62,12.58,10.24
20131013,40.81,13.37,8.67
20131014,39.76,12.86,7.7
20131015,24.58,11.5,6.52
20131016,24.82,11.63,7.45
20131017,26.62,11.56,8.6
20131018,31.1,12.93,9.18
20131019,35.05,12.53,8.22
20131020,37.0,12.62,8.46
20131021,36.48,13.21,8.0
20131022,38.61,12.75,8.4
20131023,37.35,11.81,8.71
20131024,37.21,11.14,8.36
20131025,49.67,16.77,9.08
20131026,47.9,16.26,9.21
20131027,40.18,12.73,9.08
20131028,43.86,12.6,8.73
20131029,38.13,11.53,7.77
20131030,24.74,10.57,6.88
20131031,23.6,11.06,8.55
20131101,24.12,10.63,8.01
20131102,29.45,10.93,8.39
20131103,26.51,11.48,8.17
20131104,26.83,11.46,8.07
20131105,21.05,9.84,7.96
20131106,23.35,10.84,8.18
20131107,25.74,10.57,8.7
20131108,23.6,10.57,8.19
20131109,28.43,11.21,8.68
20131110,24.34,12.69,7.86
20131111,21.0,11.47,8.26
20131112,19.33,11.02,7.8
20131113,20.47,10.6,7.76
20131114,22.69,10.44,8.19
20131115,26.52,11.63,10.69
20131116,25.77,9.0,9.51
20131117,31.33,11.11,11.21
20131118,35.89,12.16,11.96
20131119,36.31,13.5,11.66
20131120,37.68,11.89,11.76
20131121,37.85,13.31,11.88
20131122,30.35,14.25,10.11
20131123,22.12,11.43,7.83
20131124,12.86,5.32,6.85
20131125,20.4,9.18,10.13
20131126,24.66,10.34,10.0
20131127,23.07,8.65,9.15
20131128,22.86,8.18,9.49
20131129,27.68,11.26,12.23
20131130,32.57,11.0,12.07
20131201,32.62,10.32,12.58
20131202,39.47,12.39,13.67
20131203,39.9,10.69,11.98
20131204,43.52,12.46,13.02
20131205,39.99,10.76,11.7
20131206,35.45,10.73,13.04
20131207,38.93,12.39,12.7
20131208,49.19,13.14,13.47
20131209,25.57,8.32,10.59
20131210,25.52,10.74,13.07
20131211,27.07,10.69,12.28
20131212,27.77,12.33,12.02
20131213,39.4,14.14,14.09
20131214,48.78,15.54,13.99
20131215,26.0,9.87,9.78
20131216,21.26,8.7,9.85
20131217,28.62,10.28,11.43
20131218,35.11,11.67,12.63
20131219,44.45,13.85,12.02
20131220,47.52,16.37,11.91
20131221,49.83,16.73,11.92
20131222,48.44,15.99,11.55
20131223,53.24,17.4,12.84
20131224,63.46,19.53,15.28
20131225,65.05,18.37,13.69
20131226,46.72,13.89,11.71
20131227,32.16,11.15,11.43
20131228,37.61,10.64,11.62
20131229,39.32,10.86,11.36
20131230,43.03,10.97,11.69
20131231,41.52,9.73,10.76
20140101,44.73,11.57,13.07
20140102,51.62,14.26,14.03
20140103,44.19,10.12,13.47
20140104,37.97,9.41,13.62
20140105,54.75,15.42,16.04
20140106,51.94,13.41,13.13
20140107,44.11,11.42,12.2
20140108,28.18,8.3,10.68
20140109,36.02,12.53,12.52
20140110,39.91,12.61,10.95
20140111,46.52,12.91,11.44
20140112,44.09,11.4,10.81
20140113,33.45,9.83,11.14
20140114,46.6,15.85,14.56
20140115,61.85,17.37,15.72
20140116,58.45,15.4,13.43
20140117,52.41,13.44,11.64
20140118,57.36,14.14,12.48
20140119,47.96,13.62,11.47
20140120,28.54,7.05,10.54
20140121,35.26,11.32,13.56
20140122,46.66,14.64,15.71
20140123,54.19,15.08,15.82
20140124,57.84,14.46,17.01
20140125,58.66,11.59,15.56
20140126,64.78,13.46,15.37
20140127,75.23,13.43,13.46
20140128,78.73,12.32,11.55
20140129,64.42,9.31,9.13
20140130,63.38,9.06,7.94
20140131,67.14,9.52,6.86
20140201,47.83,7.42,7.03
20140202,45.56,7.56,7.36
20140203,53.73,9.62,9.92
20140204,57.0,12.16,10.13
20140205,27.37,8.75,7.0
20140206,16.08,7.03,5.76
20140207,18.59,7.83,6.42
20140208,26.78,8.61,7.37
20140209,28.83,11.01,8.05
20140210,37.1,11.68,8.28
20140211,39.27,11.8,8.34
20140212,42.25,12.17,7.98
20140213,44.95,11.38,9.13
20140214,42.5,13.0,9.63
20140215,48.29,13.32,9.88
20140216,52.99,12.91,10.14
20140217,48.1,11.5,9.54
20140218,31.95,9.25,8.9
20140219,32.51,9.57,10.2
20140220,42.55,13.42,12.38
20140221,45.32,11.7,11.62
20140222,49.16,12.46,12.21
20140223,53.76,13.58,12.45
20140224,52.42,12.33,10.65
20140225,45.83,11.24,9.46
20140226,37.46,11.11,9.11
20140227,22.26,7.74,7.22
20140228,22.2,7.85,7.84
20140301,23.28,8.76,7.57
20140302,22.82,8.49,7.15
20140303,22.8,9.55,7.58
20140304,23.91,8.26,7.0
20140305,31.07,11.06,9.58
20140306,31.52,11.11,8.48
20140307,26.39,8.98,8.12
20140308,20.92,8.67,7.03
20140309,31.2,11.04,9.49
20140310,34.64,11.23,10.42
20140311,36.95,10.69,9.37
20140312,30.56,8.63,8.99
20140313,27.21,8.25,9.49
20140314,24.27,8.52,8.14
20140315,29.38,10.68,10.18
20140316,30.48,9.11,10.29
20140317,37.06,10.96,10.9
20140318,41.42,9.46,12.21
20140319,45.37,12.04,10.87
20140320,26.32,8.92,6.02
20140321,24.36,8.94,6.55
20140322,29.37,10.38,7.53
20140323,34.43,11.83,7.76
20140324,36.78,11.38,8.77
20140325,37.91,10.7,8.64
20140326,41.74,9.93,8.89
20140327,46.61,10.83,9.88
20140328,41.03,8.96,8.72
20140329,40.78,9.41,9.85
20140330,31.5,8.72,6.59
20140331,26.34,9.67,6.56
20140401,24.96,9.33,6.78
20140402,25.98,8.86,7.47
20140403,34.9,11.64,7.84
20140404,34.13,10.69,6.97
20140405,31.78,9.8,8.11
20140406,27.1,8.75,5.94
20140407,28.89,8.69,7.47
20140408,40.33,10.4,8.68
20140409,44.22,11.13,9.41
20140410,36.62,9.64,7.54
20140411,27.77,8.4,6.32
20140412,24.09,8.99,7.28
20140413,29.33,9.7,8.0
20140414,28.74,9.62,6.76
20140415,26.92,8.14,5.48
20140416,25.76,7.9,5.71
20140417,30.32,8.08,6.06
20140418,26.28,7.99,4.56
20140419,23.51,9.2,5.06
20140420,30.01,8.13,5.99
20140421,24.9,8.48,5.4
20140422,24.15,7.8,6.21
20140423,30.66,8.65,8.04
20140424,35.84,8.6,6.72
20140425,33.83,6.51,5.26
20140426,29.58,5.04,5.84
20140427,31.02,6.79,6.46
20140428,35.08,7.87,6.9
20140429,30.61,8.3,5.72
20140430,26.04,7.46,7.15
20140501,44.19,9.23,8.16
20140502,37.4,5.65,5.45
20140503,32.49,6.38,7.15
20140504,26.29,5.52,5.39
20140505,26.57,7.55,5.7
20140506,31.78,8.81,7.74
20140507,38.26,8.06,8.85
20140508,42.43,8.82,9.28
20140509,44.66,8.44,6.97
20140510,32.42,6.76,5.02
20140511,27.61,5.03,5.29
20140512,32.95,7.61,7.55
20140513,36.34,8.6,6.71
20140514,36.64,7.08,7.02
20140515,25.31,4.88,4.55
20140516,29.14,5.55,5.3
20140517,35.07,5.94,5.02
20140518,42.48,7.32,5.94
20140519,37.64,6.14,4.32
20140520,38.78,6.12,7.25
20140521,33.87,6.43,4.78
