date,PM2.5,SO2,NO2
20130101,74.24,50.58,44.36
20130102,13.87,27.54,18.41
20130103,29.46,39.94,28.87
20130104,144.61,139.81,67.93
20130105,120.42,98.83,68.3
20130106,157.7,121.52,81.63
20130107,279.75,172.46,111.01
20130108,94.79,78.29,59.87
20130109,59.54,58.16,49.67
20130110,237.98,137.81,86.5
20130111,317.84,152.03,98.48
20130112,361.67,147.92,118.8
20130113,149.36,98.13,65.36
20130114,155.95,96.61,61.97
20130115,89.19,72.63,50.74
20130116,134.96,78.77,55.03
20130117,77.2,67.21,57.34
20130118,229.06,120.08,77.73
20130119,200.29,101.2,72.1
20130120,110.72,113.03,55.27
20130121,211.67,147.12,78.9
20130122,198.37,111.13,81.29
20130123,188.29,123.05,71.5
20130124,81.04,63.87,55.07
20130125,50.97,61.6,44.86
20130126,86.5,76.3,55.09
20130127,159.58,102.94,67.5
20130128,257.53,138.31,85.87
20130129,224.61,121.01,81.54
20130130,199.52,83.76,71.32
20130131,190.18,103.87,66.88
20130201,56.49,52.3,32.28
20130202,57.07,55.21,48.22
20130203,89.22,75.99,47.7
20130204,52.75,40.05,29.27
20130205,46.14,41.77,30.91
20130206,93.07,51.41,31.91
20130207,11.5,21.95,13.41
20130208,45.57,50.14,33.19
20130209,140.34,92.36,44.42
20130210,154.11,86.18,33.59
20130211,62.42,50.8,28.97
20130212,101.88,53.81,30.06
20130213,200.2,89.49,51.24
20130214,136.13,78.27,43.46
20130215,46.62,46.72,31.15
20130216,139.57,87.35,46.4
20130217,150.59,62.93,36.11
20130218,28.92,36.78,23.74
20130219,26.0,33.99,25.07
20130220,78.33,71.38,46.69
20130221,169.12,81.66,59.04
20130222,96.14,37.09,44.8
20130223,114.23,75.85,61.81
20130224,150.62,85.08,65.42
20130225,75.66,54.59,39.56
20130226,172.22,63.36,62.07
20130227,250.87,58.12,76.26
20130228,202.3,49.72,48.42
20130301,13.8,14.65,16.19
20130302,48.12,45.53,45.08
20130303,109.45,60.15,57.21
20130304,49.29,30.92,37.31
20130305,122.76,82.5,65.06
20130306,198.55,101.45,80.58
20130307,248.52,78.9,96.8
20130308,195.8,73.35,70.46
20130309,85.84,51.86,36.28
20130310,30.48,21.24,30.04
20130311,76.08,75.14,55.39
20130312,87.69,39.93,50.09
20130313,26.88,27.09,26.87
20130314,55.61,52.73,45.0
20130315,121.04,57.37,58.35
20130316,171.03,68.31,65.56
