date,PM2.5,SO2,NO2
20130101,14.77,29.28,9.84
20130102,21.8,38.11,14.28
20130103,34.96,56.4,15.5
20130104,55.35,71.23,22.19
20130105,72.49,113.75,32.68
20130106,69.72,84.65,29.16
20130107,42.61,62.19,21.46
20130108,22.9,51.9,18.57
20130109,46.81,48.9,22.63
20130110,85.16,78.89,25.45
20130111,26.39,49.97,17.05
20130112,53.4,54.35,20.07
20130113,61.82,53.67,21.21
20130114,65.57,73.52,21.82
20130115,37.52,50.72,18.57
20130116,36.76,68.64,20.11
20130117,42.03,47.56,16.99
20130118,88.69,57.67,21.38
20130119,111.68,85.43,28.42
20130120,44.16,37.28,19.52
20130121,34.09,35.65,18.86
20130122,58.25,48.17,24.42
20130123,24.19,23.14,14.58
20130124,21.58,47.55,19.4
20130125,34.0,63.87,25.34
20130126,23.29,43.54,20.24
20130127,54.71,93.26,35.78
20130128,69.9,81.35,31.77
20130129,83.0,93.04,35.42
20130130,47.14,47.13,20.83
20130131,32.01,59.1,17.09
20130201,22.5,48.71,22.16
20130202,37.44,48.58,20.79
20130203,46.61,37.55,16.72
20130204,21.94,23.69,13.51
20130205,20.57,32.75,18.05
20130206,24.9,32.82,16.64
20130207,25.81,23.79,13.57
20130208,33.37,69.81,27.56
20130209,45.02,48.46,21.88
20130210,36.22,49.61,17.26
20130211,22.73,31.59,14.59
20130212,16.42,31.38,13.84
20130213,28.5,39.51,14.76
20130214,12.7,31.45,11.87
20130215,30.01,25.35,13.75
20130216,36.06,44.95,18.85
20130217,25.37,40.29,14.61
20130218,17.64,41.82,17.48
20130219,40.48,64.11,26.33
20130220,25.77,31.79,15.75
20130221,37.92,34.45,21.83
20130222,31.92,31.02,16.63
20130223,44.6,32.33,16.84
20130224,63.86,37.91,17.55
20130225,32.46,34.43,15.38
20130226,32.48,32.45,21.51
20130227,65.41,48.13,20.69
20130228,40.74,21.37,10.62
20130301,18.29,17.25,8.7
20130302,29.34,33.1,16.42
20130303,23.98,13.93,11.29
20130304,27.47,25.28,18.27
20130305,48.14,25.0,21.34
20130306,34.47,6.67,6.67
20130307,26.12,15.27,14.09
20130308,36.74,19.75,15.14
20130309,88.26,17.64,11.42
20130310,53.19,20.17,8.97
20130311,57.91,26.97,15.1
20130312,48.24,21.38,10.27
20130313,25.14,18.01,11.09
20130314,47.85,26.61,16.56
20130315,52.13,25.44,13.68
20130316,48.65,33.5,16.38
20130317,36.79,12.35,8.0
20130318,36.73,6.66,5.81
20130319,45.83,11.49,8.27
20130320,31.62,16.23,10.36
20130321,42.79,29.68,19.33
20130322,25.36,18.91,12.05
20130323,28.99,16.51,10.65
20130324,33.1,17.47,12.51
20130325,38.87,30.85,23.05
20130326,19.44,14.87,13.86
20130327,18.78,13.47,11.12
20130328,24.52,19.18,14.69
20130329,21.11,23.09,18.25
20130330,18.35,16.49,11.31
20130331,33.55,14.4,10.98
20130401,26.46,14.1,11.88
20130402,28.56,15.55,11.55
20130403,42.08,17.15,10.93
20130404,71.97,9.02,8.45
20130405,41.83,3.92,4.07
20130406,15.63,10.95,12.75
20130407,49.49,6.17,9.52
20130408,32.69,5.56,4.8
20130409,16.49,10.25,9.36
20130410,17.9,11.45,11.96
20130411,13.93,12.05,16.88
20130412,14.95,12.41,16.75
20130413,24.4,8.64,16.18
20130414,41.76,9.05,14.29
20130415,43.58,7.46,10.89
20130416,58.14,10.12,14.94
20130417,51.25,13.48,13.89
20130418,45.22,16.86,7.53
20130419,58.9,19.14,13.72
20130420,54.0,16.21,14.32
20130421,49.74,17.52,10.82
20130422,47.74,14.79,12.08
20130423,61.83,7.45,11.0
20130424,37.97,14.24,14.35
20130425,20.38,11.7,13.48
20130426,28.36,13.39,14.18
20130427,40.52,30.37,30.9
20130428,55.47,12.0,10.22
20130429,30.92,8.91,7.52
20130430,20.24,10.59,8.44
20130501,29.06,11.73,8.24
20130502,29.37,17.44,9.52
20130503,22.56,16.32,11.77
20130504,39.44,17.68,9.51
20130505,42.56,17.61,7.23
20130506,43.8,15.82,6.95
20130507,47.18,19.05,9.86
20130508,26.96,10.08,9.62
20130509,35.18,8.54,10.23
20130510,16.18,9.87,14.12
20130511,17.13,9.03,16.9
20130512,32.74,13.01,19.36
20130513,78.22,19.23,11.25
20130514,58.77,10.71,7.61
20130515,47.51,19.09,11.66
20130516,47.91,15.0,11.39
20130517,34.26,8.27,11.72
20130518,40.24,9.3,9.93
20130519,34.79,5.85,8.65
20130520,23.12,8.96,12.98
20130521,27.61,11.56,19.28
20130522,18.95,7.82,10.31
20130523,31.82,10.27,8.03
20130524,30.92,14.83,8.73
20130525,39.2,15.47,8.59
20130526,31.96,15.43,7.26
20130527,36.18,15.86,9.87
20130528,26.46,7.03,6.91
20130529,33.36,10.87,12.85
20130530,24.52,8.98,11.68
20130531,24.45,10.75,13.72
20130601,28.7,10.89,9.12
20130602,32.56,6.78,9.37
20130603,30.16,11.36,5.79
20130604,32.58,13.15,4.03
20130605,31.26,15.01,4.07
20130606,29.62,8.77,5.69
20130607,26.81,9.34,6.09
20130608,37.68,4.46,5.57
20130609,37.63,6.54,8.48
20130610,24.08,5.58,7.2
20130611,15.19,6.76,8.05
20130612,19.99,6.79,5.57
20130613,30.81,13.85,5.1
20130614,37.02,14.06,5.55
20130615,39.66,12.8,4.94
20130616,22.72,8.41,5.9
20130617,32.75,14.03,9.94
20130618,30.27,21.96,11.13
20130619,34.64,15.61,7.14
20130620,54.45,22.85,14.38
20130621,45.75,14.31,11.16
20130622,41.89,15.33,13.02
20130623,33.99,10.45,9.91
20130624,35.75,13.31,13.17
20130625,22.94,7.89,8.8
20130626,15.15,5.78,7.13
20130627,18.51,6.45,7.72
20130628,35.12,13.16,4.25
20130629,34.76,14.22,4.33
20130630,37.51,10.33,3.82
20130701,31.52,10.5,5.75
20130702,19.28,8.75,5.88
20130703,22.73,10.53,5.49
20130704,21.63,8.39,5.54
20130705,20.14,9.68,8.76
20130706,19.25,6.24,5.68
20130707,30.97,7.76,5.05
20130708,29.34,7.16,7.07
20130709,16.97,6.77,6.14
20130710,19.95,10.88,6.86
20130711,26.81,11.01,6.31
20130712,27.33,11.87,4.95
20130713,30.85,13.65,5.01
20130714,31.06,15.04,5.99
20130715,31.42,12.42,5.94
20130716,20.51,7.8,5.89
20130717,29.84,12.75,6.86
20130718,29.41,9.43,7.61
20130719,25.75,6.41,5.8
20130720,26.96,8.81,5.57
20130721,34.06,14.27,4.85
20130722,29.99,11.58,4.32
20130723,34.91,13.37,5.76
20130724,32.14,13.17,5.06
20130725,26.27,10.23,6.6
20130726,19.99,5.67,5.62
20130727,15.02,4.66,5.53
20130728,14.46,6.2,7.46
20130729,12.45,5.92,6.7
20130730,15.45,5.85,7.17
20130731,21.08,6.8,6.47
20130801,21.13,7.3,6.71
20130802,23.15,7.03,6.81
20130803,23.74,7.93,10.36
20130804,26.69,9.78,7.81
20130805,31.41,12.63,8.97
20130806,31.57,6.91,6.99
20130807,13.62,5.8,5.81
20130808,16.35,5.92,6.17
20130809,14.83,5.68,4.84
20130810,21.0,8.78,4.45
20130811,20.68,7.5,5.41
20130812,22.0,7.78,8.26
20130813,22.68,9.15,5.2
20130814,29.17,12.49,4.0
20130815,30.4,10.19,4.42
20130816,30.72,4.88,5.42
20130817,20.29,10.44,8.79
20130818,30.53,12.12,6.77
20130819,38.09,13.89,5.66
20130820,33.46,15.41,9.7
20130821,35.24,11.1,7.36
20130822,31.39,9.53,5.65
20130823,28.79,13.58,7.19
20130824,36.84,16.43,10.45
20130825,41.23,15.69,6.53
20130826,36.85,14.73,5.21
20130827,40.95,10.52,7.71
20130828,17.76,5.92,7.9
20130829,19.88,10.47,15.67
20130830,14.74,8.89,8.61
20130831,24.99,13.68,8.03
20130901,34.21,16.16,7.68
20130902,31.34,15.29,6.85
20130903,41.74,16.9,8.19
20130904,31.88,13.95,7.86
20130905,31.68,14.25,11.4
20130906,28.42,13.24,8.51
20130907,35.76,15.94,8.3
20130908,40.88,17.25,6.42
20130909,34.78,10.62,10.88
20130910,18.97,8.64,11.12
20130911,25.66,10.53,9.69
20130912,24.33,10.44,10.61
20130913,21.06,12.81,12.35
20130914,47.25,13.15,16.92
20130915,38.63,18.36,11.59
20130916,37.09,17.09,6.23
20130917,44.05,14.44,5.74
20130918,35.07,12.47,9.25
20130919,22.77,9.22,9.2
20130920,28.34,12.35,10.71
20130921,33.9,14.57,9.56
20130922,57.96,15.83,10.65
20130923,45.09,12.38,9.52
20130924,27.64,19.48,15.56
20130925,26.74,18.36,13.81
20130926,33.42,15.38,14.05
20130927,36.62,12.67,13.46
20130928,51.17,8.78,19.72
20130929,33.72,16.65,18.29
20130930,45.87,22.85,11.31
20131001,33.01,13.47,13.58
20131002,30.24,16.8,10.79
20131003,30.34,14.47,16.12
20131004,34.65,16.05,11.73
20131005,47.38,24.68,8.55
20131006,41.49,15.37,11.17
20131007,37.62,21.86,16.7
20131008,27.97,16.2,18.71
20131009,33.46,10.87,13.47
20131010,36.38,10.83,12.77
20131011,31.39,15.94,13.9
20131012,39.5,25.81,13.19
20131013,25.15,15.84,13.76
20131014,16.61,12.41,12.76
20131015,16.98,13.03,12.98
20131016,35.25,21.74,14.86
20131017,39.07,20.95,22.65
20131018,43.5,16.39,23.92
20131019,19.65,16.71,14.95
20131020,33.92,31.28,21.76
20131021,29.64,20.93,18.05
20131022,91.52,26.86,12.08
20131023,44.34,52.16,23.34
20131024,35.33,34.53,18.66
20131025,57.44,38.8,21.09
20131026,74.25,54.39,30.48
20131027,54.22,44.31,34.54
20131028,30.62,41.87,23.52
20131029,25.3,31.76,12.95
20131030,59.92,41.13,16.98
20131031,66.06,34.85,16.39
20131101,37.84,26.8,21.11
20131102,45.06,34.23,19.46
20131103,34.34,44.64,18.29
20131104,54.2,45.16,19.65
20131105,30.24,29.47,21.15
20131106,16.69,23.38,14.9
20131107,32.32,36.76,22.28
20131108,48.35,57.12,30.23
20131109,16.99,40.31,15.72
20131110,17.26,32.51,12.4
20131111,37.93,41.74,18.4
20131112,53.84,53.95,28.99
20131113,49.18,46.59,23.36
20131114,26.51,29.83,17.88
20131115,33.27,25.9,17.67
20131116,31.15,27.89,13.81
20131117,26.7,40.25,20.4
20131118,32.11,47.83,25.78
20131119,46.34,61.18,33.46
20131120,44.63,43.36,25.26
20131121,55.54,57.81,26.14
20131122,60.76,59.31,27.41
20131123,21.36,30.16,14.04
20131124,20.75,21.05,9.65
20131125,16.8,38.44,16.64
20131126,16.13,21.76,12.08
20131127,8.29,28.34,12.03
20131128,13.18,26.82,15.59
20131129,40.94,44.64,28.74
20131130,24.23,39.3,23.73
20131201,50.1,53.33,44.54
20131202,37.15,39.11,25.64
20131203,17.97,34.58,19.63
20131204,27.09,32.77,18.87
20131205,22.02,38.46,20.96
20131206,52.83,55.13,35.48
20131207,62.34,45.64,31.11
20131208,17.63,38.7,15.87
20131209,20.3,33.54,17.52
20131210,24.56,38.79,21.12
20131211,23.01,31.3,19.75
20131212,41.79,53.34,28.03
20131213,56.3,63.55,33.92
20131214,42.19,82.42,30.6
20131215,47.38,68.47,31.2
20131216,45.48,45.01,25.46
20131217,38.71,41.29,22.29
20131218,52.88,53.75,24.8
20131219,105.35,68.63,29.74
20131220,69.36,77.01,31.23
20131221,50.17,63.95,29.24
20131222,100.6,65.15,29.99
20131223,124.94,72.98,29.8
20131224,86.4,57.03,30.88
20131225,42.66,32.59,21.3
20131226,17.1,30.76,16.78
20131227,33.77,38.17,21.94
20131228,21.05,34.94,18.8
20131229,41.57,55.03,28.45
20131230,20.76,26.07,17.86
20131231,14.37,20.44,12.59
20140101,30.41,30.48,20.67
20140102,26.04,32.27,19.61
20140103,18.31,30.03,18.18
20140104,24.47,29.27,20.26
20140105,45.45,38.67,20.68
20140106,36.06,42.32,20.27
20140107,14.69,35.53,14.18
20140108,16.11,33.75,15.42
20140109,30.56,32.54,17.31
20140110,52.2,60.44,35.47
20140111,34.99,50.58,23.79
20140112,19.78,44.83,19.32
20140113,45.95,45.18,25.94
20140114,51.8,61.4,26.3
20140115,60.14,61.63,24.01
20140116,43.69,46.72,24.51
20140117,28.22,45.41,20.9
20140118,36.34,39.8,18.11
20140119,13.43,29.51,10.12
20140120,18.71,35.29,17.08
20140121,38.16,41.2,23.2
20140122,64.61,48.45,22.32
20140123,59.99,63.64,30.8
20140124,43.57,62.85,29.46
20140125,35.39,43.57,24.99
20140126,59.21,60.23,26.02
20140127,41.89,49.78,20.68
20140128,31.15,33.34,17.21
20140129,50.11,40.57,17.99
20140130,44.3,46.61,20.09
20140131,72.16,51.17,17.93
20140201,58.6,62.97,26.25
20140202,29.69,43.92,15.21
20140203,11.73,33.65,9.44
20140204,38.69,32.5,12.96
20140205,60.71,34.09,17.8
20140206,83.23,42.66,22.13
20140207,44.22,36.26,15.54
20140208,45.22,41.87,14.68
20140209,33.2,28.26,13.86
20140210,69.69,51.69,23.55
20140211,85.44,49.18,25.51
20140212,83.63,49.12,21.83
20140213,89.54,41.1,18.66
20140214,89.65,33.4,18.25
20140215,83.64,46.07,21.69
20140216,86.76,60.35,23.98
20140217,104.25,45.46,21.05
20140218,44.91,27.02,14.86
20140219,24.47,26.92,15.87
20140220,63.22,31.63,17.95
20140221,83.32,37.16,19.25
20140222,83.11,34.58,16.55
20140223,83.89,31.9,15.38
20140224,92.66,33.44,16.9
20140225,77.36,28.89,13.86
20140226,14.47,20.61,8.53
20140227,24.0,25.64,12.71
20140228,27.28,28.82,13.06
20140301,23.2,31.49,15.32
20140302,46.17,41.99,18.19
20140303,46.89,33.81,13.04
20140304,12.51,30.03,11.01
20140305,30.79,42.0,16.62
20140306,36.47,42.56,16.46
20140307,74.52,55.06,25.43
20140308,56.6,44.45,23.35
20140309,50.07,33.31,18.01
20140310,55.26,33.74,17.21
20140311,34.63,28.27,10.33
20140312,12.15,21.54,10.55
20140313,16.3,19.03,15.33
20140314,21.32,18.48,13.85
20140315,35.69,31.9,27.53
20140316,50.94,24.16,19.07
20140317,60.16,28.66,10.38
20140318,35.97,22.86,10.66
20140319,29.16,39.07,11.78
20140320,15.5,15.6,7.23
20140321,35.22,24.65,9.09
20140322,47.86,26.93,8.79
20140323,48.5,25.99,9.7
20140324,55.99,28.42,12.12
20140325,53.35,26.29,12.64
20140326,47.44,19.33,8.98
20140327,53.98,13.14,6.05
20140328,32.5,14.33,8.13
20140329,24.11,19.93,11.36
20140330,29.49,25.14,12.52
20140331,27.32,21.36,11.47
20140401,24.83,16.76,9.45
20140402,21.6,21.39,10.04
20140403,24.82,17.02,6.93
20140404,42.56,23.26,9.3
20140405,38.89,18.76,9.23
20140406,39.12,20.09,7.76
20140407,37.99,17.85,8.93
20140408,41.0,17.99,9.7
20140409,43.81,20.29,6.41
20140410,42.92,16.22,8.55
20140411,45.3,21.64,11.44
20140412,44.21,18.56,8.16
20140413,58.81,20.55,7.32
20140414,53.19,20.26,7.14
20140415,46.62,16.68,6.36
20140416,32.0,9.81,7.33
20140417,31.73,9.16,11.17
20140418,36.79,18.91,10.67
20140419,32.7,13.97,8.16
20140420,45.99,24.15,11.19
20140421,23.99,9.67,8.56
20140422,24.37,11.51,11.14
20140423,34.29,12.38,10.14
20140424,111.05,8.21,5.65
20140425,84.48,5.94,6.87
20140426,65.92,11.42,10.43
20140427,56.81,12.41,11.22
20140428,39.59,17.06,12.44
