date,PM2.5,SO2,NO2
20130101,61.79,35.79,33.63
20130102,54.36,29.55,27.54
20130103,42.86,37.42,22.78
20130104,63.64,28.96,28.56
20130105,78.34,29.26,31.11
20130106,103.22,53.96,41.89
20130107,120.87,52.59,44.87
20130108,155.62,63.75,49.36
20130109,173.82,69.72,53.9
20130110,121.14,34.45,42.13
20130111,116.8,37.55,47.29
20130112,172.19,44.56,52.45
20130113,148.4,40.57,52.96
20130114,124.99,30.8,49.7
20130115,125.02,30.34,35.49
20130116,171.16,45.67,38.5
20130117,136.52,35.59,37.13
20130118,89.8,28.8,41.72
20130119,86.01,29.21,42.91
20130120,104.28,23.23,41.3
20130121,121.89,40.75,41.05
20130122,133.97,42.41,37.54
20130123,113.34,35.31,26.78
20130124,126.13,38.0,32.15
20130125,94.48,25.65,39.89
20130126,126.91,35.18,45.01
20130127,120.37,24.46,40.38
20130128,113.68,33.1,50.09
20130129,121.83,29.37,41.45
20130130,107.97,26.24,41.2
20130131,121.63,20.36,34.14
20130201,114.41,27.48,41.08
20130202,95.44,27.41,34.4
20130203,54.07,19.25,26.97
20130204,68.75,23.65,25.82
20130205,52.17,17.85,24.76
20130206,57.88,16.89,18.78
20130207,68.99,23.71,19.82
20130208,33.83,17.31,14.03
20130209,53.23,16.47,11.55
20130210,106.38,26.3,13.17
20130211,105.18,23.88,15.97
20130212,70.6,18.97,13.92
20130213,93.65,23.43,18.04
20130214,102.18,24.06,20.01
20130215,126.51,29.53,23.05
20130216,107.98,25.73,20.25
20130217,75.08,16.86,19.72
20130218,65.66,22.0,21.59
20130219,33.41,16.28,19.28
20130220,50.97,18.94,27.68
20130221,67.55,22.44,27.78
20130222,88.29,26.51,30.43
20130223,114.47,26.93,34.03
20130224,112.93,25.68,29.78
20130225,88.13,20.52,27.36
20130226,130.63,25.38,32.63
20130227,130.01,23.38,28.47
20130228,85.33,22.82,27.22
20130301,46.71,20.84,20.42
20130302,29.56,18.21,18.2
20130303,44.52,20.03,29.01
20130304,60.87,31.1,32.56
20130305,70.17,30.25,33.46
20130306,55.09,22.2,23.81
20130307,72.53,30.37,32.08
20130308,69.94,28.11,28.89
20130309,81.08,29.08,21.39
20130310,33.95,13.78,15.88
20130311,35.52,16.25,23.55
20130312,61.2,19.63,29.95
20130313,66.94,23.72,24.03
20130314,32.75,15.86,22.24
20130315,62.08,20.91,30.75
20130316,101.09,23.25,50.92
20130317,92.62,17.99,37.39
20130318,61.87,24.58,27.48
20130319,78.47,25.99,24.68
