date,PM2.5,SO2,NO2
20130101,90.21,72.92,49.58
20130102,28.96,36.88,25.65
20130103,49.72,60.83,39.21
20130104,74.3,90.51,56.2
20130105,122.48,137.07,72.66
20130106,159.22,127.68,80.41
20130107,196.4,151.91,90.46
20130108,198.83,139.85,95.13
20130109,94.38,76.12,54.73
20130110,140.55,106.66,67.64
20130111,169.43,81.45,63.15
20130112,212.89,98.68,79.53
20130113,207.04,72.7,75.31
20130114,255.43,109.83,96.5
20130115,191.79,103.59,80.42
20130116,149.58,123.42,64.49
20130117,117.61,74.71,55.71
20130118,137.28,78.3,60.34
20130119,178.8,94.11,73.54
20130120,183.22,82.7,60.66
20130121,120.21,60.11,51.05
20130122,131.65,69.51,46.39
20130123,177.59,97.41,63.29
20130124,150.61,78.01,60.61
20130125,115.86,72.51,62.86
20130126,132.49,102.98,63.63
20130127,154.48,93.79,68.29
20130128,196.9,78.48,62.12
20130129,228.49,116.26,75.12
20130130,211.93,114.07,70.73
20130131,110.24,88.91,66.19
20130201,87.01,64.32,53.74
20130202,53.64,64.47,44.54
20130203,48.66,40.18,36.92
20130204,68.51,54.18,39.7
20130205,81.2,65.07,49.98
20130206,138.1,96.46,47.12
20130207,28.62,29.89,16.93
20130208,43.96,46.58,25.57
20130209,91.91,64.56,31.77
20130210,164.01,105.2,39.07
20130211,84.35,66.22,35.76
20130212,120.7,82.12,36.48
20130213,126.32,63.12,28.86
20130214,146.28,65.52,35.87
20130215,93.13,58.85,33.23
20130216,136.98,55.69,32.23
20130217,136.78,58.71,39.76
20130218,57.39,55.18,30.85
20130219,60.08,61.57,33.68
20130220,85.01,45.63,33.18
20130221,110.84,49.95,35.96
20130222,112.53,54.34,39.67
20130223,124.25,55.3,45.0
20130224,149.78,61.23,44.3
20130225,121.77,42.68,33.92
20130226,155.43,56.98,42.32
20130227,261.17,82.84,62.76
20130228,162.44,48.36,38.17
20130301,20.33,25.21,17.26
20130302,38.43,43.31,34.01
20130303,73.48,63.94,43.15
20130304,63.39,50.61,42.89
20130305,84.63,48.96,35.99
20130306,113.56,58.46,45.57
20130307,145.82,64.21,48.53
20130308,88.38,53.06,39.46
20130309,89.58,39.87,26.35
20130310,26.54,33.14,21.35
20130311,40.6,37.75,27.12
20130312,64.36,36.06,31.8
20130313,31.82,28.88,18.59
20130314,42.73,42.16,28.05
20130315,63.91,39.09,32.11
20130316,124.06,68.76,46.45
20130317,145.12,58.75,39.14
20130318,94.57,42.5,31.46
20130319,77.66,47.81,32.77
20130320,32.54,26.83,19.53
20130321,52.38,31.5,24.35
20130322,50.66,38.39,29.82
20130323,59.73,40.5,31.39
20130324,37.24,36.24,22.24
20130325,39.59,37.45,31.35
20130326,43.39,30.31,24.56
20130327,60.78,35.18,26.78
20130328,58.77,44.38,27.72
20130329,39.91,37.29,33.57
20130330,45.77,29.75,25.16
20130331,60.73,29.06,22.56
20130401,71.2,35.05,23.86
20130402,51.61,37.13,26.68
20130403,59.46,40.9,34.0
20130404,91.18,46.34,40.85
20130405,79.54,34.44,26.03
20130406,33.93,23.4,16.81
20130407,42.17,35.73,23.26
20130408,45.76,30.51,24.14
20130409,27.94,26.58,20.65
20130410,31.31,27.08,26.36
20130411,33.21,33.06,31.95
20130412,45.78,40.49,32.07
20130413,51.7,39.27,26.12
20130414,46.34,48.68,26.02
20130415,60.14,40.1,26.65
20130416,63.8,38.39,26.45
20130417,62.4,48.88,34.42
20130418,42.04,39.69,22.37
20130419,24.18,30.86,20.39
20130420,47.03,25.35,26.23
20130421,79.24,44.73,33.24
20130422,83.92,33.35,30.94
20130423,75.29,29.93,33.12
20130424,87.44,33.8,37.66
20130425,45.51,23.2,24.36
20130426,48.88,37.17,32.36
20130427,84.5,42.32,31.32
20130428,99.72,41.92,35.36
20130429,60.27,35.5,29.34
20130430,52.44,38.9,35.24
20130501,50.04,51.84,36.12
20130502,61.55,46.22,37.94
20130503,74.04,49.49,30.06
20130504,68.58,34.54,27.46
20130505,71.17,32.41,25.36
20130506,83.0,42.69,30.77
20130507,85.56,43.06,33.63
