date,PM2.5,SO2,NO2
20130101,30.76,30.83,15.12
20130102,29.98,32.96,17.28
20130103,38.49,48.29,20.95
20130104,71.5,75.22,26.81
20130105,82.73,86.34,31.25
20130106,93.16,85.82,32
20130107,124.82,89.5,33.34
20130108,68.24,56.55,26.92
20130109,55.45,55.05,23.7
20130110,131.37,96.11,34.42
20130111,93.75,63.8,25.94
20130112,80.25,78.21,28.4
20130113,112.75,90.49,35.85
20130114,125.23,90.71,40.56
20130115,68.95,42.88,24.38
20130116,75.66,56.89,27.56
20130117,66.57,54.48,26.58
20130118,109.3,77.64,32.36
20130119,142.89,78.11,37.06
20130120,156.54,67.28,39.02
20130121,149.73,73.93,34.85
20130122,141.84,90.05,36.07
20130123,119.24,76.62,34.06
20130124,36.62,34.49,18.1
20130125,41.79,50.63,20.89
20130126,40.7,45.56,23.18
20130127,54.42,55.09,24.74
20130128,70.83,68.62,30.05
20130129,77.75,70.63,30.27
20130130,118.34,84.73,35.8
20130131,113.78,66.9,33.33
20130201,52.55,41.59,23.52
20130202,61.78,54.35,27.43
20130203,92.69,52.94,27.24
20130204,67.51,43.74,22.44
20130205,84.33,53.91,25.21
20130206,75.3,47.12,22.15
20130207,37.77,27.26,15.9
20130208,50.03,46.01,20.22
20130209,80.67,56.34,21.42
20130210,138.43,56.97,25.52
20130211,109.85,51.59,22.26
20130212,36.74,30.34,13.52
20130213,48.9,52.41,18.46
20130214,52.33,45.13,18.01
20130215,52.43,43.18,18.2
20130216,118.92,60.66,24.73
20130217,84.6,40.55,19.85
20130218,44.71,34.06,17.34
20130219,52.4,45.86,19.97
20130220,65.5,47.04,21.38
20130221,63.03,46.74,21.51
20130222,58.8,42.95,21.52
20130223,102.38,62.09,31.84
20130224,157.07,69.02,36.35
20130225,234.48,67.43,36.39
20130226,126.52,51.94,27.97
20130227,122.67,66.83,35.31
20130228,104.14,43.43,24.86
20130301,21.86,25.22,14.69
20130302,49.41,50.18,25.78
20130303,42.2,37.81,19.05
20130304,38.21,36.97,21.29
20130305,73.09,66.31,33.85
20130306,63.78,41.79,24.79
20130307,57.76,39.7,21.63
20130308,79.46,38.24,21.58
20130309,67.19,26.29,16.55
20130310,31.66,27.87,17.92
20130311,51.83,44.98,26.07
20130312,65.09,40.41,22.98
20130313,56.05,31.84,22.66
20130314,73.12,43.13,26.12
20130315,92.41,52.18,26.47
20130316,110.76,58.21,34.15
20130317,78.71,38.62,19.07
20130318,59.04,23.25,13.14
20130319,70.71,30.67,17.8
20130320,36.79,26.43,18.35
20130321,69.75,43.38,25.82
20130322,50.22,32.9,21.69
20130323,58.54,35.33,20.96
20130324,30.46,29.22,18.08
20130325,58.7,49.55,29.64
20130326,63.4,42.78,23.42
20130327,58.7,39.38,20.66
20130328,52.23,28.27,20.18
20130329,62.69,46.18,28.71
20130330,69.05,42.76,28.3
20130331,93.05,51.05,27.74
20130401,36.99,19.98,12.56
20130402,35.38,31.07,20.43
20130403,62.54,38.61,23.06
20130404,88.05,35.79,24.73
20130405,54.86,12.8,9.38
20130406,19.12,16.46,11.94
20130407,52.83,35.4,16.19
20130408,41.13,11.47,7.09
20130409,20.22,10.38,6.77
20130410,17.92,14.79,10
20130411,19.92,19.83,14.66
20130412,29.71,28.41,17.76
20130413,33.77,26.63,14.36
20130414,43.94,26.44,18.1
20130415,85.41,28.73,17.85
20130416,76.47,22.5,16.85
20130417,71.42,33.19,22.81
20130418,42.97,23.7,17.41
20130419,30.7,20.77,18.19
20130420,59.94,33,19.06
20130421,85.26,39.12,20.18
20130422,95.88,44.84,27.84
20130423,89.65,30.68,16.78
20130424,49.42,18.96,13.31
20130425,32.52,16.23,12.35
20130426,38.6,32.47,16.84
20130427,55.93,34.16,21.6
20130428,57.97,27.85,17.57
20130429,39.67,18.21,15.1
20130430,38.73,27.14,18.2
20130501,52.17,33.7,23.33
20130502,52.85,33.63,23.08
20130503,54.96,32.38,20.32
20130504,73.17,39.41,23.71
20130505,71.85,38.24,20.14
20130506,70.25,36.93,19.06
20130507,70.12,34.28,17.21
20130508,71.21,32.91,15.05
20130509,54.13,16.39,11.31
20130510,39.13,17.65,12.84
20130511,33.53,25.3,14.93
20130512,50.23,27.11,16.39
20130513,73.12,24.32,18.22
20130514,56.07,21.71,16.69
