date,PM2.5,SO2,NO2
20130101,40.9,17.0,24.04
20130102,52.05,16.2,28.06
20130103,45.43,16.65,21.12
20130104,34.48,12.1,16.02
20130105,38.43,12.17,17.32
20130106,46.33,14.07,17.83
20130107,54.61,14.68,21.1
20130108,62.42,16.32,22.45
20130109,61.91,19.84,17.97
20130110,81.79,21.84,21.8
20130111,82.01,16.39,23.56
20130112,71.23,14.46,18.87
20130113,61.13,14.04,17.82
20130114,56.77,13.64,20.18
20130115,67.28,14.48,31.74
20130116,81.84,16.71,35.62
20130117,82.65,22.25,25.94
20130118,72.44,16.93,18.32
20130119,62.0,13.61,25.5
20130120,51.48,12.47,29.41
20130121,64.68,13.19,32.2
20130122,76.3,17.86,28.23
20130123,75.3,18.2,20.6
20130124,94.7,19.16,25.14
20130125,63.28,22.39,15.8
20130126,91.01,19.65,22.35
20130127,61.25,15.39,15.25
20130128,58.69,14.79,20.7
20130129,54.8,12.6,24.53
20130130,44.76,11.14,22.25
20130131,42.15,10.51,26.1
20130201,38.15,8.86,22.08
20130202,54.09,12.11,23.68
20130203,51.54,10.84,19.53
20130204,53.66,9.08,28.29
20130205,41.82,8.9,23.67
20130206,35.15,9.59,12.95
20130207,35.64,9.52,13.98
20130208,25.4,12.16,14.9
20130209,26.0,9.62,9.72
20130210,41.98,9.62,10.11
20130211,47.74,10.78,12.49
20130212,46.1,12.38,11.47
20130213,36.25,11.64,10.09
20130214,43.0,9.71,13.93
20130215,52.48,12.11,13.68
20130216,40.31,11.91,11.84
20130217,42.84,7.79,14.49
20130218,34.43,6.59,15.8
20130219,40.94,12.79,18.61
20130220,31.9,10.85,12.68
20130221,41.13,11.26,14.33
20130222,39.44,12.8,12.46
20130223,37.07,11.87,11.3
20130224,47.01,11.01,15.76
20130225,46.33,9.87,17.99
20130226,47.78,8.72,22.82
20130227,55.0,10.06,18.51
20130228,34.94,9.04,15.21
20130301,33.48,9.06,17.95
20130302,30.85,14.85,16.77
20130303,33.14,12.18,11.1
20130304,37.54,13.38,17.21
20130305,46.53,15.0,25.25
20130306,48.94,13.92,25.43
20130307,54.81,13.73,22.88
20130308,62.42,14.98,22.83
20130309,52.82,14.61,23.24
20130310,37.9,9.4,17.23
20130311,36.49,11.35,16.63
20130312,29.65,8.74,14.91
20130313,38.75,11.73,18.78
20130314,53.62,18.33,17.98
20130315,54.53,14.26,16.31
