date,PM2.5,SO2,NO2
20130101,47.55,17.53,13.88
20130102,65.7,18.25,14.54
20130103,54.38,19.44,13.27
20130104,49.61,15.35,9.99
20130105,53.07,13.57,9.28
20130106,61.97,16.01,8.33
20130107,72.39,16.9,8.88
20130108,78.11,17.2,8.94
20130109,101.76,33.13,10.12
20130110,138.19,31.43,15.05
20130111,136.02,22.53,13.42
20130112,104.34,22.26,10.05
20130113,99.71,19.96,10.29
20130114,102.3,21.03,15.53
20130115,105.82,20.43,17.25
20130116,91.52,18.19,13.02
20130117,101.59,29.21,11.91
20130118,106.41,23.3,13.66
20130119,90.67,20.22,14.27
20130120,50.81,11.95,10.52
20130121,55.48,12.97,12.16
20130122,96.6,17.21,13.9
20130123,98.21,20.29,10.71
20130124,108.15,23.7,11.98
20130125,76.87,22.41,10.96
20130126,84.84,19.18,10.33
20130127,77.06,21.49,11.28
20130128,83.95,19.61,15.39
20130129,88.72,18.46,15.71
20130130,58.91,14.97,13.14
20130131,31.46,7.88,8.75
20130201,28.5,7.24,7.73
20130202,54.35,12.72,10.57
20130203,58.16,14.45,10.41
20130204,44.14,9.33,10.75
20130205,33.27,8.38,8.6
20130206,48.08,10.61,8.21
20130207,46.76,12.61,8.99
20130208,53.48,17.78,12.5
20130209,50.52,13.33,8.1
20130210,65.87,12.82,8.03
20130211,56.22,13.74,10.97
20130212,67.6,17.42,9.97
20130213,72.03,16.69,7.74
20130214,70.6,15.63,9.61
20130215,66.23,16.96,8.02
20130216,65.36,16.58,8.64
20130217,50.53,10.37,8.59
20130218,31.16,6.38,5.72
20130219,62.41,18.21,11.57
20130220,57.76,14.42,8.62
20130221,57.08,12.69,8.54
20130222,54.27,16.76,6.77
20130223,66.17,18.6,8.6
20130224,69.65,15.77,9.75
20130225,55.25,11.92,10.34
20130226,45.68,9.64,8.91
20130227,56.49,12.52,8.77
20130228,35.26,8.12,6.6
20130301,38.94,12.81,7.37
20130302,47.98,17.33,8.24
20130303,45.15,16.05,7.19
20130304,49.99,14.63,11.0
20130305,58.43,16.43,14.26
20130306,55.32,16.81,12.63
20130307,54.74,16.51,9.07
20130308,63.26,15.53,9.15
20130309,43.35,10.14,7.34
20130310,41.81,9.61,7.43
20130311,42.47,10.8,7.86
20130312,30.54,6.72,5.58
20130313,44.16,13.14,7.6
20130314,71.15,21.38,8.47
20130315,74.6,16.8,11.02
20130316,37.61,7.45,6.27
20130317,32.29,7.75,5.45
20130318,59.36,16.86,8.47
20130319,50.16,11.39,7.83
20130320,42.04,13.38,7.47
20130321,54.67,17.36,8.16
20130322,28.32,6.54,6.1
20130323,31.19,8.02,7.21
20130324,44.72,12.36,6.65
20130325,53.23,15.44,7.98
20130326,36.15,13.92,7.0
20130327,47.88,17.12,7.52
20130328,49.99,13.86,8.86
20130329,52.39,16.18,8.0
20130330,53.36,15.33,10.44
20130331,50.53,14.42,8.14
20130401,51.48,13.8,10.26
20130402,47.55,12.06,7.74
20130403,38.75,9.41,8.47
20130404,26.6,6.55,6.39
20130405,35.94,12.59,7.78
20130406,38.3,13.13,5.79
20130407,49.6,13.16,9.1
20130408,69.83,14.33,11.77
20130409,71.83,15.62,10.78
20130410,61.57,15.5,8.63
20130411,52.26,12.32,8.99
20130412,42.22,10.42,7.76
20130413,50.47,12.43,8.54
20130414,52.78,13.92,8.05
20130415,68.55,13.76,9.41
20130416,41.91,7.22,6.78
20130417,34.79,7.07,7.2
20130418,24.72,6.25,6.84
20130419,24.22,6.95,7.26
20130420,35.29,12.04,8.78
20130421,54.66,16.12,8.51
20130422,56.26,14.27,10.75
20130423,21.42,5.15,5.92
20130424,30.79,8.4,7.28
20130425,51.72,12.75,8.76
20130426,47.14,12.55,6.81
20130427,55.03,14.43,9.98
20130428,32.87,7.37,7.05
20130429,23.56,6.21,7.09
20130430,30.84,12.08,6.82
20130501,36.31,11.88,6.14
20130502,50.5,13.48,8.79
20130503,43.82,13.79,9.1
20130504,52.05,13.32,8.17
20130505,57.12,14.67,9.49
20130506,42.9,10.12,7.83
20130507,29.41,7.28,7.75
20130508,27.26,7.17,7.27
20130509,30.11,8.89,7.5
20130510,49.03,19.1,6.95
20130511,50.2,16.48,6.39
20130512,56.09,15.16,7.84
20130513,57.22,14.02,8.77
20130514,26.53,6.72,5.88
20130515,21.36,6.89,5.71
20130516,42.71,12.93,7.12
20130517,52.66,14.42,7.22
20130518,47.47,11.97,7.73
20130519,48.04,12.23,7.31
20130520,50.69,12.96,7.48
20130521,45.04,11.53,7.56
20130522,48.46,13.04,7.82
20130523,45.58,12.11,7.45
20130524,40.56,10.2,6.81
20130525,23.17,6.96,6.7
20130526,14.79,5.92,5.8
20130527,20.77,7.43,6.79
20130528,24.17,7.75,6.77
20130529,20.63,7.92,6.61
20130530,35.19,13.55,7.57
20130531,35.37,10.77,6.99
20130601,21.29,7.05,6.4
20130602,32.25,10.87,7.34
20130603,40.95,11.65,7.43
20130604,34.92,9.73,7.95
20130605,24.18,7.48,7.37
20130606,15.2,5.76,6.21
20130607,15.63,6.19,5.78
20130608,22.0,8.13,6.78
20130609,26.05,9.88,7.07
20130610,29.15,15.26,7.33
20130611,38.24,15.37,6.35
20130612,41.0,12.1,7.25
20130613,48.03,12.3,7.79
20130614,45.99,10.5,8.21
20130615,32.75,7.51,7.95
20130616,27.43,9.59,8.41
20130617,30.35,12.32,8.46
20130618,36.42,9.99,7.18
20130619,41.61,8.97,6.55
20130620,33.87,8.24,6.66
20130621,32.44,8.75,6.95
20130622,37.64,10.1,7.4
20130623,20.06,8.74,7.12
20130624,15.37,6.8,6.4
20130625,20.39,8.01,6.56
20130626,18.9,7.28,5.94
20130627,17.6,7.57,5.92
20130628,21.82,8.63,6.31
20130629,17.58,6.69,5.98
20130630,15.87,5.99,5.46
20130701,17.76,6.73,6.84
20130702,18.97,8.91,8.13
20130703,13.48,5.14,4.99
20130704,13.84,5.21,5.14
20130705,14.07,5.25,5.35
20130706,14.61,5.45,5.33
20130707,14.54,5.51,5.41
20130708,13.38,5.08,5.2
20130709,12.39,4.91,5.54
20130710,14.13,5.29,5.81
20130711,17.11,6.08,6.49
20130712,24.17,7.51,7.06
20130713,28.13,8.13,6.68
20130714,31.91,8.63,6.8
20130715,22.66,6.89,6.65
20130716,19.52,6.4,6.73
20130717,18.26,6.33,6.49
20130718,19.02,6.98,6.93
20130719,22.75,7.87,7.58
20130720,25.49,10.26,8.57
20130721,19.59,7.58,7.51
20130722,18.71,7.81,8.75
20130723,21.67,8.46,8.97
20130724,23.66,8.95,8.69
20130725,28.22,9.2,8.18
20130726,32.13,9.5,8.22
20130727,26.2,8.61,6.82
20130728,18.65,7.11,6.79
20130729,13.86,5.57,6.54
20130730,17.27,6.26,7.12
20130731,22.15,7.04,7.42
20130801,27.16,9.33,9.1
20130802,23.94,7.92,8.21
20130803,13.38,5.72,5.05
20130804,13.37,5.16,6.15
20130805,16.3,5.39,6.79
20130806,18.47,5.77,6.92
20130807,16.84,6.54,8.79
20130808,12.83,5.4,7.34
20130809,17.47,6.02,8.95
20130810,20.77,7.02,9.22
20130811,26.62,7.86,8.45
20130812,32.97,9.62,8.02
20130813,41.16,10.52,7.09
20130814,27.51,6.66,7.35
20130815,22.91,7.54,6.46
20130816,27.95,10.49,7.03
20130817,27.08,10.44,6.84
20130818,27.98,10.88,6.87
20130819,29.27,10.95,7.27
20130820,44.15,15.61,6.88
20130821,48.97,15.12,7.2
20130822,39.57,13.04,6.74
20130823,38.85,13.94,8.36
20130824,41.66,15.79,8.21
20130825,33.61,12.31,8.63
20130826,33.07,9.79,8.94
20130827,32.45,8.16,8.06
20130828,30.45,8.02,8.51
20130829,30.29,8.06,8.17
20130830,37.64,10.07,7.66
20130831,47.02,14.83,8.92
20130901,49.68,16.8,8.34
20130902,46.38,13.89,6.92
20130903,44.47,14.15,7.2
20130904,43.03,16.2,7.64
20130905,40.07,17.6,7.98
20130906,45.71,19.75,8.41
20130907,48.94,16.33,7.31
20130908,53.63,15.38,8.64
20130909,56.19,14.4,7.93
20130910,56.14,14.6,7.24
20130911,55.31,15.66,8.47
20130912,57.26,16.78,8.08
20130913,65.38,17.82,7.42
20130914,68.13,15.69,7.61
20130915,69.7,16.86,7.71
20130916,59.68,16.1,8.44
20130917,44.68,12.68,9.1
20130918,41.52,10.64,9.88
20130919,32.77,8.78,8.02
20130920,32.94,10.21,7.61
20130921,42.89,12.88,7.9
20130922,48.04,14.03,6.78
20130923,45.07,15.02,8.86
20130924,40.93,17.87,9.9
20130925,35.84,19.32,11.16
20130926,28.44,15.87,7.82
20130927,37.46,14.26,7.56
20130928,42.98,15.93,7.84
20130929,42.12,14.92,9.13
20130930,45.5,16.1,9.0
20131001,45.83,14.81,7.09
20131002,45.46,16.76,7.69
20131003,69.21,22.52,9.05
20131004,68.51,16.32,10.12
20131005,59.33,14.85,11.1
20131006,54.8,18.54,9.7
20131007,44.85,16.75,8.06
20131008,36.78,15.97,8.24
20131009,40.01,15.69,8.52
20131010,52.81,14.78,11.19
20131011,53.34,15.87,11.29
20131012,53.47,15.7,11.44
20131013,55.3,13.5,10.86
20131014,55.61,12.6,10.66
20131015,73.56,21.34,12.24
20131016,63.94,18.84,9.99
20131017,57.35,16.97,10.08
20131018,61.64,16.08,10.3
20131019,48.47,17.28,8.23
20131020,56.55,20.66,8.85
20131021,63.12,18.29,9.75
20131022,65.36,19.62,9.54
20131023,75.39,23.85,10.68
20131024,73.04,25.64,12.41
20131025,68.37,22.03,15.6
20131026,73.94,19.19,16.76
20131027,79.15,19.8,17.14
20131028,81.27,19.44,15.19
20131029,87.59,18.74,13.88
20131030,74.69,16.65,11.83
20131031,73.53,16.18,10.56
20131101,75.38,17.19,12.03
20131102,69.22,22.34,10.72
20131103,50.84,20.76,10.02
20131104,54.87,22.81,10.73
20131105,66.59,22.09,11.31
20131106,71.89,21.22,12.46
20131107,72.83,21.01,14.05
20131108,57.49,16.34,11.8
20131109,41.29,12.31,13.0
20131110,55.18,17.33,14.97
20131111,33.04,18.44,14.33
20131112,26.29,18.73,12.7
20131113,31.17,19.77,10.23
20131114,36.82,20.37,9.43
20131115,48.02,24.36,12.07
20131116,62.19,25.88,14.58
20131117,62.88,27.49,15.42
20131118,64.33,24.06,17.99
20131119,66.29,21.95,15.59
20131120,70.51,21.92,17.79
20131121,76.52,21.23,15.39
20131122,81.37,19.19,14.65
20131123,76.78,18.66,15.47
20131124,48.85,19.13,12.76
20131125,26.45,13.77,11.88
20131126,41.9,16.73,16.7
20131127,43.18,21.0,13.36
20131128,30.45,19.3,11.4
20131129,36.15,17.7,14.01
20131130,49.31,21.08,17.86
20131201,54.63,23.56,16.9
20131202,61.84,24.74,22.47
20131203,66.66,24.3,19.07
20131204,76.61,33.34,21.87
20131205,82.55,30.44,25.19
20131206,93.73,37.17,20.82
20131207,112.2,36.86,28.44
20131208,112.46,28.21,21.03
20131209,107.78,34.08,17.9
20131210,79.1,27.46,16.58
20131211,89.81,35.46,19.55
20131212,93.62,30.37,17.7
20131213,98.75,28.84,16.75
20131214,76.99,21.21,15.45
20131215,45.66,22.92,13.99
20131216,32.0,23.16,13.18
20131217,39.86,24.22,10.73
20131218,48.71,21.46,11.74
20131219,55.52,20.98,13.31
20131220,76.89,25.21,16.98
20131221,106.93,31.77,18.34
20131222,115.84,28.81,19.39
20131223,105.6,26.87,21.69
20131224,99.53,29.16,21.63
20131225,103.51,33.48,24.65
20131226,116.0,40.87,22.61
20131227,85.82,32.44,17.73
20131228,61.85,23.67,17.01
20131229,64.42,26.92,18.01
20131230,80.57,30.93,22.52
20131231,92.06,29.77,22.24
20140101,105.85,31.19,26.86
20140102,111.04,24.48,28.22
20140103,124.57,31.24,21.62
20140104,112.94,29.64,21.32
20140105,108.92,25.86,32.74
20140106,138.36,29.33,39.57
20140107,82.84,12.17,16.74
20140108,69.51,26.22,15.36
20140109,83.45,27.44,16.68
20140110,98.54,20.86,19.91
20140111,75.26,16.38,16.99
20140112,51.81,19.34,10.95
20140113,57.53,23.51,13.63
20140114,75.26,24.16,20.34
20140115,82.81,20.46,20.29
20140116,76.89,17.56,21.89
20140117,91.29,21.62,20.53
20140118,99.41,26.66,21.7
20140119,102.01,21.32,28.75
20140120,107.46,28.63,21.68
20140121,67.2,17.92,17.27
20140122,62.47,16.06,21.33
20140123,66.19,13.02,23.77
20140124,55.34,10.25,19.7
20140125,73.38,12.27,16.99
20140126,118.6,20.98,19.7
20140127,119.59,20.63,20.01
20140128,84.24,12.33,15.92
20140129,69.92,11.42,10.91
20140130,58.77,10.11,7.78
20140131,86.46,17.35,8.4
20140201,42.3,7.33,8.4
20140202,40.11,7.21,9.4
20140203,46.07,8.48,9.57
20140204,83.6,17.13,12.37
20140205,45.83,12.14,8.94
20140206,27.98,7.62,8.55
20140207,33.69,12.44,10.9
20140208,45.6,12.79,11.15
20140209,34.25,13.54,10.37
20140210,61.19,18.22,10.48
20140211,69.19,16.07,8.51
20140212,68.03,16.19,9.61
20140213,58.86,14.53,8.1
20140214,72.57,16.68,8.86
20140215,81.44,13.69,11.59
20140216,59.61,10.22,12.93
20140217,44.03,10.44,14.04
20140218,32.88,14.52,12.8
20140219,44.61,16.05,9.65
20140220,54.3,11.98,13.48
20140221,72.51,14.02,29.15
20140222,56.91,9.26,17.25
20140223,41.35,9.66,13.73
20140224,41.21,9.07,15.34
20140225,32.98,8.65,11.85
20140226,42.05,12.77,10.59
20140227,57.15,14.23,13.14
20140228,45.61,9.09,11.71
20140301,34.7,11.75,11.8
20140302,48.55,16.05,12.17
20140303,45.8,14.57,13.31
20140304,43.66,13.86,11.01
20140305,55.04,17.66,12.06
20140306,46.24,13.0,14.51
20140307,40.51,13.34,13.27
20140308,36.55,10.84,10.12
20140309,41.61,13.82,9.5
20140310,45.09,12.94,11.8
20140311,38.91,10.91,15.02
20140312,40.03,8.94,12.48
20140313,56.75,18.43,10.33
20140314,64.1,18.58,11.45
20140315,68.81,16.8,14.61
20140316,68.52,13.7,15.45
20140317,57.89,9.57,14.89
20140318,57.37,8.54,14.03
20140319,41.74,7.29,10.7
20140320,53.78,14.85,13.54
20140321,49.28,17.4,9.64
20140322,58.89,15.62,12.36
20140323,63.92,15.92,11.5
20140324,63.48,14.16,13.31
20140325,51.4,9.39,11.67
20140326,52.52,10.76,13.29
20140327,54.19,7.54,12.97
20140328,33.32,5.79,9.88
20140329,39.22,10.12,10.2
20140330,31.65,7.5,9.29
20140331,33.93,12.41,8.77
20140401,51.53,16.96,7.68
20140402,56.84,18.66,12.45
20140403,50.22,15.08,9.85
20140404,61.3,17.05,10.79
20140405,73.32,15.24,11.91
20140406,43.43,11.52,9.81
20140407,37.74,10.28,9.23
20140408,41.62,10.08,10.86
20140409,36.05,10.03,10.12
20140410,30.2,6.32,11.57
20140411,27.33,4.89,8.75
20140412,29.39,5.44,8.32
20140413,37.7,9.61,10.01
20140414,52.54,13.27,10.6
20140415,43.89,9.11,10.98
20140416,29.02,6.09,7.19
20140417,28.47,5.27,7.06
20140418,30.3,5.56,7.34
20140419,32.26,6.85,8.14
20140420,40.07,12.37,8.19
20140421,32.34,7.43,8.64
20140422,34.11,12.51,9.23
20140423,42.36,12.46,10.87
20140424,26.3,6.58,8.44
20140425,27.78,7.14,8.01
20140426,35.09,14.15,9.23
20140427,42.53,15.89,7.95
20140428,48.16,15.13,7.77
20140429,56.11,14.5,9.23
20140430,49.01,13.99,7.52
20140501,51.11,12.56,8.97
20140502,54.47,12.77,10.23
20140503,52.44,11.92,8.83
20140504,42.77,13.12,9.01
20140505,35.39,15.62,7.35
20140506,52.42,14.57,9.21
20140507,59.54,14.74,11.7
20140508,49.59,10.67,13.59
20140509,30.54,6.35,9.43
20140510,19.23,5.42,6.27
20140511,29.47,13.54,7.39
20140512,39.41,14.7,8.6
