date,PM2.5,SO2,NO2
20130101,7.19,2.97,2.04
20130102,7.35,2.8,2.25
20130103,7.54,2.77,2.14
20130104,8.38,3.29,2.27
20130105,9.29,3.38,2.45
20130106,8.76,3.19,2.17
20130107,8.49,2.99,1.96
20130108,8.77,3.62,2.19
20130109,9.2,4.68,2.17
20130110,8.5,2.88,2.0
20130111,8.56,2.82,1.88
20130112,8.61,2.94,1.94
20130113,5.9,2.05,2.01
20130114,5.46,2.01,1.77
20130115,6.89,2.38,1.8
20130116,7.5,2.51,1.88
20130117,7.37,2.58,1.92
20130118,8.55,2.91,2.0
20130119,9.39,3.22,2.22
20130120,8.1,3.04,2.12
20130121,8.22,2.93,2.12
20130122,7.66,2.59,1.89
20130123,6.52,2.47,1.95
20130124,7.62,2.61,2.25
20130125,8.03,2.61,2.25
20130126,7.14,2.75,2.21
20130127,8.18,3.12,2.15
20130128,8.74,2.83,2.04
20130129,5.3,2.42,1.93
20130130,4.92,2.35,1.81
20130131,4.63,2.12,1.76
20130201,4.46,2.25,1.78
20130202,4.47,2.14,1.85
20130203,5.01,2.23,2.27
20130204,5.56,2.4,1.84
20130205,7.82,3.06,2.32
20130206,8.98,3.52,2.83
20130207,8.11,3.21,1.85
20130208,6.29,2.4,1.34
20130209,6.05,2.59,1.55
20130210,5.34,2.98,1.57
20130211,5.3,3.32,1.65
20130212,6.14,3.14,1.78
20130213,5.85,2.87,1.7
20130214,4.8,2.5,1.54
20130215,5.28,2.41,1.61
20130216,4.68,2.29,1.4
20130217,4.18,2.22,1.57
20130218,3.68,2.04,1.43
20130219,4.23,2.02,1.53
20130220,4.66,2.06,1.56
20130221,5.08,2.21,1.7
20130222,6.04,2.33,2.03
20130223,6.12,2.44,1.9
20130224,6.27,2.45,2.04
20130225,5.62,2.19,1.74
20130226,5.12,2.11,1.6
20130227,9.68,2.23,1.53
20130228,20.6,2.05,1.4
20130301,16.91,1.87,1.67
20130302,16.38,1.64,1.48
20130303,14.0,1.72,1.5
20130304,11.6,2.12,1.99
20130305,9.09,2.23,2.11
20130306,7.0,1.68,1.49
20130307,6.49,1.64,1.52
20130308,9.63,1.43,1.14
20130309,31.93,1.46,1.19
20130310,41.17,1.93,1.53
20130311,32.09,2.01,1.41
20130312,24.67,1.75,1.33
20130313,21.69,1.88,1.48
20130314,15.36,2.05,1.73
20130315,11.92,2.11,1.4
20130316,10.66,2.08,1.35
20130317,9.88,2.05,1.22
20130318,8.67,1.73,1.06
20130319,5.83,1.66,1.11
20130320,4.44,1.49,1.04
20130321,4.86,1.61,1.08
20130322,5.96,1.75,1.08
20130323,10.99,1.65,1.03
20130324,19.18,1.78,1.03
20130325,35.49,1.67,0.95
20130326,34.25,1.57,1.05
20130327,21.64,1.62,1.13
20130328,11.68,1.63,1.02
20130329,10.44,1.55,1.01
20130330,9.11,1.54,1.04
20130331,11.04,1.59,1.04
20130401,22.66,1.67,0.99
20130402,30.46,1.75,1.0
20130403,27.62,1.5,0.81
20130404,49.4,1.35,0.74
20130405,44.44,1.38,0.94
20130406,34.23,1.23,0.95
20130407,22.44,1.13,0.9
20130408,37.24,1.03,0.97
20130409,61.12,1.08,1.11
20130410,39.49,1.12,1.16
20130411,23.13,1.16,1.08
20130412,19.36,1.28,1.18
20130413,16.34,1.17,1.14
20130414,18.79,1.29,1.01
20130415,13.56,1.32,0.77
20130416,16.03,1.19,0.92
20130417,60.37,1.26,0.71
20130418,51.47,1.18,0.97
20130419,35.73,1.31,0.96
20130420,24.17,1.65,1.0
20130421,17.71,1.44,0.93
20130422,13.94,1.3,0.89
20130423,13.04,1.12,0.93
20130424,15.08,1.14,1.01
20130425,16.1,1.09,0.98
20130426,12.46,1.11,0.83
