date,PM2.5,SO2,NO2
20130101,67.4,48.02,51.06
20130102,38.56,29.59,26.14
20130103,37.02,38.29,24.99
20130104,55.29,40.09,33.77
20130105,80.25,52.49,44.68
20130106,112.7,82.38,61.1
20130107,128.78,82.72,70.49
20130108,150.89,77.62,71.63
20130109,114.85,61.39,54.26
20130110,70.68,41.19,44.85
20130111,77.9,44.4,59.14
20130112,166.21,61.83,79.21
20130113,118.19,35.28,56.07
20130114,128.67,31.56,53.86
20130115,148.11,38.32,49.62
20130116,155.18,46.34,46.44
20130117,65.36,32.23,31.32
20130118,107.04,44.91,53.51
20130119,125.58,50.86,65.43
20130120,71.3,26.58,46.9
20130121,97.55,30.82,42.62
20130122,106.97,34.02,34.2
20130123,124.23,40.53,41.29
20130124,148.56,47.97,51.0
20130125,129.35,37.7,55.46
20130126,120.78,35.69,49.26
20130127,61.09,24.09,37.14
20130128,112.56,38.33,60.2
20130129,146.34,43.62,73.28
20130130,164.55,42.17,61.45
20130131,77.04,25.69,46.1
20130201,96.41,30.75,50.14
20130202,45.54,21.72,22.2
20130203,26.97,15.52,27.48
20130204,52.79,21.47,25.91
20130205,37.41,11.59,19.44
20130206,72.51,21.23,23.0
20130207,59.16,22.92,15.19
20130208,27.46,16.22,12.03
20130209,61.13,19.23,16.14
20130210,139.29,32.78,20.96
20130211,68.26,16.04,13.09
20130212,56.59,17.91,16.76
20130213,117.01,26.06,23.23
20130214,98.35,21.45,21.36
20130215,114.3,24.92,20.39
20130216,85.61,23.04,19.91
20130217,48.43,21.68,25.21
20130218,46.02,18.49,16.57
20130219,28.09,17.66,18.95
20130220,53.32,20.79,27.66
20130221,77.04,26.55,29.12
20130222,112.51,33.53,36.55
20130223,175.49,31.87,37.14
20130224,124.4,30.56,30.38
20130225,60.54,25.19,31.97
20130226,86.94,23.81,30.88
20130227,115.53,23.7,29.19
20130228,90.29,25.41,41.14
20130301,47.05,19.26,19.37
20130302,24.37,19.28,16.78
20130303,53.71,32.73,38.73
20130304,81.14,46.08,46.97
20130305,107.56,48.4,53.46
20130306,103.98,45.68,56.79
20130307,110.83,51.84,52.95
20130308,95.12,47.78,54.45
20130309,103.22,46.05,51.34
20130310,24.73,12.15,13.39
20130311,22.25,13.6,21.63
20130312,64.49,27.37,46.58
20130313,42.89,17.44,21.34
20130314,26.67,15.97,18.52
20130315,50.06,22.42,33.59
20130316,88.58,32.12,49.8
20130317,57.77,15.93,34.82
20130318,78.45,27.77,35.05
20130319,114.22,33.11,46.83
20130320,52.56,17.47,21.51
20130321,39.12,23.42,29.13
20130322,73.14,30.88,39.78
20130323,51.58,18.84,27.3
20130324,62.8,21.97,27.67
20130325,33.5,16.39,19.9
20130326,21.55,14.79,21.56
20130327,54.74,27.81,36.9
20130328,91.06,35.15,43.4
20130329,33.83,14.5,19.0
20130330,32.71,21.19,27.99
20130331,34.88,15.35,18.45
20130401,70.35,30.01,35.97
20130402,62.43,26.38,25.1
20130403,53.5,33.98,41.13
20130404,46.81,27.68,30.77
20130405,43.17,16.44,20.02
20130406,35.42,19.61,15.48
20130407,42.79,28.83,31.88
20130408,67.72,46.05,44.71
20130409,40.81,32.21,28.25
20130410,40.24,32.46,35.5
20130411,49.89,38.72,38.71
20130412,58.81,38.01,41.64
20130413,65.89,39.68,43.13
20130414,45.21,28.68,27.22
20130415,55.75,34.88,36.83
20130416,63.54,41.5,44.16
20130417,62.03,22.81,26.94
20130418,55.67,20.1,25.08
