date,PM2.5,SO2,NO2
20130101,48.05,20.68,15.55
20130102,68.57,24.1,23.84
20130103,39.56,15.58,17.07
20130104,53.47,18.35,21.12
20130105,65.9,20.25,23.32
20130106,77.94,24.1,26.76
20130107,90.73,27.0,24.1
20130108,112.38,32.99,28.68
20130109,132.98,46.22,44.53
20130110,114.0,29.01,33.0
20130111,82.82,19.14,23.93
20130112,82.71,20.72,19.07
20130113,77.31,19.4,15.92
20130114,69.28,17.91,17.75
20130115,70.77,19.66,19.08
20130116,97.97,27.76,20.79
20130117,141.5,33.32,28.35
20130118,68.31,17.6,18.77
20130119,57.48,14.99,16.96
20130120,43.5,11.35,15.18
20130121,71.09,21.51,24.37
20130122,115.54,32.21,23.81
20130123,118.74,28.55,16.69
20130124,124.0,29.99,17.9
20130125,113.5,27.19,18.84
20130126,87.32,19.33,14.1
20130127,101.66,26.68,21.94
20130128,104.13,21.57,22.86
20130129,68.58,16.78,16.41
20130130,60.2,14.28,14.56
20130131,54.97,12.21,17.08
20130201,41.11,12.24,15.7
20130202,79.06,22.67,29.82
20130203,83.89,16.81,20.57
20130204,50.45,10.88,14.42
20130205,33.15,13.11,15.63
20130206,64.4,21.93,15.44
20130207,58.96,21.5,21.64
20130208,34.42,12.86,13.3
20130209,44.01,12.82,9.64
20130210,78.24,15.77,9.04
20130211,69.33,15.52,12.1
20130212,78.39,17.05,11.48
20130213,73.15,16.49,9.89
20130214,55.48,12.53,10.2
20130215,82.39,21.45,12.4
20130216,76.44,18.36,11.79
20130217,46.8,11.05,10.52
20130218,37.04,14.44,13.12
20130219,38.34,14.6,13.92
20130220,37.96,13.65,10.81
20130221,47.35,13.02,11.08
20130222,54.98,15.67,12.07
20130223,54.3,14.36,14.6
20130224,59.1,14.54,13.68
20130225,67.35,11.09,13.74
20130226,53.47,11.77,11.57
20130227,83.41,19.67,16.09
20130228,72.41,16.13,12.52
20130301,44.05,15.2,13.75
20130302,33.89,14.7,12.86
20130303,38.4,15.11,11.9
20130304,46.45,17.05,10.7
20130305,45.46,15.33,10.35
20130306,44.33,14.43,13.54
20130307,52.79,18.82,14.99
20130308,65.57,22.65,12.0
20130309,64.08,21.92,11.46
20130310,46.16,17.21,13.34
20130311,40.44,15.07,11.83
20130312,45.97,13.43,11.3
20130313,62.84,24.36,21.34
20130314,54.3,18.72,14.45
20130315,46.53,17.03,13.45
20130316,54.66,13.07,13.01
20130317,39.28,11.95,11.59
20130318,55.43,23.84,11.89
20130319,60.83,19.66,11.34
20130320,51.65,17.62,13.64
20130321,71.6,19.97,12.85
20130322,47.29,15.78,9.86
20130323,61.12,18.17,14.27
20130324,74.26,23.75,19.95
20130325,65.71,20.68,19.1
20130326,40.02,13.5,12.66
20130327,48.74,16.34,9.83
20130328,53.97,15.24,10.03
20130329,57.72,15.53,12.41
20130330,50.15,13.8,10.1
20130331,50.34,13.28,9.34
20130401,55.28,13.98,11.64
20130402,65.9,16.14,11.23
20130403,60.86,17.13,14.84
20130404,44.72,10.55,8.54
20130405,32.07,10.17,9.74
20130406,45.93,17.15,12.42
20130407,38.03,11.99,10.92
20130408,39.16,14.39,12.67
20130409,52.5,16.71,12.58
20130410,44.62,13.95,11.59
20130411,45.54,16.36,14.12
20130412,41.3,14.2,9.99
20130413,38.87,14.86,11.9
20130414,43.0,16.75,9.24
20130415,40.09,13.01,10.09
20130416,52.98,16.87,10.49
20130417,53.18,14.6,9.49
20130418,41.77,13.79,10.62
20130419,46.04,17.56,12.65
20130420,40.3,16.41,15.02
20130421,42.34,14.2,9.65
20130422,43.66,12.61,8.5
20130423,30.99,9.86,9.12
20130424,52.36,16.37,11.59
20130425,68.54,24.75,9.51
20130426,62.77,18.63,10.82
20130427,47.78,13.35,10.85
20130428,31.99,9.56,7.64
20130429,25.56,7.29,6.5
20130430,25.49,13.64,10.79
20130501,36.91,13.73,11.66
20130502,39.45,11.66,10.91
20130503,44.25,12.84,10.31
20130504,47.27,12.22,7.3
20130505,45.54,10.42,7.97
20130506,35.05,7.65,8.09
20130507,30.76,7.61,7.9
20130508,23.75,7.29,6.51
20130509,25.02,9.72,7.09
20130510,60.89,20.37,9.04
20130511,65.6,19.56,9.02
20130512,61.37,15.44,8.03
20130513,54.11,11.87,8.17
20130514,55.05,14.58,7.89
20130515,26.47,8.33,6.95
20130516,34.92,14.25,10.85
20130517,45.62,16.32,11.15
20130518,65.96,15.91,10.09
20130519,75.63,20.9,8.86
20130520,78.98,22.71,7.22
20130521,67.45,18.57,6.6
20130522,63.72,12.94,6.76
20130523,71.28,13.74,9.48
20130524,58.61,11.21,7.75
20130525,39.45,10.91,6.68
20130526,12.66,6.79,4.92
20130527,29.02,15.42,8.24
20130528,45.38,15.03,6.78
20130529,33.24,12.96,8.26
20130530,55.01,19.42,12.48
20130531,60.76,18.59,9.16
20130601,41.75,12.7,7.69
20130602,55.75,16.75,9.3
20130603,56.7,15.45,7.89
20130604,50.29,13.14,9.02
20130605,43.75,11.33,9.34
20130606,26.16,10.42,9.13
20130607,20.31,11.42,8.87
20130608,34.34,16.02,9.78
20130609,27.98,9.74,7.71
20130610,35.32,10.34,9.03
20130611,50.98,15.99,11.68
20130612,63.29,20.17,9.85
20130613,49.8,15.43,9.12
20130614,28.3,7.87,7.41
20130615,18.44,7.07,8.08
20130616,13.52,7.71,8.45
20130617,13.25,7.63,6.77
20130618,17.11,8.89,7.35
20130619,25.97,12.6,8.2
20130620,35.71,11.17,6.73
20130621,53.17,14.32,8.43
20130622,24.56,8.39,6.85
20130623,12.59,5.84,5.73
20130624,10.18,6.2,6.43
20130625,16.33,10.64,7.85
20130626,23.99,12.53,8.88
20130627,20.18,10.29,8.43
20130628,22.22,9.93,8.43
20130629,20.45,8.86,8.52
20130630,14.88,7.66,7.56
20130701,14.12,5.86,7.5
20130702,7.61,5.11,5.73
20130703,9.35,6.52,6.28
20130704,11.58,8.75,7.41
20130705,13.67,10.02,7.73
20130706,16.5,11.18,9.16
20130707,13.52,8.92,7.54
20130708,10.79,7.26,6.67
20130709,15.25,7.94,7.35
20130710,19.63,9.55,8.31
20130711,27.56,11.44,8.58
20130712,34.61,8.45,7.19
20130713,33.64,9.4,7.94
20130714,31.66,11.93,7.72
20130715,21.04,9.77,7.12
20130716,14.27,8.59,7.55
20130717,16.8,8.61,7.63
20130718,17.66,8.23,7.46
20130719,15.61,6.9,7.09
20130720,14.56,6.04,6.64
20130721,13.39,6.23,7.36
20130722,14.24,5.83,7.3
20130723,16.87,6.5,7.0
20130724,14.68,6.57,7.19
20130725,11.74,6.39,7.25
20130726,9.02,5.02,6.25
20130727,8.09,4.87,5.66
20130728,9.26,5.83,6.19
20130729,12.08,7.69,6.78
20130730,18.67,11.01,8.01
20130731,21.12,9.22,7.73
20130801,14.4,6.78,7.42
20130802,14.95,6.79,7.04
20130803,7.32,4.86,5.57
20130804,10.81,7.03,6.71
20130805,14.95,9.12,7.77
20130806,19.51,11.23,8.43
20130807,16.08,8.28,7.73
20130808,13.84,8.73,7.59
20130809,18.32,11.38,8.65
20130810,21.03,9.82,7.26
20130811,28.82,9.76,6.73
20130812,31.06,10.38,7.4
20130813,19.69,6.24,7.51
20130814,11.67,5.57,7.18
20130815,12.37,6.54,7.01
20130816,14.45,7.71,7.73
20130817,18.48,7.5,8.15
20130818,28.03,8.53,8.59
20130819,39.55,12.95,9.93
20130820,31.39,12.19,9.55
20130821,26.47,10.35,8.95
20130822,20.57,12.03,9.27
20130823,25.49,11.55,7.26
20130824,21.63,7.63,6.54
20130825,16.79,7.07,6.85
20130826,31.38,11.64,8.03
20130827,46.07,16.86,7.32
20130828,49.72,12.5,6.63
20130829,46.84,13.03,7.14
20130830,52.97,20.27,9.39
20130831,57.89,20.98,9.56
20130901,43.89,15.69,8.0
20130902,35.31,14.58,8.29
20130903,30.65,12.36,8.27
20130904,39.12,14.56,8.88
20130905,37.45,13.61,9.92
20130906,44.65,15.98,10.58
20130907,45.43,18.3,9.93
20130908,49.04,17.41,8.89
20130909,50.82,13.92,8.23
20130910,45.34,11.27,7.03
20130911,46.1,15.15,7.86
20130912,58.21,19.1,8.72
20130913,66.19,18.81,8.18
20130914,68.23,19.07,8.11
20130915,62.33,20.83,9.46
20130916,47.85,15.02,10.17
