date,PM2.5,SO2,NO2
20130101,49.09,41.52,25.81
20130102,24.8,28.98,15.74
20130103,51.84,56.18,27.83
20130104,97.05,101.76,45.1
20130105,130.58,107.43,51.98
20130106,165.99,122.14,61.4
20130107,203.32,128.39,67.07
20130108,166.81,96.51,56.45
20130109,90.64,78.6,44.12
20130110,177.77,107.15,62.63
20130111,228.65,117.34,68.46
20130112,242.56,101.28,77.19
20130113,188.46,100.18,70.76
20130114,143.99,95.61,64.09
20130115,108.94,76.08,54.89
20130116,119.03,78.39,45.21
20130117,113.23,70.5,48.63
20130118,144.65,98.34,61.05
20130119,182.55,92.24,67.63
20130120,120.26,80.29,60.16
20130121,132.08,86.6,53.28
20130122,145.5,82.99,53.63
20130123,129.43,103.74,57.45
20130124,96.1,78.1,45.46
20130125,77.25,58.32,39.56
20130126,80.62,61.88,39.59
20130127,131.78,81.96,48.0
20130128,151.98,82.77,49.58
20130129,147.02,88.58,60.77
20130130,152.97,96.96,71.52
20130131,140.92,97.88,74.99
20130201,57.48,52.35,33.58
20130202,50.14,55.39,36.57
20130203,101.45,70.86,47.77
20130204,58.8,43.64,26.27
20130205,67.16,55.58,32.88
20130206,91.57,61.52,30.71
20130207,21.13,18.54,11.18
20130208,48.65,41.49,24.54
20130209,104.91,65.59,32.43
20130210,126.44,62.0,26.8
20130211,66.12,43.63,22.89
20130212,78.1,54.27,25.03
20130213,105.29,63.45,31.36
20130214,97.08,49.73,28.34
20130215,51.62,41.75,24.1
20130216,137.38,71.13,42.0
20130217,125.45,54.55,33.3
20130218,41.91,33.88,21.86
20130219,46.63,38.94,25.19
20130220,88.66,52.92,35.18
20130221,126.32,58.25,38.27
20130222,96.19,42.33,31.62
20130223,98.59,70.21,43.55
20130224,196.6,100.09,62.65
20130225,129.57,59.84,45.7
20130226,111.77,53.0,39.42
20130227,177.25,55.46,50.87
20130228,137.43,41.27,34.15
20130301,15.39,18.52,12.93
20130302,46.84,46.06,33.94
20130303,63.22,52.86,34.58
20130304,37.83,37.61,27.47
20130305,86.09,79.4,49.1
20130306,123.98,77.14,58.63
20130307,114.46,63.87,48.52
20130308,102.35,65.31,45.43
20130309,67.05,37.67,25.86
20130310,26.3,26.53,20.31
20130311,69.24,65.89,43.86
20130312,72.05,42.0,37.43
20130313,36.02,24.68,18.33
20130314,65.19,58.35,37.51
20130315,108.25,61.37,46.25
20130316,138.62,57.49,47.12
20130317,151.51,61.95,46.47
20130318,59.08,28.46,21.87
20130319,36.91,28.77,20.7
20130320,29.12,15.57,14.82
20130321,77.06,42.91,34.54
20130322,49.2,24.91,21.94
20130323,59.56,49.76,32.1
20130324,23.63,17.68,14.65
20130325,54.01,44.14,32.3
20130326,85.21,47.93,36.66
20130327,70.01,31.53,25.75
20130328,27.99,15.72,14.91
20130329,45.35,42.93,32.17
20130330,65.65,40.63,29.73
20130331,115.99,47.89,38.04
20130401,79.43,35.09,26.51
20130402,56.09,35.95,31.04
20130403,71.59,41.86,35.69
20130404,65.29,37.37,34.42
20130405,59.95,23.79,24.06
20130406,16.53,14.29,15.0
20130407,51.76,41.9,29.67
20130408,29.41,16.32,14.42
20130409,15.38,10.27,9.37
20130410,15.91,11.69,13.05
20130411,18.3,16.23,19.28
20130412,35.8,30.04,26.77
20130413,39.54,30.47,23.87
20130414,27.66,23.59,19.87
20130415,68.6,44.26,33.82
20130416,44.91,26.76,21.06
20130417,47.72,32.1,24.62
20130418,21.05,14.9,14.2
20130419,23.89,16.72,20.14
20130420,40.28,16.45,20.79
20130421,64.63,35.57,29.89
20130422,96.46,48.31,39.17
20130423,104.62,36.33,32.34
20130424,75.72,21.55,22.62
20130425,27.64,13.97,12.86
20130426,48.98,41.14,32.44
20130427,59.95,43.74,33.22
20130428,77.93,37.85,27.55
20130429,70.05,21.05,22.3
20130430,42.7,22.31,20.13
20130501,37.1,26.08,22.5
20130502,54.92,48.99,29.84
20130503,60.89,32.56,23.25
20130504,73.62,40.81,28.59
20130505,104.25,51.03,31.82
20130506,104.46,48.07,29.84
20130507,94.74,47.7,29.8
20130508,82.81,42.99,26.59
20130509,64.4,26.86,19.65
20130510,51.2,18.95,16.75
20130511,50.88,25.03,21.35
20130512,53.74,30.5,26.8
20130513,91.65,37.89,34.46
20130514,60.65,21.28,23.27
20130515,42.92,27.25,26.48
20130516,40.6,24.75,23.2
20130517,70.72,37.99,30.51
20130518,76.78,30.82,23.65
20130519,77.98,20.38,16.06
20130520,49.21,18.14,19.17
20130521,71.46,33.64,29.83
20130522,68.81,27.64,26.75
20130523,75.38,34.34,31.89
20130524,76.8,26.64,27.02
20130525,52.04,27.02,22.2
20130526,92.14,27.25,23.85
20130527,42.09,17.03,15.81
20130528,77.77,13.13,21.08
20130529,36.73,10.41,14.21
20130530,48.13,24.45,25.91
20130531,60.86,29.06,24.38
20130601,78.02,18.59,21.35
20130602,104.02,31.18,25.86
20130603,94.06,22.82,24.41
20130604,101.15,27.48,26.8
20130605,86.07,25.42,22.56
20130606,113.33,26.89,25.5
20130607,92.2,24.98,24.86
20130608,97.78,24.66,24.45
20130609,55.01,15.74,18.55
20130610,25.25,9.53,14.73
20130611,32.86,14.96,16.91
20130612,44.75,26.0,20.51
20130613,68.53,31.29,22.4
20130614,79.9,33.96,27.42
20130615,102.67,37.73,27.37
20130616,126.27,32.93,27.56
20130617,88.32,19.1,20.78
