date,PM2.5,SO2,NO2
20130101,66.6,42.68,32.99
20130102,54.26,33.92,29.23
20130103,55.33,41.69,30.39
20130104,89.34,42.84,34.66
20130105,129.2,58.35,40.54
20130106,194.96,85.23,49.78
20130107,202.92,78.15,46.74
20130108,325.83,109.33,67.92
20130109,187.61,70.12,54.15
20130110,254.13,59.29,52.45
20130111,213.9,63.06,45.61
20130112,221.42,53.09,51.79
20130113,229.03,65.35,50.3
20130114,314.15,62.5,59.54
20130115,226.43,60.88,47.35
20130116,230.27,73.51,57.27
20130117,158.6,63.42,45.84
20130118,155.71,51.34,42.21
20130119,173.36,54.34,40.26
20130120,194.69,61.41,50.92
20130121,180.35,73.63,45.37
20130122,210.88,77.04,48.98
20130123,188.2,61.15,40.2
20130124,82.91,40.6,31.62
20130125,68.62,49.44,34.97
20130126,136.1,65.04,43.4
20130127,156.22,53.22,40.91
20130128,175.81,51.29,36.13
20130129,176.93,58.09,39.37
20130130,178.53,56.64,41.03
20130131,150.41,53.2,42.86
20130201,183.82,70.04,47.88
20130202,111.13,45.05,39.07
20130203,99.17,31.97,32.02
20130204,113.72,49.6,33.99
20130205,95.99,40.36,33.11
20130206,131.49,46.51,32.61
20130207,62.29,26.84,22.26
20130208,48.75,31.41,23.5
20130209,83.74,33.69,22.94
20130210,175.11,53.33,30.88
20130211,146.9,45.93,30.72
20130212,95.11,44.16,26.3
20130213,91.02,44.52,25.62
20130214,140.67,51.63,30.22
20130215,160.48,49.74,33.48
20130216,171.09,37.22,24.79
20130217,160.33,44.39,30.13
20130218,99.42,40.72,31.3
20130219,75.2,40.15,27.88
20130220,85.93,34.94,25.55
20130221,130.89,46.53,36.57
20130222,161.81,58.69,39.03
20130223,190.52,48.84,37.63
20130224,186.81,47.76,37.66
20130225,231.73,52.13,40.86
20130226,222.19,60.86,40.7
20130227,281.76,66.62,43.88
20130228,187.57,52.5,33.13
20130301,39.85,21.62,18.01
20130302,38.68,31.05,25.79
20130303,51.59,37.38,26.72
20130304,58.26,41.25,33.57
20130305,74.9,42.35,32.8
20130306,78.64,40.89,31.71
20130307,73.5,41.5,29.69
20130308,60.72,32.3,27.1
20130309,75.65,30.42,22.03
20130310,28.31,20.28,18.88
20130311,41.77,22.53,24.54
20130312,85.08,41.34,32.61
20130313,68.64,32.05,26.4
20130314,49.81,25.22,25.18
20130315,66.87,33.01,27.63
20130316,110.12,40.42,40.6
20130317,129.74,50.78,40.19
20130318,74.88,32.05,25.38
20130319,68.97,32.25,23.53
20130320,60.3,29.09,24.89
20130321,74.93,29.32,24.36
20130322,104.75,43.03,30.25
20130323,89.39,33.92,30.12
20130324,58.27,30.26,26.11
20130325,58.99,28.41,30.68
20130326,66.88,25.51,23.52
20130327,67.21,30.39,24.56
20130328,87.04,42.08,29.18
20130329,79.3,34.84,30.51
20130330,100.61,40.39,31.92
20130331,104.93,33.73,29.55
20130401,88.41,37.31,25.3
20130402,53.09,27.44,26.81
20130403,69.11,30.47,28.11
20130404,96.73,33.71,32.11
20130405,93.6,30.46,30.55
20130406,44.13,24.07,22.49
20130407,51.34,30.99,23.07
20130408,52.31,26.21,21.5
20130409,38.5,18.72,18.37
20130410,37.4,26.62,23.59
20130411,39.31,32.07,28.16
20130412,51.33,32.47,28.78
20130413,43.75,28.24,22.49
20130414,44.33,30.06,25.69
20130415,57.18,35.31,24.83
20130416,66.69,30.69,24.6
20130417,86.23,33.97,28.15
20130418,78.05,35.76,25.48
20130419,36.42,29.16,26.14
20130420,52.12,32.54,28.03
20130421,85.77,36.31,28.88
20130422,88.96,32.26,32.58
20130423,100.09,35.28,30.11
20130424,98.77,30.9,28.44
20130425,63.88,27.58,25.07
20130426,71.04,31.83,23.89
20130427,70.23,31.77,21.72
20130428,80.15,37.93,25.1
20130429,77.4,32.82,29.5
20130430,64.82,34.81,30.86
20130501,81.84,35.59,29.62
20130502,73.44,32.98,26.43
20130503,76.65,37.59,28.81
20130504,91.31,37.42,29.52
20130505,82.55,28.74,25.6
20130506,83.05,28.51,28.8
20130507,90.67,29.25,36.7
20130508,74.44,30.86,34.29
20130509,85.87,30.71,32.95
20130510,66.69,24.54,26.43
20130511,43.65,26.09,24.48
20130512,44.47,27.28,23.74
20130513,50.85,27.87,23.08
20130514,63.98,31.77,23.33
20130515,60.8,37.47,27.82
20130516,45.88,30.97,23.42
20130517,61.69,31.26,30.05
20130518,69.87,25.29,22.88
20130519,75.65,29.98,23.83
20130520,68.25,28.9,25.39
20130521,76.04,29.58,24.55
20130522,94.8,33.48,23.94
20130523,96.69,32.94,27.82
20130524,117.18,30.12,29.73
20130525,94.67,29.21,33.22
20130526,63.02,25.17,27.39
20130527,55.77,27.59,22.65
20130528,52.25,23.41,25.15
20130529,40.76,22.45,26.61
20130530,44.11,24.11,30.32
20130531,49.26,26.69,28.85
20130601,62.76,33.05,34.13
20130602,72.49,23.99,26.75
20130603,76.79,35.77,26.28
20130604,62.96,26.25,23.4
20130605,72.72,25.36,24.56
20130606,83.08,25.25,25.85
20130607,77.41,21.42,23.99
20130608,44.25,17.72,20.19
20130609,43.85,20.52,22.16
20130610,41.39,29.53,26.32
20130611,47.64,27.36,22.15
20130612,46.81,25.07,22.9
20130613,54.75,26.28,18.25
20130614,69.76,27.19,21.68
20130615,53.69,23.02,19.14
20130616,46.85,22.11,21.53
20130617,78.24,24.51,24.91
20130618,98.33,24.93,24.99
20130619,84.81,32.15,27.1
20130620,82.2,26.86,25.63
20130621,74.07,26.29,25.2
20130622,91.91,26.6,29.6
20130623,104.24,26.58,24.52
20130624,126.62,25.43,27.36
20130625,63.75,26.58,25.11
20130626,59.96,21.79,22.14
20130627,55.69,28.1,21.28
20130628,58.17,28.89,19.0
20130629,50.24,24.98,17.25
20130630,47.66,22.77,17.23
20130701,29.82,18.26,15.01
20130702,20.93,15.48,15.89
20130703,31.48,15.74,15.87
20130704,26.94,16.93,17.71
20130705,54.07,24.38,21.59
20130706,61.28,19.62,22.37
20130707,49.96,17.95,19.59
20130708,42.44,18.91,17.65
20130709,23.78,17.0,14.28
20130710,26.86,17.42,16.19
20130711,36.08,21.52,20.72
20130712,37.72,23.52,22.29
20130713,51.61,24.07,23.27
20130714,55.05,29.96,27.81
20130715,71.15,26.67,25.05
20130716,50.42,26.88,19.64
20130717,61.55,27.4,25.37
20130718,54.38,27.41,24.09
20130719,72.29,29.8,25.64
20130720,102.53,30.08,27.93
20130721,112.81,32.71,26.3
20130722,78.53,31.93,26.13
20130723,43.35,22.68,22.56
20130724,59.0,19.51,21.9
20130725,47.84,19.87,20.78
20130726,35.97,22.5,19.45
20130727,35.37,21.89,19.28
20130728,41.69,26.08,19.81
20130729,44.95,30.01,23.61
20130730,42.2,29.21,23.23
20130731,52.43,25.26,21.87
20130801,34.76,20.91,19.15
20130802,36.35,21.85,19.57
20130803,40.57,21.34,20.77
20130804,36.37,20.61,19.22
20130805,27.02,17.63,17.31
20130806,26.8,17.61,16.55
20130807,25.32,17.31,15.97
20130808,27.75,21.93,18.57
20130809,32.48,22.98,21.96
20130810,41.3,18.49,20.85
20130811,34.15,19.59,18.81
20130812,28.91,20.55,20.33
20130813,43.77,21.53,21.48
20130814,46.65,20.5,20.81
20130815,38.55,18.83,19.26
20130816,36.18,20.74,21.74
20130817,44.93,24.95,23.73
20130818,50.64,30.05,27.04
20130819,35.7,31.34,26.9
20130820,44.49,30.51,26.08
20130821,46.47,23.89,27.03
20130822,55.14,28.81,25.18
20130823,75.91,35.83,24.74
20130824,55.3,37.75,29.01
20130825,61.91,31.03,31.0
20130826,58.33,26.15,28.14
20130827,54.09,19.67,23.52
20130828,59.81,27.56,21.58
20130829,34.19,29.88,25.25
20130830,32.66,28.23,24.41
20130831,42.15,27.77,25.83
20130901,50.7,23.27,24.72
20130902,54.6,26.2,25.73
20130903,54.33,22.65,26.91
20130904,63.93,28.36,25.88
20130905,62.26,24.08,20.82
20130906,65.0,25.74,22.24
20130907,58.61,23.13,20.5
20130908,81.22,27.08,26.38
20130909,93.32,31.55,26.9
20130910,108.07,32.71,26.3
20130911,117.14,36.48,28.65
20130912,121.71,31.52,26.32
20130913,84.31,28.91,23.23
20130914,71.44,27.19,27.44
20130915,104.86,37.56,26.44
20130916,86.0,31.83,23.87
20130917,54.28,25.28,21.4
20130918,35.92,20.88,24.76
20130919,48.28,20.52,22.16
20130920,73.56,26.95,24.71
20130921,79.64,27.36,24.08
20130922,76.04,28.08,27.63
20130923,79.04,33.02,33.9
20130924,38.23,28.74,28.26
20130925,46.5,32.03,33.68
20130926,78.88,43.72,32.51
20130927,98.41,34.48,29.4
20130928,82.68,30.23,22.1
20130929,106.84,31.08,24.82
20130930,111.97,24.55,25.62
20131001,89.07,25.8,23.64
20131002,91.29,31.4,24.46
20131003,82.99,29.05,26.18
20131004,90.22,33.49,24.1
20131005,109.17,34.57,26.79
20131006,96.38,29.54,33.52
20131007,117.68,52.68,38.04
20131008,151.24,59.5,38.35
20131009,145.46,40.09,31.13
20131010,108.08,39.84,28.98
20131011,91.42,41.17,36.79
20131012,137.76,42.78,33.63
20131013,114.12,39.85,30.69
20131014,82.8,36.3,31.94
20131015,28.48,21.98,19.12
20131016,56.99,31.49,30.57
20131017,72.32,30.33,26.43
20131018,92.99,32.85,30.83
20131019,116.18,42.7,32.47
20131020,99.71,39.61,33.49
20131021,96.77,37.34,36.7
20131022,126.17,39.71,39.02
20131023,122.96,43.85,43.64
20131024,98.71,54.38,39.75
20131025,68.37,39.13,34.17
20131026,109.02,37.26,34.99
20131027,138.27,46.01,38.68
20131028,153.55,53.4,41.45
20131029,223.93,62.76,44.68
20131030,141.53,39.81,35.54
20131031,87.55,28.87,36.19
20131101,77.48,27.33,30.09
20131102,98.37,36.04,30.31
20131103,100.29,36.29,33.77
20131104,92.12,33.15,36.76
20131105,98.59,36.16,35.43
20131106,96.3,41.53,33.28
20131107,74.91,40.88,36.98
20131108,110.75,36.09,38.88
20131109,142.96,41.37,42.63
20131110,79.32,37.61,38.09
20131111,78.12,44.0,40.7
20131112,100.68,55.32,44.99
20131113,111.25,54.43,42.52
20131114,83.12,47.15,31.86
20131115,75.95,47.92,35.02
20131116,55.86,39.37,28.74
20131117,57.14,43.9,33.92
20131118,70.6,53.71,39.16
20131119,103.19,67.4,47.09
20131120,150.9,88.5,61.85
20131121,173.85,125.42,72.32
20131122,205.59,110.89,73.04
20131123,188.05,50.1,60.53
20131124,42.87,28.22,22.43
20131125,45.34,32.55,26.22
20131126,72.1,52.56,39.86
20131127,31.94,26.49,21.7
20131128,31.52,32.21,25.03
20131129,38.38,39.02,31.68
20131130,56.86,50.23,38.06
20131201,90.96,54.25,45.25
20131202,117.81,67.81,51.56
20131203,153.4,88.38,58.02
20131204,135.39,68.23,49.15
20131205,123.89,69.61,48.61
20131206,113.56,56.04,45.7
20131207,161.01,56.27,47.0
20131208,181.7,46.9,47.24
20131209,85.83,41.95,33.09
20131210,75.03,51.01,36.74
20131211,50.79,47.83,32.62
20131212,70.01,64.78,42.32
20131213,102.93,71.37,50.36
20131214,139.03,82.46,58.54
20131215,190.94,87.51,69.89
20131216,229.32,68.96,66.74
20131217,223.7,75.67,63.16
20131218,161.57,80.98,56.56
20131219,175.49,63.33,50.77
20131220,230.92,66.31,62.15
20131221,215.59,68.73,66.39
20131222,186.7,69.11,59.14
20131223,209.94,69.21,61.42
20131224,246.54,67.88,70.23
20131225,241.5,79.53,67.73
20131226,93.35,49.9,40.13
20131227,50.08,47.41,34.33
20131228,51.04,53.15,38.16
20131229,45.27,47.36,37.14
20131230,48.45,48.27,40.89
20131231,37.6,37.27,34.96
20140101,69.69,52.03,43.27
20140102,110.65,69.92,57.34
20140103,74.14,49.56,40.1
20140104,81.7,53.88,46.62
20140105,126.03,68.56,57.68
20140106,220.87,66.05,72.2
20140107,192.45,71.67,66.5
20140108,115.18,60.88,51.98
20140109,97.9,48.53,44.63
20140110,147.14,50.04,48.05
20140111,149.59,55.86,53.39
20140112,119.13,61.93,54.02
20140113,144.2,51.32,51.16
20140114,188.09,45.7,46.75
20140115,202.66,44.98,46.85
20140116,210.81,62.65,57.29
20140117,226.86,67.34,63.13
20140118,224.97,56.36,57.8
