date,PM2.5,SO2,NO2
20130101,48.27,26.16,37.18
20130102,65.97,29.4,42.52
20130103,36.13,22.72,27.12
20130104,56.63,30.89,43.1
20130105,67.08,34.37,48.23
20130106,60.97,35.06,54.16
20130107,75.89,42.35,58.31
20130108,106.95,53.5,61.83
20130109,120.19,56.13,62.0
20130110,95.56,38.28,50.97
20130111,96.85,30.59,51.98
20130112,107.63,42.3,62.78
20130113,74.68,26.12,60.33
20130114,72.1,27.83,45.65
20130115,110.28,27.79,51.55
20130116,132.57,34.77,51.3
20130117,117.31,36.54,42.14
20130118,69.27,28.25,46.12
20130119,75.5,23.06,49.55
20130120,60.18,22.07,46.14
20130121,87.43,27.63,52.14
20130122,69.67,32.17,53.67
20130123,87.66,30.32,44.22
20130124,115.21,35.75,46.76
20130125,125.57,32.99,45.78
20130126,105.0,27.8,48.62
20130127,107.16,30.39,48.34
20130128,84.49,20.15,44.35
20130129,61.4,15.55,43.22
20130130,73.84,15.88,40.09
20130131,64.0,14.34,39.49
20130201,64.62,17.19,39.57
20130202,79.94,18.4,44.46
20130203,39.57,10.0,23.66
20130204,60.27,14.0,30.34
20130205,39.57,10.94,32.31
20130206,44.24,13.48,25.66
20130207,35.5,14.67,21.74
20130208,22.07,11.67,14.62
20130209,50.19,13.91,14.22
20130210,109.54,14.55,14.44
20130211,58.27,10.3,13.28
20130212,32.28,9.83,12.57
20130213,54.99,12.37,13.64
20130214,57.17,8.53,17.56
20130215,42.56,13.45,18.73
20130216,49.42,10.42,14.95
20130217,36.55,8.15,19.25
20130218,43.06,12.53,27.83
20130219,14.91,10.15,18.36
20130220,32.55,10.7,20.23
20130221,44.62,10.09,21.96
20130222,48.34,12.25,29.45
20130223,68.87,19.41,31.76
20130224,88.72,16.37,29.06
20130225,68.65,14.0,30.26
20130226,61.78,16.3,41.12
20130227,53.69,18.91,36.39
20130228,46.09,17.65,27.77
20130301,43.87,17.28,32.96
20130302,29.54,16.1,22.95
20130303,45.49,20.08,31.67
20130304,52.84,25.31,35.84
20130305,71.57,30.15,48.28
20130306,58.61,24.36,40.86
20130307,66.03,28.08,39.38
20130308,80.0,31.43,41.45
20130309,81.91,25.8,40.19
20130310,59.96,19.49,28.54
20130311,29.58,13.11,26.35
20130312,48.16,21.59,33.24
20130313,48.25,20.31,39.53
20130314,37.83,19.81,26.59
20130315,46.54,19.52,34.33
20130316,61.45,22.59,48.42
