date,PM2.5,SO2,NO2
20130101,32.68,11.63,12.18
20130102,38.63,9.29,13.82
20130103,39.23,10.05,12.26
20130104,40.47,8.91,13.68
20130105,38.71,8.27,15.42
20130106,45.25,8.63,11.15
20130107,46.18,8.41,10.66
20130108,56.98,9.38,11.29
20130109,53.62,10.31,9.86
20130110,59.59,12.63,10.28
20130111,85.42,12.84,13.23
20130112,80.44,10.89,13.16
20130113,54.69,8.93,8.31
20130114,56.64,8.93,14.91
20130115,24.88,3.35,6.2
20130116,24.74,3.11,5.63
20130117,34.39,9.28,6.95
20130118,68.38,15.46,9.25
20130119,40.34,7.17,6.1
20130120,16.79,1.85,7.42
20130121,13.73,1.8,5.37
20130122,16.97,4.22,9.04
20130123,34.53,9.83,10.46
20130124,40.23,5.97,11.35
20130125,65.69,10.79,8.52
20130126,58.34,7.85,7.91
20130127,50.95,8.45,9.46
20130128,42.87,6.97,6.2
20130129,23.84,2.75,5.25
20130130,11.76,1.6,4.99
20130131,12.88,1.67,4.22
20130201,12.39,1.55,5.13
20130202,15.2,2.78,7.82
20130203,18.65,4.12,7.53
20130204,15.03,2.21,6.74
20130205,12.04,1.82,5.69
20130206,11.55,1.79,4.3
20130207,7.11,1.24,3.24
20130208,13.54,4.17,6.02
20130209,25.73,8.44,9.68
20130210,24.72,6.59,4.99
20130211,20.06,3.53,3.85
20130212,18.96,3.84,4.56
20130213,28.53,8.52,5.66
20130214,26.39,3.93,5.3
20130215,26.1,3.58,6.16
20130216,29.11,7.78,6.44
20130217,20.41,2.03,4.39
20130218,15.94,1.5,3.78
20130219,13.28,2.03,4.57
20130220,24.86,8.06,7.61
20130221,19.33,4.9,4.81
20130222,35.01,7.98,6.14
20130223,39.34,9.35,7.92
20130224,24.36,3.33,4.7
20130225,24.6,1.69,4.75
20130226,18.04,1.49,5.3
20130227,13.38,1.73,4.64
20130228,10.35,1.41,3.61
20130301,8.57,1.35,3.25
20130302,16.58,5.28,8.15
20130303,37.99,11.12,11.55
20130304,36.23,10.61,6.48
20130305,29.11,6.33,5.64
20130306,18.87,2.43,7.15
20130307,20.96,2.26,4.43
20130308,22.52,2.78,5.8
20130309,23.29,2.83,4.85
20130310,20.47,2.19,3.82
20130311,15.14,1.76,3.28
20130312,15.14,1.56,3.44
20130313,18.53,1.82,4.8
20130314,24.69,3.96,4.59
20130315,28.04,2.9,3.18
20130316,17.18,1.64,2.59
20130317,18.23,1.49,2.42
20130318,17.47,1.61,3.08
20130319,11.01,1.18,2.39
20130320,7.22,1.0,2.59
20130321,9.36,1.36,2.88
20130322,10.32,1.29,2.6
20130323,11.86,1.45,3.33
20130324,12.63,1.62,3.7
20130325,11.97,1.57,3.09
20130326,6.28,1.18,3.12
20130327,14.1,3.71,4.93
20130328,6.82,1.2,2.95
20130329,9.78,1.66,3.72
20130330,10.87,1.43,3.85
20130331,12.33,2.54,4.57
20130401,12.69,2.05,3.65
20130402,11.08,1.43,3.31
20130403,11.22,1.19,3.34
20130404,8.28,1.13,2.43
20130405,9.59,1.31,4.88
20130406,33.52,10.3,6.29
20130407,37.43,9.42,4.74
20130408,30.41,4.46,4.85
20130409,31.95,2.25,6.83
20130410,23.6,4.19,4.52
20130411,36.61,4.25,5.17
20130412,30.87,6.39,6.03
20130413,36.01,4.83,5.94
20130414,32.35,3.38,4.8
20130415,31.4,3.2,7.28
20130416,22.14,1.88,4.57
20130417,15.76,1.5,7.78
20130418,6.56,1.06,3.51
20130419,4.4,1.04,4.26
20130420,3.74,0.98,3.01
20130421,6.47,2.1,3.84
20130422,11.71,1.59,3.17
20130423,10.89,1.17,2.91
20130424,10.01,1.21,3.33
20130425,8.31,1.25,3.45
20130426,8.8,1.82,3.7
20130427,6.07,1.18,2.87
20130428,4.66,1.11,3.44
20130429,3.42,0.86,3.39
20130430,4.56,1.11,3.18
20130501,16.56,5.89,5.81
20130502,29.55,6.49,4.21
20130503,16.53,2.27,4.69
20130504,22.81,3.52,3.95
20130505,23.16,2.56,3.85
20130506,18.57,1.74,3.68
20130507,14.18,1.5,3.86
20130508,12.9,1.48,4.28
20130509,10.31,1.44,3.7
20130510,7.14,1.47,4.29
20130511,15.12,4.21,5.59
20130512,21.64,5.28,6.1
20130513,12.63,2.28,4.47
20130514,6.52,1.43,3.39
20130515,5.46,1.2,3.29
20130516,5.45,1.38,3.31
20130517,8.41,1.91,3.91
20130518,7.27,1.51,4.5
20130519,7.88,1.58,3.7
20130520,6.11,1.35,3.66
