date,PM2.5,SO2,NO2
20130101,52.12,34.87,23.81
20130102,67.54,26.03,23.47
20130103,48.11,23.77,16.15
20130104,71.7,27.39,16.72
20130105,101.43,34.1,18.66
20130106,137.09,43.34,18.15
20130107,151.34,50.85,20.54
20130108,185.31,60.76,25.92
20130109,178.87,52.54,29.69
20130110,186.73,50.5,37.92
20130111,159.43,49.37,32.57
20130112,113.76,40.26,28.74
20130113,141.93,49.65,29.24
20130114,186.04,51.85,28.2
20130115,180.49,49.14,26.27
20130116,161.55,49.66,28.44
20130117,159.63,41.07,24.22
20130118,138.41,37.6,29.09
20130119,128.22,41.82,30.53
20130120,127.26,36.78,28.33
20130121,146.57,46.36,30.04
20130122,187.6,52.6,29.51
20130123,138.39,48.75,25.39
20130124,83.51,28.77,18.65
20130125,70.02,31.35,24.29
20130126,99.64,38.68,25.29
20130127,167.33,42.54,27.52
20130128,156.5,47.82,32.19
20130129,105.23,38.39,19.38
20130130,130.69,48.39,27.6
20130131,134.58,44.22,23.55
20130201,117.34,43.43,26.17
20130202,153.9,39.95,31.31
20130203,127.67,34.31,26.27
20130204,103.42,35.91,20.24
20130205,84.28,32.15,21.68
20130206,103.55,36.55,21.53
20130207,71.51,26.55,17.6
20130208,39.7,17.05,11.53
20130209,62.4,25.58,12.66
20130210,106.47,36.56,15.33
20130211,127.08,33.94,19.28
20130212,123.1,32.81,15.41
20130213,117.31,38.28,17.39
20130214,115.4,38.94,15.54
20130215,126.36,40.58,20.11
20130216,114.4,37.35,16.22
20130217,103.39,33.76,17.39
20130218,109.32,33.79,20.02
20130219,50.54,19.52,14.37
20130220,57.91,25.2,15.75
20130221,77.87,32.66,15.88
20130222,82.0,32.7,14.52
20130223,105.69,39.11,22.68
20130224,94.54,34.28,18.66
20130225,123.65,38.21,21.5
20130226,175.24,35.12,16.53
20130227,184.06,36.88,19.03
20130228,123.81,38.95,20.8
20130301,43.83,18.68,11.95
20130302,31.79,19.54,12.31
20130303,40.36,23.34,15.64
20130304,43.54,24.05,18.67
20130305,50.68,27.26,21.07
20130306,53.04,23.48,19.5
20130307,44.3,17.14,15.93
20130308,52.18,23.47,20.9
20130309,65.75,23.62,19.0
20130310,29.16,14.44,11.64
20130311,43.58,25.41,17.69
20130312,87.38,40.18,24.24
20130313,78.64,27.71,18.04
20130314,46.52,23.52,16.41
20130315,59.23,31.17,20.65
20130316,84.72,36.24,25.84
20130317,86.11,33.38,20.27
20130318,54.46,23.76,16.55
20130319,61.34,26.98,18.26
20130320,72.22,26.48,18.25
20130321,73.16,30.97,18.63
20130322,86.42,33.61,19.36
20130323,86.37,29.32,17.46
20130324,72.96,28.28,17.07
20130325,71.48,30.99,21.1
20130326,61.67,23.77,14.62
20130327,54.21,25.19,14.86
20130328,66.61,29.16,18.55
20130329,102.17,34.79,21.99
20130330,90.42,34.94,18.42
20130331,101.15,33.2,19.78
20130401,79.7,28.85,16.62
20130402,49.4,21.72,14.91
20130403,60.83,31.45,21.88
20130404,78.25,32.57,19.85
20130405,63.9,19.56,12.82
20130406,41.02,13.92,11.14
20130407,41.79,19.51,16.09
20130408,47.94,19.14,14.64
20130409,53.73,15.71,12.23
20130410,42.71,17.04,15.37
20130411,44.34,21.2,19.27
20130412,43.33,19.64,17.24
20130413,44.86,21.45,13.22
20130414,42.96,20.69,12.44
20130415,43.67,19.5,15.47
20130416,46.96,19.19,14.97
20130417,69.54,25.38,16.3
20130418,76.82,29.34,17.1
20130419,48.99,21.62,16.77
20130420,48.59,21.08,14.97
20130421,67.64,26.54,16.1
20130422,70.85,30.0,20.44
20130423,67.39,29.88,14.99
20130424,66.06,25.63,15.4
20130425,74.47,25.89,20.25
20130426,71.77,23.26,18.38
20130427,60.46,21.42,16.17
20130428,50.98,21.47,13.33
20130429,56.72,24.65,16.54
20130430,34.37,14.99,9.32
20130501,46.28,20.4,17.5
20130502,49.93,19.93,15.8
20130503,53.42,18.94,16.27
20130504,68.67,25.94,19.88
20130505,70.0,27.45,15.24
20130506,65.61,27.79,15.03
20130507,56.88,25.2,16.44
20130508,62.71,23.71,16.85
20130509,59.61,24.0,12.58
20130510,52.25,16.77,12.41
20130511,44.11,16.97,11.55
20130512,45.15,18.22,14.29
20130513,47.38,18.0,13.82
20130514,55.39,22.08,13.26
20130515,58.12,22.71,13.96
20130516,42.34,17.08,10.17
20130517,45.54,18.03,10.78
20130518,52.62,19.88,10.17
20130519,58.42,20.78,10.49
20130520,68.29,21.06,13.99
20130521,66.03,21.02,15.15
20130522,64.52,19.85,16.14
20130523,63.31,18.98,16.39
20130524,69.97,21.52,18.13
20130525,79.6,25.39,15.84
20130526,48.6,25.25,11.72
20130527,45.88,23.44,10.78
20130528,52.84,23.4,11.94
20130529,40.85,15.78,10.9
20130530,39.86,16.05,10.49
20130531,50.82,19.96,11.11
20130601,43.72,18.01,12.15
20130602,49.58,18.66,11.11
20130603,60.79,21.9,13.39
20130604,57.93,21.88,12.5
20130605,57.49,21.65,12.01
20130606,54.84,25.25,15.64
20130607,35.94,17.11,10.36
20130608,30.87,16.09,8.47
20130609,29.02,16.54,9.62
20130610,42.68,21.04,13.61
20130611,44.8,21.02,11.21
20130612,49.42,19.78,10.46
20130613,52.62,23.91,13.27
20130614,59.39,24.44,13.38
20130615,41.88,18.78,12.35
20130616,28.03,16.96,11.49
20130617,26.56,15.0,10.72
20130618,31.52,15.37,9.99
20130619,40.95,17.78,11.82
20130620,55.78,25.67,12.88
20130621,65.34,29.67,15.36
20130622,61.88,27.71,15.94
20130623,62.8,26.91,12.03
20130624,62.58,29.26,13.43
20130625,61.44,30.52,14.03
20130626,60.66,28.69,15.29
20130627,46.74,25.05,11.52
20130628,50.08,25.87,11.42
20130629,50.96,26.98,11.41
20130630,38.45,22.6,10.84
20130701,19.71,12.83,9.31
20130702,13.72,10.19,8.34
20130703,15.32,10.7,7.9
20130704,15.46,10.03,7.02
20130705,25.82,15.13,9.45
20130706,36.21,19.06,10.98
20130707,36.92,19.86,10.73
20130708,21.97,13.55,8.36
20130709,12.37,9.79,7.79
20130710,14.36,10.52,9.12
20130711,19.82,12.14,10.89
20130712,24.5,13.49,11.04
20130713,31.99,15.32,11.65
20130714,35.0,19.56,14.39
20130715,43.67,20.99,12.39
20130716,31.42,16.23,10.29
20130717,31.59,17.78,11.87
20130718,24.43,15.92,11.48
20130719,25.42,14.92,11.1
20130720,35.06,19.33,12.04
20130721,39.18,22.63,12.35
20130722,25.31,15.23,11.12
20130723,17.84,11.63,8.91
20130724,21.33,13.12,10.52
20130725,21.62,14.05,11.16
20130726,21.6,15.98,11.16
20130727,22.27,16.17,10.31
20130728,23.2,15.81,11.04
20130729,20.96,14.13,10.17
20130730,23.52,15.04,9.0
20130731,26.67,15.73,10.17
20130801,23.45,13.17,10.32
20130802,26.78,15.68,12.86
20130803,26.24,17.79,10.93
20130804,22.39,15.76,10.32
20130805,17.73,11.96,8.4
20130806,16.46,10.69,7.8
20130807,17.3,10.8,9.01
20130808,17.61,12.32,9.69
20130809,21.34,14.46,9.79
20130810,23.12,13.65,11.06
20130811,22.31,14.36,12.05
20130812,25.2,15.55,11.86
20130813,34.69,16.85,13.9
20130814,34.38,18.26,14.09
20130815,24.74,18.06,12.61
20130816,24.44,16.77,11.96
20130817,30.83,19.69,11.86
20130818,39.84,20.49,11.7
20130819,43.85,22.03,13.96
20130820,36.23,17.49,10.01
20130821,32.09,16.31,9.35
20130822,28.89,14.87,8.22
20130823,32.24,19.86,10.83
20130824,43.34,24.64,14.68
20130825,56.26,25.98,14.34
20130826,63.03,26.04,12.97
20130827,54.67,24.48,14.26
20130828,48.69,20.17,12.21
20130829,35.79,16.8,11.63
20130830,34.63,19.79,13.01
20130831,39.74,21.58,12.2
20130901,45.04,21.75,11.8
20130902,48.92,27.73,13.17
20130903,46.79,25.59,11.84
20130904,54.11,31.82,16.11
20130905,52.45,28.58,13.17
20130906,51.31,25.85,12.89
20130907,59.75,32.88,13.39
20130908,80.97,42.29,16.14
20130909,95.68,43.38,18.35
20130910,75.41,37.79,13.83
20130911,71.85,31.65,11.68
20130912,66.66,28.86,12.37
20130913,57.07,28.29,11.81
20130914,54.36,26.18,13.61
20130915,69.19,30.66,14.01
20130916,74.39,35.05,14.09
20130917,54.14,26.32,14.94
20130918,38.32,25.96,15.07
20130919,36.58,22.61,12.52
20130920,44.3,21.93,10.71
20130921,51.98,24.51,12.75
20130922,47.28,20.96,13.33
20130923,50.41,23.18,18.56
20130924,45.68,27.63,20.32
20130925,37.66,22.31,16.26
20130926,46.41,24.31,15.38
20130927,55.3,33.06,16.43
20130928,52.27,25.65,14.13
20130929,59.16,28.27,17.77
20130930,64.84,32.3,15.15
20131001,59.15,29.92,16.64
20131002,58.25,26.13,12.08
20131003,40.96,24.52,14.94
20131004,53.87,34.2,20.26
20131005,65.88,40.08,22.69
20131006,43.27,24.19,12.82
20131007,61.17,20.01,12.24
20131008,56.14,27.16,14.3
20131009,47.85,28.38,18.22
20131010,54.68,25.96,19.14
20131011,63.84,27.75,21.64
20131012,71.38,35.1,22.38
20131013,51.17,29.03,20.93
20131014,60.26,30.77,23.69
20131015,35.67,22.12,13.55
20131016,36.01,21.4,15.08
20131017,51.32,25.98,13.97
20131018,64.46,30.11,14.4
20131019,68.49,28.81,13.45
20131020,73.51,28.41,15.33
20131021,69.04,28.92,17.51
20131022,79.52,33.7,19.45
