date,PM2.5,SO2,NO2
20130101,51.47,27.43,16.51
20130102,87.62,35.17,24.62
20130103,51.57,23.29,17.52
20130104,61.35,23.35,16.33
20130105,90.24,29.27,19.58
20130106,108.83,37.22,19.93
20130107,133.4,41.6,17.73
20130108,148.04,46.06,20.72
20130109,200.41,54.64,28.58
20130110,197.55,44.8,28.66
20130111,144.92,35.63,19.9
20130112,142.25,41.4,23.52
20130113,135.7,42.37,17.33
20130114,149.92,45.04,22.51
20130115,143.28,38.48,19.02
20130116,166.29,43.23,19.81
20130117,182.35,42.71,29.74
20130118,145.97,28.74,23.19
20130119,107.49,29.14,22.53
20130120,102.44,27.55,20.64
20130121,128.59,34.52,26.99
20130122,183.2,50.54,29.65
20130123,165.53,44.34,19.01
20130124,116.09,33.08,17.31
20130125,82.41,28.13,19.94
20130126,89.25,31.51,20.39
20130127,124.99,38.56,25.35
20130128,119.9,32.85,21.42
20130129,97.49,26.54,16.95
20130130,96.91,30.0,17.03
20130131,98.45,25.83,17.64
20130201,73.01,25.01,17.42
20130202,139.0,36.48,26.77
20130203,101.03,28.68,21.46
20130204,73.68,22.17,16.05
20130205,75.2,24.84,16.82
20130206,110.02,28.29,18.37
20130207,82.19,28.93,21.96
20130208,44.78,16.6,13.1
20130209,59.96,17.18,9.68
20130210,89.89,22.67,9.71
20130211,98.23,24.72,13.21
20130212,141.01,28.47,14.2
20130213,128.8,28.55,12.66
20130214,92.7,22.27,11.2
20130215,126.08,33.62,16.0
20130216,105.87,27.33,12.76
20130217,72.34,19.98,12.36
20130218,78.88,27.58,18.25
20130219,69.3,22.41,15.94
20130220,56.88,18.34,11.44
20130221,67.95,22.98,13.41
20130222,78.39,29.88,11.69
20130223,77.36,24.32,12.36
20130224,67.64,21.32,11.35
20130225,90.09,22.71,14.79
20130226,100.42,26.97,13.58
20130227,145.48,28.89,13.46
20130228,95.11,24.92,13.84
20130301,59.28,21.33,13.55
20130302,36.98,20.15,13.27
20130303,44.5,20.75,11.08
20130304,45.03,19.57,9.5
20130305,48.19,20.08,12.66
20130306,51.94,19.89,13.78
20130307,64.36,22.11,14.53
20130308,73.85,24.91,11.6
20130309,62.15,18.79,10.36
20130310,41.12,18.19,13.2
20130311,54.11,21.1,12.98
20130312,57.97,20.88,12.6
20130313,86.16,31.18,19.42
20130314,88.44,26.14,17.06
20130315,70.23,21.79,14.52
20130316,68.39,21.47,15.1
20130317,58.33,24.73,14.16
20130318,64.69,24.98,10.84
20130319,58.08,18.5,12.28
20130320,73.0,24.14,15.84
20130321,83.29,26.97,15.61
20130322,51.55,19.08,11.69
20130323,83.29,25.94,14.79
20130324,94.96,30.43,15.79
20130325,70.57,26.52,14.91
20130326,56.37,22.56,13.24
20130327,54.81,21.24,11.59
20130328,58.29,21.29,12.49
20130329,65.15,23.53,11.74
20130330,66.84,21.23,15.0
20130331,78.88,23.03,12.25
20130401,78.23,20.85,12.1
20130402,73.62,22.5,13.57
20130403,71.23,18.95,13.74
20130404,57.82,17.53,14.43
20130405,59.36,20.11,13.51
20130406,43.73,14.33,9.49
20130407,46.24,16.26,13.62
20130408,50.73,17.12,11.01
20130409,63.05,20.43,16.69
20130410,56.92,17.56,13.71
20130411,50.8,15.72,15.19
20130412,43.54,14.9,10.94
20130413,45.69,16.51,11.66
20130414,46.8,17.34,9.44
20130415,48.13,15.89,11.44
20130416,49.48,16.07,8.36
20130417,46.17,14.25,8.25
20130418,43.92,14.84,9.74
20130419,58.98,21.16,13.72
20130420,53.3,21.2,16.71
20130421,60.72,20.73,11.94
20130422,60.8,20.24,13.26
20130423,47.47,17.86,12.22
20130424,61.33,22.34,12.54
20130425,76.68,24.88,12.68
20130426,71.21,24.16,12.54
20130427,58.08,17.97,11.31
20130428,38.63,12.85,8.45
20130429,30.9,13.3,9.97
20130430,35.29,15.62,8.88
20130501,41.91,15.15,11.21
20130502,55.08,15.69,15.34
20130503,59.45,14.44,11.73
20130504,65.46,16.47,12.78
20130505,69.02,17.65,11.52
20130506,57.47,16.63,9.34
20130507,50.21,18.18,10.84
20130508,49.58,19.77,11.9
20130509,49.76,19.62,10.65
20130510,57.69,19.48,10.72
20130511,54.52,14.81,8.92
20130512,52.11,14.64,9.45
20130513,51.59,13.97,9.44
20130514,48.6,15.13,8.96
20130515,40.13,14.91,7.53
20130516,52.53,20.51,10.53
20130517,47.15,18.21,9.08
20130518,61.05,18.02,9.52
20130519,65.58,19.0,8.43
20130520,64.55,18.44,8.59
20130521,56.11,16.48,8.43
20130522,51.33,14.49,9.46
20130523,53.81,12.77,8.66
20130524,54.83,11.89,8.24
20130525,47.67,15.7,9.49
20130526,29.8,15.76,6.75
20130527,41.07,16.71,7.78
20130528,39.57,13.05,8.7
20130529,33.08,14.24,9.26
20130530,49.95,17.3,8.73
20130531,48.77,14.57,7.33
20130601,40.06,13.42,7.87
20130602,51.34,16.73,7.91
20130603,62.24,17.68,7.97
20130604,66.13,17.5,9.31
20130605,58.57,15.65,8.95
20130606,25.92,12.01,9.2
20130607,30.73,14.2,8.11
20130608,48.88,17.7,10.95
20130609,44.9,20.33,11.74
20130610,42.69,16.46,9.29
20130611,44.53,19.14,8.76
20130612,48.49,16.44,7.83
20130613,49.18,16.13,8.95
20130614,51.38,15.24,9.21
20130615,31.67,11.66,10.31
20130616,20.78,9.65,8.45
20130617,18.76,9.04,7.57
20130618,26.59,12.35,8.41
20130619,34.93,11.71,8.24
20130620,39.48,11.92,9.05
20130621,50.95,17.32,8.99
20130622,54.45,21.13,9.12
20130623,36.16,14.41,8.43
20130624,23.81,12.3,9.06
20130625,33.85,16.92,8.93
20130626,40.29,16.58,9.62
20130627,33.33,13.51,8.6
20130628,37.49,14.34,8.53
20130629,28.95,12.35,7.69
20130630,18.96,9.02,6.98
20130701,14.48,9.26,7.48
20130702,11.56,8.17,6.93
20130703,11.33,8.21,6.71
20130704,11.08,7.52,6.12
20130705,12.35,7.54,5.87
20130706,17.56,10.07,7.22
20130707,15.41,8.48,7.21
20130708,11.38,7.8,6.27
20130709,9.57,8.24,6.62
20130710,12.42,8.44,7.56
20130711,17.8,8.81,8.35
20130712,22.46,8.62,8.17
20130713,33.81,10.5,8.12
20130714,42.22,13.86,7.85
20130715,28.53,10.92,7.87
20130716,19.04,9.56,7.62
20130717,19.86,10.25,8.18
20130718,16.91,9.79,7.84
20130719,21.01,10.23,7.86
20130720,23.34,10.7,7.93
