date,PM2.5,SO2,NO2
20130101,0.0,0.0,0.0
20130102,0.0,0.0,0.0
20130103,0.0,0.0,0.0
20130104,0.0,0.0,0.0
20130105,0.0,0.0,0.0
20130106,0.0,0.0,0.0
20130107,0.0,0.0,0.0
20130108,0.0,0.0,0.0
20130109,0.0,0.0,0.0
20130110,0.0,0.0,0.0
20130111,0.0,0.0,0.0
20130112,0.0,0.0,0.0
20130113,0.0,0.0,0.0
20130114,0.0,0.0,0.0
20130115,0.0,0.0,0.0
20130116,0.0,0.0,0.0
20130117,0.0,0.0,0.0
20130118,0.0,0.0,0.0
20130119,0.0,0.0,0.0
20130120,0.0,0.0,0.0
20130121,0.0,0.0,0.0
20130122,0.0,0.0,0.0
20130123,0.0,0.0,0.0
20130124,0.0,0.0,0.0
20130125,0.0,0.0,0.0
20130126,0.0,0.0,0.0
20130127,0.0,0.0,0.0
20130128,0.0,0.0,0.0
20130129,0.0,0.0,0.0
20130130,0.0,0.0,0.0
20130131,0.0,0.0,0.0
20130201,0.0,0.0,0.0
20130202,0.0,0.0,0.0
20130203,0.0,0.0,0.0
20130204,0.0,0.0,0.0
20130205,0.0,0.0,0.0
20130206,0.0,0.0,0.0
20130207,0.0,0.0,0.0
20130208,0.0,0.0,0.0
20130209,0.0,0.0,0.0
20130210,0.0,0.0,0.0
20130211,0.0,0.0,0.0
20130212,0.0,0.0,0.0
20130213,0.0,0.0,0.0
20130214,0.0,0.0,0.0
20130215,0.0,0.0,0.0
20130216,0.0,0.0,0.0
20130217,0.0,0.0,0.0
20130218,0.0,0.0,0.0
20130219,0.0,0.0,0.0
20130220,0.0,0.0,0.0
20130221,0.0,0.0,0.0
20130222,0.0,0.0,0.0
20130223,0.0,0.0,0.0
20130224,0.0,0.0,0.0
20130225,0.0,0.0,0.0
20130226,0.0,0.0,0.0
20130227,0.0,0.0,0.0
20130228,0.0,0.0,0.0
20130301,0.0,0.0,0.0
20130302,0.0,0.0,0.0
20130303,0.0,0.0,0.0
20130304,0.0,0.0,0.0
20130305,0.0,0.0,0.0
20130306,0.0,0.0,0.0
20130307,0.0,0.0,0.0
20130308,0.0,0.0,0.0
