date,PM2.5,SO2,NO2
20130101,14.32,4.97,4.52
20130102,15.71,9.1,5.25
20130103,19.14,10.35,6.09
20130104,26.39,11.52,6.38
20130105,28.11,10.87,5.91
20130106,30.48,10.0,6.67
20130107,24.51,6.94,6.43
20130108,16.86,6.03,5.7
20130109,21.15,7.7,5.9
20130110,35.18,10.09,5.66
20130111,16.81,5.98,4.78
20130112,23.91,7.32,5.26
20130113,26.52,8.63,5.4
20130114,31.86,9.6,5.9
20130115,13.09,5.27,4.66
20130116,14.24,6.13,5.08
20130117,19.82,9.39,6.26
20130118,36.33,12.31,6.8
20130119,39.38,13.07,6.55
20130120,18.55,6.67,4.17
20130121,15.09,5.3,4.59
20130122,16.84,5.57,5.18
20130123,13.54,4.53,4.21
20130124,8.4,3.89,3.7
20130125,13.29,4.68,4.93
20130126,13.84,5.07,5.43
20130127,17.11,6.54,5.79
20130128,23.29,8.34,5.98
20130129,24.83,9.21,5.97
20130130,22.26,7.89,5.73
20130131,16.13,5.88,4.19
20130201,11.84,5.04,3.98
20130202,19.91,8.95,5.61
20130203,23.88,8.21,5.34
20130204,15.41,6.72,4.97
20130205,11.82,5.49,4.57
20130206,15.25,6.81,4.41
20130207,21.57,11.73,5.63
20130208,19.05,7.5,4.48
20130209,18.74,6.5,4.34
20130210,25.48,7.79,3.9
20130211,20.9,8.3,3.85
20130212,11.64,5.14,3.2
20130213,20.33,7.51,3.49
20130214,13.51,5.83,2.93
20130215,14.05,6.13,3.5
20130216,24.68,8.64,3.73
20130217,11.77,5.76,2.89
20130218,12.81,6.62,3.61
20130219,19.27,6.07,3.99
20130220,25.18,6.09,4.41
20130221,20.88,6.44,4.85
20130222,13.92,5.39,4.28
20130223,22.07,7.44,4.29
20130224,29.32,8.46,4.24
20130225,20.07,4.67,3.46
20130226,20.91,6.75,4.75
20130227,32.55,10.02,5.49
20130228,22.09,4.44,2.66
20130301,23.46,5.12,3.26
20130302,22.59,5.13,3.7
20130303,14.91,3.52,3.69
20130304,16.19,4.88,4.4
20130305,25.38,5.68,4.36
20130306,24.59,2.43,2.45
20130307,20.92,3.13,3.42
20130308,26.44,4.82,3.8
20130309,54.45,3.4,2.28
20130310,50.46,5.34,3.51
20130311,51.53,6.74,3.37
20130312,39.24,3.01,2.25
20130313,24.97,4.44,3.7
20130314,32.68,8.41,4.58
20130315,31.53,9.13,4.1
20130316,28.16,9.81,3.67
20130317,17.67,4.27,2.25
20130318,22.9,2.9,2.63
20130319,22.02,3.14,2.51
20130320,18.68,3.34,2.74
20130321,19.21,5.26,2.97
20130322,15.04,3.5,2.57
20130323,23.88,3.61,3.07
20130324,26.24,5.0,3.13
20130325,23.1,5.45,3.08
20130326,11.19,2.89,2.87
20130327,18.82,4.53,2.91
20130328,16.4,3.5,2.63
20130329,17.5,5.4,3.02
20130330,14.85,4.64,2.48
20130331,21.25,6.73,2.99
20130401,23.95,3.0,2.07
