date,PM2.5,SO2,NO2
20130101,28.44,12.74,16.71
20130102,39.09,14.32,20.0
20130103,27.53,13.85,15.97
20130104,33.52,13.23,17.17
20130105,43.27,14.06,18.8
20130106,38.51,15.07,19.55
20130107,37.25,15.14,16.89
20130108,41.13,16.53,19.39
20130109,57.91,21.93,23.21
20130110,48.54,17.66,17.26
20130111,35.54,11.48,15.94
20130112,38.48,10.6,17.5
20130113,37.07,11.95,15.23
20130114,34.77,13.03,15.79
20130115,46.03,14.04,18.19
20130116,60.98,17.21,17.05
20130117,94.66,23.51,24.5
20130118,40.82,12.66,15.95
20130119,28.52,10.27,20.78
20130120,21.92,9.6,16.1
20130121,35.45,13.3,24.34
20130122,72.16,17.22,24.99
20130123,64.07,19.16,22.73
20130124,69.7,20.26,20.28
20130125,83.84,23.53,14.55
20130126,69.12,17.53,16.13
20130127,50.43,17.04,14.54
20130128,34.56,12.6,12.53
20130129,21.77,10.37,13.64
20130130,29.49,11.68,15.39
20130131,30.41,10.85,17.74
20130201,29.38,9.43,15.44
20130202,39.31,12.37,19.03
20130203,31.75,9.8,12.42
20130204,26.51,7.73,16.64
20130205,25.74,8.72,17.22
20130206,40.76,15.26,16.71
20130207,34.8,13.53,16.7
20130208,22.44,10.99,11.88
20130209,26.43,10.17,7.85
20130210,53.57,11.8,10.06
20130211,30.99,11.05,11.31
20130212,33.73,10.36,8.68
20130213,36.34,12.0,9.04
20130214,35.0,9.89,9.85
20130215,41.33,11.71,11.03
20130216,36.07,12.64,8.87
20130217,29.86,7.85,10.24
20130218,29.38,7.57,11.83
20130219,29.25,11.37,15.08
20130220,24.08,9.66,9.11
20130221,27.24,7.85,10.31
20130222,33.97,9.21,10.89
20130223,29.23,10.77,8.64
20130224,45.27,9.39,10.22
20130225,39.56,8.67,12.5
20130226,37.16,8.77,14.29
20130227,40.89,11.99,18.72
20130228,38.69,12.36,13.36
20130301,32.38,10.68,16.16
20130302,28.99,12.54,13.05
20130303,29.92,11.12,10.83
20130304,32.46,11.78,12.66
20130305,32.83,13.24,17.1
20130306,33.35,12.19,14.42
20130307,36.58,12.53,14.11
20130308,46.4,14.28,16.2
20130309,43.49,13.38,15.04
20130310,34.06,11.74,12.76
20130311,31.2,11.68,10.4
20130312,29.0,10.83,12.8
20130313,40.64,14.76,19.3
20130314,35.83,15.16,15.05
20130315,25.64,10.04,11.15
20130316,28.27,10.5,12.69
20130317,26.27,9.62,12.69
20130318,45.84,17.56,14.45
20130319,45.47,15.87,14.84
20130320,34.6,9.88,14.83
20130321,39.63,14.47,13.2
20130322,31.96,9.56,13.34
20130323,33.89,9.13,13.18
20130324,41.97,14.65,14.92
20130325,35.63,15.74,14.75
20130326,23.24,7.52,13.86
20130327,28.09,10.67,11.55
20130328,37.75,13.35,17.13
20130329,34.01,11.93,16.91
20130330,34.78,10.52,12.67
20130331,33.21,9.84,13.89
20130401,30.09,9.07,12.78
20130402,47.66,12.3,13.26
20130403,45.39,14.37,12.82
20130404,36.02,9.11,16.94
20130405,23.42,6.61,19.01
20130406,36.67,15.44,15.21
20130407,27.09,10.56,9.03
20130408,29.79,11.14,11.54
20130409,42.48,12.42,12.95
20130410,43.75,14.71,11.56
20130411,39.77,11.81,16.16
20130412,34.09,9.89,15.7
20130413,28.17,11.72,15.16
20130414,36.38,10.52,12.86
20130415,35.04,10.9,11.86
20130416,40.9,12.23,13.97
20130417,52.03,12.75,14.96
20130418,37.03,9.22,12.79
20130419,31.81,10.28,12.53
20130420,37.11,11.1,13.01
20130421,36.96,13.72,11.99
20130422,35.29,11.53,8.71
20130423,31.15,9.29,11.12
20130424,39.97,11.12,15.14
20130425,41.35,13.11,17.07
20130426,51.34,13.8,15.4
20130427,44.33,10.51,11.71
20130428,29.81,8.26,11.58
20130429,29.14,7.54,10.42
20130430,24.26,8.7,11.46
20130501,25.28,8.95,10.22
20130502,25.95,8.84,10.41
20130503,35.64,11.15,11.29
20130504,37.41,10.66,14.67
20130505,29.26,8.0,16.27
20130506,22.98,7.01,14.05
20130507,25.17,7.48,12.19
20130508,22.72,6.47,10.68
20130509,22.41,6.67,12.89
20130510,38.35,13.61,13.94
20130511,50.35,15.84,14.53
20130512,53.55,16.08,13.86
20130513,53.9,14.62,12.4
20130514,43.71,12.1,10.73
20130515,23.79,7.03,14.75
20130516,14.59,6.6,14.25
20130517,38.4,12.63,13.05
20130518,43.14,12.17,10.3
20130519,43.38,15.44,11.29
20130520,44.42,16.02,10.98
20130521,34.81,12.23,11.26
20130522,37.64,12.21,13.4
20130523,38.87,11.14,10.81
20130524,33.69,9.71,9.5
20130525,21.96,7.49,7.76
20130526,17.31,6.29,8.61
20130527,15.56,7.78,11.0
20130528,33.1,12.46,11.25
20130529,21.15,8.13,11.61
20130530,28.1,11.85,11.73
20130531,36.45,14.31,11.71
20130601,26.99,11.72,11.86
20130602,35.34,14.01,12.85
20130603,37.07,13.36,13.08
20130604,29.38,9.91,14.66
20130605,24.93,9.21,12.86
20130606,22.49,7.47,11.36
20130607,17.81,7.12,13.67
20130608,23.92,10.97,14.43
20130609,28.8,9.97,11.6
20130610,30.17,9.24,12.06
20130611,34.17,12.03,13.67
20130612,37.5,14.26,18.07
20130613,23.63,10.07,16.74
20130614,17.55,6.63,15.33
20130615,13.47,6.69,15.75
20130616,12.83,7.47,14.41
20130617,13.0,6.95,13.55
20130618,14.3,6.65,13.33
20130619,18.47,7.14,12.78
20130620,27.18,9.75,14.41
20130621,25.09,8.67,10.32
20130622,11.74,5.93,9.27
20130623,7.87,5.25,8.95
20130624,6.76,5.64,11.14
20130625,9.03,5.89,11.08
20130626,14.69,6.65,12.59
20130627,15.38,6.88,9.49
20130628,17.03,7.24,9.8
20130629,14.73,6.44,10.48
20130630,14.64,6.46,11.68
20130701,11.78,6.22,10.87
20130702,9.02,5.69,9.09
20130703,9.92,5.99,10.37
20130704,11.24,6.41,11.14
20130705,11.13,6.75,10.97
