date,PM2.5,SO2,NO2
20130101,1.26,0.15,0.52
20130102,2.68,0.26,0.66
20130103,3.81,0.41,0.57
20130104,3.98,0.48,0.52
20130105,4.28,0.53,0.54
20130106,3.85,0.48,0.5
20130107,4.0,0.48,0.54
20130108,5.13,0.64,0.5
20130109,3.06,0.37,0.53
20130110,2.28,0.26,0.56
20130111,1.5,0.17,0.54
20130112,0.79,0.08,0.47
20130113,1.35,0.13,0.58
20130114,1.7,0.15,0.61
20130115,1.52,0.13,0.57
20130116,1.79,0.15,0.58
20130117,1.52,0.17,0.59
20130118,9.19,2.2,0.64
20130119,6.69,1.22,0.55
20130120,4.2,0.57,0.54
20130121,2.99,0.39,0.52
20130122,1.39,0.17,0.52
20130123,1.2,0.12,0.54
20130124,1.32,0.12,0.58
20130125,1.19,0.1,0.5
20130126,0.91,0.07,0.55
20130127,1.04,0.09,0.52
20130128,0.76,0.06,0.53
20130129,1.27,0.09,0.65
20130130,1.33,0.11,0.57
20130131,1.01,0.08,0.59
20130201,1.62,0.12,0.65
20130202,1.61,0.12,0.56
20130203,1.79,0.14,0.58
20130204,1.55,0.15,0.5
20130205,3.98,0.68,0.57
20130206,7.85,1.42,0.59
20130207,3.84,0.58,0.53
20130208,3.47,0.51,0.45
20130209,2.46,0.32,0.45
20130210,1.62,0.16,0.51
20130211,1.57,0.14,0.47
20130212,1.58,0.12,0.51
20130213,1.78,0.16,0.46
20130214,2.17,0.2,0.45
20130215,2.19,0.23,0.45
20130216,5.39,0.9,0.41
20130217,8.31,1.49,0.44
20130218,5.09,0.77,0.6
20130219,3.09,0.36,0.58
20130220,2.41,0.25,0.55
20130221,2.08,0.21,0.51
20130222,1.7,0.16,0.48
20130223,1.94,0.2,0.47
20130224,3.37,0.53,0.52
20130225,3.56,0.56,0.5
20130226,2.5,0.35,0.48
20130227,2.68,0.31,0.5
20130228,3.94,0.35,0.5
20130301,2.58,0.19,0.49
20130302,2.06,0.14,0.5
20130303,2.06,0.14,0.48
20130304,2.02,0.12,0.46
20130305,2.97,0.16,0.51
20130306,4.21,0.24,0.49
20130307,4.7,0.33,0.45
20130308,5.31,0.36,0.46
20130309,4.45,0.31,0.49
20130310,7.1,0.59,0.48
20130311,6.8,0.76,0.47
20130312,4.91,0.56,0.48
20130313,3.63,0.39,0.5
20130314,5.46,0.51,0.44
20130315,7.44,0.9,0.43
20130316,6.5,0.72,0.46
20130317,4.63,0.46,0.44
20130318,4.58,0.49,0.45
20130319,3.79,0.42,0.46
20130320,2.63,0.27,0.48
20130321,4.53,0.41,0.49
20130322,5.45,0.51,0.45
20130323,3.28,0.29,0.47
20130324,3.53,0.32,0.4
20130325,5.45,0.49,0.48
20130326,6.36,0.59,0.43
20130327,4.63,0.43,0.42
20130328,3.47,0.24,0.44
20130329,4.61,0.39,0.41
20130330,5.29,0.56,0.42
20130331,6.2,0.62,0.43
20130401,6.32,0.61,0.44
20130402,6.29,0.57,0.44
20130403,6.18,0.58,0.45
20130404,6.74,0.69,0.44
20130405,6.44,0.47,0.39
20130406,5.24,0.38,0.42
20130407,2.62,0.23,0.43
20130408,3.08,0.21,0.48
20130409,4.57,0.25,0.46
20130410,5.54,0.44,0.5
20130411,6.12,0.63,0.41
20130412,6.74,0.63,0.4
20130413,7.16,0.54,0.45
20130414,8.03,0.71,0.41
20130415,7.25,0.71,0.42
20130416,6.05,0.63,0.41
20130417,8.21,1.0,0.47
20130418,7.42,0.82,0.42
20130419,6.09,0.61,0.42
20130420,5.75,0.58,0.48
20130421,7.13,0.96,0.46
20130422,7.34,1.11,0.48
20130423,7.58,0.9,0.42
20130424,7.51,0.87,0.43
20130425,8.24,0.86,0.42
20130426,8.17,0.77,0.43
20130427,10.69,0.82,0.44
20130428,10.54,0.67,0.4
20130429,7.88,0.51,0.42
20130430,8.3,0.49,0.42
20130501,11.18,0.59,0.42
20130502,10.85,0.68,0.4
20130503,9.7,0.71,0.41
20130504,7.83,0.77,0.41
20130505,7.82,0.95,0.44
20130506,7.33,0.84,0.46
20130507,7.21,0.72,0.5
20130508,6.39,0.56,0.43
20130509,6.49,0.46,0.46
20130510,7.5,0.51,0.44
20130511,6.95,0.51,0.44
20130512,6.98,0.59,0.42
20130513,7.64,0.67,0.44
20130514,6.8,0.69,0.46
20130515,6.85,0.69,0.45
20130516,5.96,0.57,0.43
20130517,5.22,0.51,0.42
20130518,5.84,0.63,0.44
20130519,2.95,0.28,0.41
20130520,3.48,0.33,0.47
20130521,4.95,0.33,0.44
20130522,8.17,0.36,0.46
20130523,9.59,0.42,0.42
20130524,7.09,0.49,0.46
20130525,5.74,0.3,0.5
20130526,7.74,0.4,0.51
20130527,10.64,0.47,0.46
20130528,10.16,0.48,0.44
20130529,11.23,0.7,0.46
20130530,9.3,0.83,0.45
20130531,7.68,0.91,0.43
20130601,7.04,0.86,0.49
20130602,7.17,0.7,0.52
20130603,7.58,0.67,0.5
20130604,10.78,0.78,0.49
20130605,11.62,0.88,0.48
20130606,13.12,1.06,0.5
20130607,14.46,1.13,0.49
20130608,11.74,0.75,0.5
20130609,7.41,0.32,0.47
20130610,4.38,0.15,0.47
20130611,5.07,0.35,0.55
20130612,8.75,0.67,0.56
20130613,10.22,0.91,0.47
20130614,13.0,0.99,0.46
20130615,12.17,1.03,0.45
20130616,9.13,0.68,0.48
20130617,8.79,0.82,0.51
20130618,9.16,0.96,0.51
20130619,7.71,0.81,0.49
20130620,7.75,0.83,0.5
20130621,8.73,0.89,0.48
20130622,9.03,0.83,0.47
20130623,7.74,0.49,0.5
20130624,7.06,0.39,0.5
20130625,6.82,0.43,0.53
20130626,6.68,0.48,0.54
20130627,6.85,0.59,0.5
20130628,9.16,0.98,0.56
20130629,9.69,0.92,0.56
20130630,9.78,0.92,0.54
20130701,10.52,1.07,0.58
20130702,10.67,1.01,0.66
20130703,9.44,0.73,0.64
20130704,9.22,0.6,0.63
20130705,12.06,0.99,0.66
20130706,15.28,1.55,0.65
20130707,15.16,1.26,0.61
20130708,21.96,1.29,0.63
20130709,14.58,1.17,0.63
20130710,10.75,1.17,0.63
20130711,11.44,1.31,0.64
20130712,9.63,0.84,0.63
20130713,8.24,0.55,0.65
20130714,7.81,0.48,0.62
20130715,8.55,0.55,0.58
20130716,9.35,0.57,0.56
20130717,11.34,0.61,0.58
20130718,12.01,0.66,0.63
20130719,10.25,0.67,0.63
20130720,9.46,0.7,0.62
20130721,7.75,0.42,0.61
20130722,7.9,0.43,0.64
20130723,12.24,0.39,0.63
20130724,9.55,0.44,0.59
20130725,7.88,0.42,0.58
20130726,7.22,0.44,0.62
20130727,6.07,0.33,0.59
20130728,4.14,0.18,0.56
20130729,4.06,0.26,0.57
20130730,4.77,0.43,0.59
20130731,5.51,0.59,0.58
20130801,4.94,0.38,0.63
20130802,5.16,0.28,0.59
20130803,5.73,0.29,0.59
20130804,5.93,0.3,0.59
20130805,9.28,0.48,0.6
20130806,19.24,0.85,0.59
20130807,14.63,0.6,0.57
20130808,9.87,0.44,0.62
20130809,10.17,0.58,0.61
20130810,10.3,0.65,0.59
20130811,9.58,0.55,0.58
20130812,9.06,0.49,0.62
20130813,9.9,0.7,0.64
20130814,11.23,0.83,0.64
20130815,12.68,0.82,0.64
20130816,13.93,0.86,0.63
20130817,13.91,0.91,0.62
20130818,11.83,0.81,0.56
20130819,10.47,0.77,0.54
20130820,10.03,0.78,0.56
20130821,11.6,1.03,0.56
20130822,12.31,0.99,0.59
20130823,12.93,0.95,0.59
20130824,13.77,0.97,0.59
20130825,15.28,1.03,0.62
20130826,18.3,1.17,0.56
20130827,21.95,1.57,0.56
20130828,16.35,1.48,0.58
20130829,14.65,1.29,0.63
20130830,15.06,1.34,0.65
20130831,15.58,1.4,0.63
20130901,14.62,1.3,0.61
20130902,14.26,1.43,0.56
20130903,14.24,1.66,0.54
20130904,10.95,1.47,0.54
20130905,9.14,1.26,0.51
20130906,8.61,1.31,0.52
20130907,7.88,1.03,0.48
20130908,6.36,0.67,0.47
20130909,5.76,0.56,0.52
20130910,5.27,0.45,0.5
20130911,4.6,0.35,0.51
20130912,3.93,0.29,0.54
20130913,5.47,0.48,0.58
20130914,6.87,0.57,0.55
20130915,7.47,0.56,0.52
20130916,7.97,0.65,0.52
20130917,6.67,0.56,0.59
20130918,5.92,0.49,0.61
20130919,6.87,0.52,0.6
20130920,8.22,0.57,0.55
20130921,8.69,0.61,0.58
20130922,8.06,0.55,0.6
20130923,7.83,0.5,0.58
20130924,7.87,0.54,0.55
20130925,9.39,0.62,0.52
20130926,10.4,0.78,0.51
20130927,5.8,0.29,0.49
20130928,6.85,0.5,0.62
20130929,10.39,1.24,0.57
20130930,9.75,1.2,0.51
20131001,10.14,1.2,0.54
20131002,10.13,1.32,0.47
20131003,9.87,1.16,0.46
20131004,9.28,1.04,0.5
20131005,5.75,0.55,0.49
20131006,3.43,0.28,0.48
20131007,2.12,0.27,0.39
20131008,1.33,0.18,0.39
20131009,0.91,0.1,0.49
20131010,1.11,0.11,0.53
20131011,3.32,0.42,0.61
20131012,5.13,0.65,0.58
20131013,6.33,0.79,0.55
20131014,6.28,0.79,0.55
20131015,8.22,1.27,0.61
20131016,6.71,0.91,0.59
20131017,5.82,0.71,0.56
20131018,5.5,0.63,0.57
20131019,5.21,0.64,0.5
20131020,4.67,0.54,0.49
20131021,4.66,0.57,0.47
20131022,3.18,0.38,0.45
20131023,1.82,0.2,0.5
20131024,2.08,0.24,0.58
20131025,3.09,0.31,0.6
20131026,3.89,0.48,0.57
20131027,4.22,0.58,0.58
20131028,5.68,0.9,0.51
20131029,5.02,0.65,0.5
20131030,4.61,0.44,0.5
20131031,4.24,0.45,0.52
20131101,4.57,0.5,0.5
20131102,4.1,0.43,0.48
20131103,3.38,0.39,0.53
20131104,2.32,0.26,0.56
20131105,1.14,0.12,0.53
20131106,1.46,0.12,0.61
20131107,2.42,0.2,0.57
20131108,3.35,0.34,0.51
20131109,3.57,0.43,0.54
20131110,2.83,0.36,0.55
20131111,2.35,0.29,0.57
20131112,2.01,0.22,0.6
20131113,1.58,0.17,0.6
20131114,1.28,0.14,0.64
20131115,1.19,0.14,0.64
20131116,0.98,0.1,0.59
20131117,0.91,0.08,0.62
20131118,0.85,0.07,0.61
20131119,0.85,0.07,0.58
20131120,0.9,0.09,0.62
20131121,1.34,0.13,0.62
20131122,1.61,0.17,0.64
20131123,1.03,0.1,0.56
20131124,0.55,0.06,0.51
20131125,0.56,0.05,0.57
20131126,0.75,0.05,0.6
20131127,0.77,0.05,0.59
20131128,1.06,0.09,0.62
20131129,1.58,0.11,0.59
20131130,0.97,0.08,0.5
20131201,0.66,0.06,0.5
20131202,0.83,0.08,0.59
20131203,1.49,0.14,0.63
20131204,1.95,0.19,0.64
20131205,1.22,0.14,0.57
20131206,0.92,0.09,0.58
20131207,1.07,0.09,0.64
20131208,1.06,0.1,0.57
20131209,1.63,0.15,0.63
20131210,1.7,0.17,0.58
20131211,1.47,0.14,0.61
20131212,1.3,0.12,0.59
20131213,2.06,0.19,0.57
20131214,1.25,0.13,0.4
20131215,0.23,0.03,0.3
20131216,0.35,0.06,0.44
20131217,1.03,0.17,0.58
20131218,1.89,0.3,0.63
20131219,4.0,0.59,0.6
20131220,5.19,0.81,0.57
20131221,4.44,0.69,0.56
20131222,6.95,1.07,0.53
20131223,5.19,0.9,0.52
