date,PM2.5,SO2,NO2
20130101,49.65,36.9,13.88
20130102,66.15,33.38,15.89
20130103,56.85,27.68,12.01
20130104,54.75,25.23,8.58
20130105,61.12,26.17,8.2
20130106,75.37,33.26,10.24
20130107,82.44,36.38,10.48
20130108,96.03,39.57,11.26
20130109,129.39,54.6,15.21
20130110,136.46,51.28,19.14
20130111,137.73,47.76,13.34
20130112,133.38,56.13,15.58
20130113,122.97,57.1,20.56
20130114,116.45,45.98,16.57
20130115,108.77,37.94,14.93
20130116,113.37,37.96,15.3
20130117,113.75,44.27,14.9
20130118,119.55,38.11,20.27
20130119,68.78,26.81,12.98
20130120,53.71,27.47,11.11
20130121,88.29,37.83,14.73
20130122,80.95,30.8,12.78
20130123,87.51,36.59,14.0
20130124,86.71,36.71,11.97
20130125,76.68,41.0,16.67
20130126,83.92,37.55,13.65
20130127,103.27,50.86,22.67
20130128,76.48,35.35,16.4
20130129,72.0,31.29,14.22
20130130,47.4,21.19,9.45
20130131,28.37,15.79,8.3
20130201,46.56,21.36,11.22
20130202,93.22,27.22,13.54
20130203,50.4,15.61,8.69
20130204,32.31,14.21,9.41
20130205,49.74,16.35,9.5
20130206,74.28,21.83,10.96
20130207,79.41,27.72,12.64
20130208,44.84,21.59,10.27
20130209,53.0,20.62,7.63
20130210,66.3,22.92,8.03
20130211,55.28,18.99,8.13
20130212,71.55,25.45,7.75
20130213,62.33,20.09,7.97
20130214,58.45,21.45,7.69
20130215,81.79,34.15,8.65
20130216,51.96,20.49,7.92
20130217,47.21,19.62,8.79
20130218,55.8,17.53,7.88
20130219,55.36,24.7,9.21
20130220,54.74,19.02,7.21
20130221,58.95,22.68,8.24
20130222,67.64,31.34,9.23
20130223,69.9,29.44,11.42
20130224,65.84,24.33,12.35
20130225,54.35,17.79,10.0
20130226,63.86,22.76,9.41
20130227,80.91,26.54,11.65
20130228,54.82,20.52,11.11
20130301,75.7,27.28,10.12
20130302,51.48,21.8,8.59
20130303,57.15,26.87,9.39
20130304,59.19,32.23,14.82
20130305,55.96,25.01,15.1
20130306,62.8,24.1,14.17
20130307,72.76,31.12,12.6
20130308,88.82,26.32,16.95
20130309,54.76,15.14,9.59
20130310,55.33,17.69,10.04
20130311,51.43,14.07,7.54
20130312,47.3,13.04,6.9
20130313,71.39,23.42,9.66
20130314,78.85,27.11,14.26
20130315,67.68,19.21,12.89
20130316,48.02,13.06,9.55
20130317,62.39,22.55,10.26
20130318,78.38,28.13,10.89
20130319,45.41,15.95,8.59
20130320,55.9,23.81,10.05
20130321,64.01,20.23,12.74
20130322,47.88,13.32,8.82
20130323,60.76,20.55,8.92
20130324,61.84,25.66,10.13
20130325,64.02,20.72,9.15
20130326,52.76,24.16,9.18
20130327,55.77,24.18,11.02
20130328,49.15,21.76,8.58
20130329,48.44,20.5,8.85
20130330,51.2,19.89,8.08
20130331,60.4,21.13,9.65
20130401,59.91,19.93,9.83
20130402,63.44,21.57,10.63
20130403,48.39,15.97,8.67
20130404,42.4,14.24,8.19
20130405,41.32,16.56,7.91
20130406,35.78,12.18,5.92
20130407,39.55,14.03,8.69
20130408,44.8,15.72,8.63
20130409,58.26,19.12,10.47
20130410,52.97,18.84,9.63
20130411,43.14,16.71,7.58
20130412,41.59,16.46,7.96
20130413,44.06,18.26,8.41
20130414,45.99,20.79,11.06
20130415,50.61,15.11,11.73
20130416,46.46,15.96,9.48
20130417,45.27,13.7,10.94
20130418,29.76,11.33,8.88
20130419,39.75,14.45,8.34
20130420,49.83,18.25,8.44
20130421,46.0,15.84,7.53
20130422,39.48,12.44,6.63
20130423,42.43,14.33,7.47
20130424,51.07,18.95,7.19
20130425,48.86,16.08,6.72
20130426,54.99,18.82,8.84
20130427,46.11,14.57,8.78
20130428,41.54,13.26,8.03
20130429,33.39,12.8,7.77
20130430,40.24,16.91,7.43
20130501,38.83,13.71,5.76
20130502,42.57,14.19,7.78
20130503,46.32,17.13,9.2
20130504,50.33,18.69,8.01
20130505,42.36,13.92,6.91
20130506,37.93,13.34,6.6
20130507,47.98,15.61,8.77
20130508,50.3,21.17,9.82
20130509,51.18,20.45,9.26
20130510,40.65,18.41,7.67
20130511,46.94,19.26,10.1
20130512,53.51,21.86,14.95
20130513,47.09,15.26,11.54
20130514,33.1,11.73,7.11
20130515,48.97,14.99,6.85
20130516,51.72,19.84,6.64
20130517,52.27,16.23,8.32
20130518,44.26,15.33,7.01
20130519,56.69,19.19,7.66
20130520,55.14,18.41,7.89
20130521,55.43,19.68,12.8
20130522,46.59,17.7,11.93
20130523,42.79,17.75,11.59
20130524,41.3,15.09,8.06
20130525,34.72,13.74,7.46
20130526,35.24,15.4,7.1
20130527,37.02,15.22,9.13
20130528,23.91,11.61,6.23
20130529,25.73,13.12,6.86
20130530,38.96,18.32,8.26
20130531,38.62,15.2,8.76
20130601,44.16,18.64,10.53
20130602,47.87,18.08,10.38
20130603,49.86,19.78,10.43
20130604,41.57,14.35,9.97
20130605,31.83,12.48,7.75
20130606,23.69,11.18,8.06
20130607,40.25,16.44,7.72
20130608,40.34,15.19,8.75
20130609,32.2,15.71,8.03
20130610,24.71,13.17,6.64
20130611,34.78,14.57,7.83
20130612,36.68,15.11,9.45
20130613,36.27,13.9,8.39
20130614,39.3,13.7,7.77
20130615,36.46,12.73,8.42
20130616,29.25,11.78,7.34
20130617,26.74,12.97,6.08
20130618,29.85,12.54,6.11
20130619,31.57,10.78,5.93
20130620,31.22,10.45,6.08
20130621,32.39,12.3,7.15
20130622,53.1,17.57,7.3
20130623,52.32,17.14,7.82
20130624,29.79,12.25,7.18
20130625,33.47,14.55,8.55
20130626,48.4,16.88,8.44
20130627,55.34,22.53,10.51
20130628,57.29,21.03,8.51
20130629,26.91,12.65,8.37
20130630,15.1,9.59,6.02
20130701,14.38,8.68,5.84
20130702,17.61,9.6,6.21
20130703,16.52,9.42,6.66
20130704,11.85,7.85,5.03
20130705,18.07,9.48,6.34
20130706,22.53,9.98,8.07
20130707,16.11,9.19,6.07
20130708,13.97,7.95,5.29
20130709,11.67,7.06,4.66
20130710,12.97,7.93,5.0
20130711,14.74,8.99,5.79
20130712,17.25,9.59,6.55
20130713,22.84,10.54,8.18
20130714,28.08,11.13,8.96
20130715,24.6,10.85,6.9
20130716,23.28,11.18,6.93
20130717,19.24,10.29,6.76
20130718,16.77,9.5,6.6
20130719,18.71,9.93,6.56
20130720,21.85,10.74,6.92
20130721,18.49,10.41,5.6
20130722,13.87,8.03,4.6
20130723,13.67,8.44,5.17
20130724,14.15,8.76,5.67
20130725,18.37,10.02,6.41
20130726,24.79,12.08,7.0
20130727,28.51,14.3,7.19
20130728,22.62,12.05,6.05
20130729,16.56,10.97,7.13
20130730,13.91,9.33,6.23
20130731,15.86,9.48,6.27
20130801,18.9,10.0,7.19
20130802,24.51,10.89,7.65
20130803,29.98,12.03,7.85
20130804,15.87,9.06,6.64
20130805,14.45,8.63,5.81
20130806,14.11,8.47,5.25
20130807,12.57,7.68,4.75
20130808,14.41,9.69,6.42
20130809,14.67,9.36,6.67
20130810,15.49,9.48,6.67
20130811,16.32,9.42,6.93
20130812,19.05,10.39,7.83
20130813,24.34,11.74,9.51
20130814,33.32,13.06,10.06
20130815,30.83,14.01,8.47
20130816,31.32,13.72,7.21
20130817,31.64,13.07,6.79
20130818,31.48,14.27,7.01
20130819,32.79,15.21,6.29
20130820,51.99,19.33,8.86
20130821,49.54,16.94,8.65
20130822,39.4,14.91,8.2
20130823,44.99,16.77,8.2
20130824,38.68,15.83,8.41
20130825,39.81,17.73,7.9
20130826,35.12,13.31,7.64
20130827,28.13,11.72,7.04
20130828,24.56,10.83,6.91
20130829,32.83,14.18,7.09
20130830,37.07,16.59,8.0
20130831,45.62,19.43,9.04
20130901,50.07,18.02,7.29
20130902,51.65,18.9,8.07
20130903,52.43,21.55,9.38
20130904,54.06,24.41,9.74
20130905,57.18,26.04,10.24
20130906,50.08,22.21,8.52
20130907,50.27,19.3,7.69
20130908,39.16,14.66,6.68
20130909,32.77,13.44,7.06
20130910,39.9,15.15,8.64
20130911,66.2,22.23,8.85
20130912,67.9,23.1,8.36
20130913,57.51,19.92,8.32
20130914,49.54,17.87,9.2
20130915,53.16,18.19,10.88
20130916,55.79,18.12,10.24
20130917,45.52,15.55,7.28
20130918,38.52,13.3,8.09
20130919,38.68,18.76,6.84
20130920,38.19,18.09,7.98
20130921,48.55,21.68,9.53
20130922,53.76,19.94,8.86
20130923,44.63,17.22,9.69
20130924,41.05,18.65,11.4
20130925,31.89,17.48,8.79
20130926,31.86,15.69,6.97
20130927,44.18,17.17,9.98
20130928,41.77,17.62,9.61
20130929,49.6,20.25,12.43
20130930,50.27,21.62,12.46
20131001,50.27,20.76,8.71
20131002,58.69,22.71,10.55
20131003,70.53,23.27,8.65
