date,PM2.5,SO2,NO2
20130101,35.02,31.97,16.64
20130102,24.2,20.64,10.23
20130103,30.45,25.75,12.87
20130104,59.26,53.77,27.67
20130105,51.75,35.47,21.4
20130106,63.46,41.2,27.98
20130107,97.65,76.88,34.66
20130108,56.63,31.89,23.28
20130109,47.81,35.54,21.14
20130110,78.79,57.13,30.77
20130111,107.86,62.14,32.55
20130112,124.5,58.33,33.92
20130113,121.36,48.81,33.96
20130114,125.82,53.8,29.41
20130115,136.11,48.4,34.04
20130116,84.45,43.99,25.69
20130117,85.77,44.77,28.02
20130118,100.88,82.26,39.65
20130119,102.89,54.02,32.6
20130120,139.26,54.94,36.99
20130121,150.19,57.64,32.79
20130122,100.73,43.93,28.41
20130123,132.38,66.45,39.32
20130124,26.99,20.34,10.5
20130125,21.46,21.9,11.66
20130126,53.25,35.12,19.94
20130127,75.34,49.99,27.66
20130128,90.04,63.15,31.84
20130129,111.77,50.34,30.77
20130130,150.15,71.74,36.1
20130131,146.57,51.92,32.43
20130201,31.86,18.98,11.86
20130202,25.38,23.56,13.34
20130203,46.55,45.12,25.32
20130204,34.93,23.9,14.38
20130205,62.46,49.12,26.74
20130206,56.71,33.21,17.44
20130207,10.12,11.48,5.5
20130208,32.79,20.72,14.09
20130209,82.27,72.16,25.92
20130210,47.53,25.38,9.78
20130211,51.13,39.3,17.0
20130212,57.09,36.81,17.26
20130213,66.04,42.96,20.35
20130214,41.87,23.24,13.36
20130215,33.1,25.07,12.84
20130216,58.75,49.86,20.59
20130217,45.77,22.67,13.15
20130218,21.24,20.46,9.92
20130219,16.89,15.21,7.59
20130220,40.64,31.8,16.49
20130221,51.16,35.6,19.42
20130222,28.57,19.5,10.45
20130223,33.26,25.61,14.68
20130224,47.1,36.46,19.55
20130225,47.92,33.21,19.92
20130226,62.12,27.65,18.34
20130227,95.05,38.15,28.81
20130228,56.49,29.17,21.21
20130301,9.47,11.29,5.75
20130302,19.93,19.59,12.45
20130303,62.65,40.84,27.24
20130304,48.35,27.08,21.09
20130305,55.14,48.29,29.36
20130306,76.79,36.43,29.25
20130307,92.84,35.93,26.73
20130308,53.36,23.57,18.02
20130309,45.91,27.44,15.9
20130310,14.26,13.15,8.37
20130311,43.98,38.29,23.74
20130312,34.88,18.39,16.42
20130313,14.27,12.41,7.92
20130314,42.17,38.6,19.55
20130315,73.45,39.74,27.88
20130316,72.8,37.95,24.71
20130317,100.84,38.54,24.94
20130318,19.68,11.96,8.54
20130319,19.34,16.69,9.65
20130320,11.77,10.17,6.82
20130321,38.23,27.38,16.15
20130322,11.01,10.28,6.67
20130323,28.75,21.63,13.84
20130324,20.02,13.21,8.2
20130325,20.92,17.36,11.51
20130326,61.93,40.71,23.76
20130327,32.97,15.33,11.45
20130328,11.16,10.43,7.05
20130329,14.5,11.29,8.27
20130330,36.03,18.72,13.57
20130331,71.98,22.29,16.25
20130401,58.67,14.99,17.77
20130402,40.64,17.63,17.27
20130403,30.12,13.16,12.71
20130404,25.62,11.43,12.62
20130405,39.35,12.54,13.59
20130406,17.58,7.5,7.93
20130407,21.96,10.44,11.69
20130408,44.45,13.42,16.77
20130409,15.99,7.36,7.7
20130410,12.48,6.51,7.63
20130411,8.52,5.39,5.81
20130412,22.92,11.15,12.29
20130413,26.44,13.43,12.08
20130414,7.14,4.28,5.0
20130415,22.48,10.38,10.39
20130416,15.99,7.32,7.93
20130417,24.15,10.99,13.45
20130418,12.22,5.57,6.22
20130419,16.63,7.97,9.59
20130420,22.85,8.27,10.36
20130421,33.83,11.52,14.37
20130422,105.1,39.41,26.44
20130423,57.14,18.2,15.49
20130424,39.13,8.39,8.99
20130425,21.12,6.86,8.26
20130426,21.28,8.12,10.09
20130427,41.53,14.62,17.03
20130428,47.76,16.65,12.54
20130429,20.93,5.29,5.77
20130430,18.04,6.85,6.73
20130501,21.74,7.0,10.1
20130502,26.63,8.71,12.85
20130503,25.56,8.0,11.03
20130504,50.47,20.18,15.92
20130505,70.21,26.72,17.49
20130506,95.68,29.99,22.42
20130507,119.49,31.67,21.01
20130508,72.28,24.7,16.92
20130509,40.52,16.24,12.83
20130510,32.06,8.32,9.73
20130511,54.38,15.19,15.94
20130512,37.68,9.77,12.66
20130513,49.99,16.16,15.87
20130514,46.32,10.89,8.66
20130515,24.18,8.3,9.35
20130516,37.63,10.74,15.34
20130517,49.07,15.44,14.13
20130518,52.16,17.25,15.82
20130519,40.71,9.64,10.61
20130520,28.09,6.04,8.51
20130521,46.89,16.08,17.62
20130522,32.87,11.21,21.26
20130523,52.85,19.92,22.26
20130524,41.21,12.74,12.22
20130525,50.28,17.2,18.16
20130526,64.28,15.13,10.64
20130527,24.26,8.3,9.74
20130528,34.42,9.1,15.7
20130529,27.44,5.82,8.96
20130530,56.12,13.14,17.47
20130531,63.74,29.5,20.93
20130601,42.1,12.72,12.23
20130602,41.56,14.66,18.42
20130603,49.99,15.48,12.94
20130604,35.12,12.32,14.51
20130605,52.89,15.39,17.99
20130606,43.82,15.54,17.76
20130607,27.24,11.31,13.51
20130608,37.1,10.92,15.34
20130609,40.34,13.47,16.15
20130610,20.0,12.2,13.7
20130611,23.05,8.59,17.5
20130612,23.92,7.39,10.37
20130613,47.1,19.04,17.9
20130614,63.16,23.16,17.43
20130615,53.74,22.97,16.36
20130616,55.46,20.66,18.27
20130617,41.86,15.41,16.09
20130618,47.12,12.33,20.21
20130619,24.81,8.9,15.86
20130620,17.48,7.5,12.2
20130621,19.4,7.93,16.6
20130622,29.17,11.54,16.65
20130623,44.48,15.59,15.88
20130624,61.19,20.95,16.53
20130625,61.66,19.54,15.23
20130626,46.51,14.68,14.22
20130627,45.69,13.43,13.85
20130628,47.41,13.87,14.21
20130629,51.0,16.64,16.09
20130630,38.63,11.82,10.34
20130701,33.68,10.8,11.63
20130702,19.71,7.62,9.99
20130703,26.22,7.88,11.34
20130704,34.56,8.1,13.36
20130705,27.65,7.8,13.52
20130706,26.41,10.8,15.94
20130707,56.36,14.94,11.01
20130708,38.05,13.63,12.61
20130709,44.67,13.46,14.81
20130710,42.06,13.65,13.3
20130711,33.01,10.96,13.97
20130712,50.43,12.75,16.27
20130713,73.97,17.38,16.79
20130714,57.38,13.35,12.78
20130715,24.98,10.17,16.04
20130716,22.48,11.14,13.26
20130717,28.91,16.01,17.12
20130718,43.55,16.26,14.63
20130719,33.24,12.01,17.7
20130720,34.0,10.98,12.25
20130721,30.08,10.31,14.27
20130722,36.29,13.29,16.61
20130723,52.04,15.78,17.83
20130724,38.93,12.26,13.17
20130725,27.68,8.45,10.38
20130726,29.89,9.6,14.61
20130727,53.5,19.43,16.7
20130728,46.07,16.05,13.52
20130729,53.42,18.71,18.27
20130730,52.0,20.77,15.61
20130731,49.83,15.69,13.54
20130801,55.88,17.79,11.11
20130802,50.49,16.99,10.52
20130803,73.0,20.5,11.05
20130804,74.93,23.07,15.08
20130805,47.01,19.24,13.28
20130806,61.8,21.8,13.34
20130807,60.03,15.66,11.02
20130808,44.35,14.06,12.58
20130809,50.76,17.63,15.57
20130810,75.78,21.01,15.63
20130811,83.02,24.56,12.95
20130812,52.53,19.63,10.55
20130813,46.97,22.52,11.24
20130814,52.29,22.11,11.88
20130815,52.6,21.77,13.49
20130816,48.22,16.43,14.0
20130817,30.91,10.16,10.98
20130818,16.0,7.39,6.92
20130819,12.59,7.02,9.38
20130820,14.95,9.74,12.57
20130821,32.11,19.38,17.7
20130822,36.73,16.38,15.12
20130823,25.45,9.19,11.9
20130824,20.11,9.9,14.04
20130825,20.92,11.59,14.25
20130826,19.66,9.69,11.97
20130827,22.38,11.08,17.34
20130828,32.24,14.77,21.37
20130829,28.83,12.81,11.21
20130830,9.57,7.07,9.02
20130831,13.78,9.02,11.41
20130901,16.6,10.95,12.93
20130902,16.92,9.97,14.75
20130903,16.93,10.17,14.51
20130904,25.15,11.24,16.95
20130905,36.76,14.67,20.2
20130906,35.26,13.06,16.04
20130907,37.64,12.92,17.35
20130908,42.91,15.86,18.3
20130909,66.98,23.09,20.0
20130910,60.45,23.26,16.62
20130911,31.87,15.16,17.7
20130912,49.38,27.03,21.9
20130913,62.24,25.05,13.32
20130914,32.01,15.33,11.15
20130915,11.99,7.17,13.25
20130916,25.78,18.05,22.41
20130917,38.04,15.88,21.34
20130918,47.71,16.82,17.94
20130919,53.1,21.56,16.36
20130920,38.21,12.71,12.86
20130921,24.24,12.54,19.18
20130922,38.05,14.46,18.42
20130923,17.77,8.48,9.17
20130924,9.04,7.78,10.67
20130925,14.88,8.88,12.97
20130926,23.79,13.27,19.39
20130927,53.68,33.01,27.3
20130928,57.94,26.85,20.65
20130929,36.6,13.94,16.86
20130930,61.88,17.9,22.54
20131001,58.04,19.23,20.76
20131002,10.96,7.34,10.32
20131003,15.11,8.45,14.24
20131004,58.72,29.87,24.83
20131005,62.98,20.37,22.14
20131006,74.23,17.82,26.32
20131007,30.97,12.96,19.28
20131008,24.78,11.0,20.43
20131009,59.6,30.01,29.55
20131010,63.78,19.87,18.21
20131011,15.46,8.21,11.35
20131012,22.32,10.86,19.65
20131013,32.02,15.9,22.83
20131014,15.43,9.73,10.9
20131015,11.84,8.1,10.29
20131016,34.02,13.12,22.39
20131017,60.87,26.02,37.54
20131018,67.14,39.36,34.89
20131019,71.18,27.95,26.94
20131020,62.33,14.22,18.53
20131021,119.63,17.31,26.35
20131022,104.27,21.48,38.53
20131023,39.42,12.75,19.4
20131024,22.32,11.34,13.78
20131025,29.32,11.17,15.28
20131026,43.5,17.86,29.27
20131027,83.93,44.9,42.34
20131028,83.99,33.01,31.26
20131029,24.4,13.52,15.87
20131030,30.07,21.6,27.12
20131031,50.27,29.68,39.02
20131101,73.02,31.69,45.48
20131102,103.75,56.82,47.6
20131103,74.69,30.16,31.98
20131104,32.19,28.89,29.39
20131105,53.55,51.72,41.22
20131106,76.62,38.62,32.97
20131107,13.56,16.21,15.19
20131108,34.51,38.69,30.07
20131109,30.54,22.92,22.29
20131110,14.55,16.33,13.69
20131111,18.23,18.77,15.82
20131112,32.71,30.33,25.14
20131113,49.6,43.91,33.33
20131114,51.62,37.36,30.95
20131115,53.37,38.19,37.14
20131116,58.41,34.79,31.22
20131117,13.57,15.31,10.4
20131118,9.45,13.1,8.45
20131119,14.23,16.38,11.22
20131120,30.25,28.81,21.57
20131121,50.83,41.16,36.07
20131122,69.08,56.36,44.15
20131123,121.24,57.01,53.4
20131124,121.34,50.99,40.56
20131125,16.82,18.05,13.36
20131126,21.24,25.07,17.61
20131127,8.54,13.83,7.65
20131128,15.76,19.98,13.39
20131129,34.51,39.04,28.39
20131130,33.61,25.61,23.26
20131201,49.47,42.03,34.08
20131202,70.59,52.57,44.04
20131203,82.37,51.64,45.02
20131204,55.22,41.29,36.11
20131205,22.86,22.68,18.88
20131206,52.57,43.2,35.64
20131207,78.61,52.75,41.91
20131208,108.3,72.51,46.23
20131209,44.71,27.57,20.96
20131210,53.01,34.75,28.92
20131211,29.2,22.34,18.24
20131212,24.64,27.98,17.07
20131213,20.77,22.06,15.42
20131214,32.19,33.63,21.51
20131215,38.27,34.97,26.16
20131216,57.73,52.91,35.24
20131217,74.05,44.5,32.86
20131218,88.23,45.19,35.85
20131219,57.43,30.82,23.27
20131220,34.32,25.38,17.73
20131221,53.9,39.53,28.55
20131222,91.24,51.52,42.81
20131223,95.33,56.59,42.35
20131224,99.49,53.14,44.16
20131225,118.44,94.85,53.66
20131226,36.31,24.49,17.34
20131227,50.05,35.8,28.72
20131228,53.25,46.25,34.84
20131229,47.73,49.9,34.43
20131230,59.78,51.9,41.49
20131231,40.95,45.99,29.64
20140101,28.31,37.33,21.21
20140102,42.54,58.1,32.84
20140103,34.09,34.24,23.54
20140104,58.79,50.17,33.57
20140105,67.74,44.94,35.46
20140106,88.29,65.67,41.44
20140107,55.48,40.77,27.89
20140108,18.36,21.91,12.71
20140109,40.88,40.15,26.26
20140110,56.02,48.99,36.05
20140111,78.72,60.5,43.62
20140112,26.98,24.89,15.47
20140113,56.44,52.17,34.21
20140114,74.67,60.4,40.7
20140115,85.49,58.72,42.65
20140116,100.86,59.99,43.91
20140117,86.61,45.57,36.99
20140118,57.51,44.35,28.78
20140119,64.56,61.58,37.59
20140120,61.55,36.4,24.62
20140121,53.56,44.18,31.72
20140122,75.57,76.21,48.36
20140123,80.27,77.88,45.2
20140124,74.84,44.5,33.47
20140125,43.06,25.81,19.01
20140126,30.44,48.45,25.03
20140127,34.53,44.3,22.24
20140128,17.77,28.86,14.36
20140129,34.02,45.93,23.12
20140130,28.36,24.96,12.14
20140131,83.75,59.0,23.71
20140201,72.51,51.42,29.04
20140202,33.58,28.66,14.37
20140203,10.48,16.59,6.36
20140204,19.97,24.16,11.44
20140205,33.53,37.86,19.9
20140206,39.95,40.5,20.94
20140207,40.1,37.34,21.08
20140208,37.96,31.11,17.22
20140209,25.11,21.38,12.1
20140210,31.04,30.15,19.15
20140211,63.46,56.26,34.08
20140212,69.61,46.7,29.67
20140213,67.31,47.88,32.86
20140214,75.54,73.93,39.97
20140215,118.23,63.13,40.64
20140216,59.95,35.93,24.94
20140217,42.22,28.46,21.03
20140218,48.43,36.2,25.94
20140219,46.48,35.37,25.07
20140220,60.2,42.79,34.02
20140221,99.33,67.74,46.18
20140222,100.2,45.36,39.45
20140223,116.87,56.43,41.06
20140224,149.3,72.96,49.8
20140225,149.53,71.37,45.01
20140226,106.93,56.03,33.46
20140227,26.02,17.46,11.88
20140228,27.01,24.61,20.45
20140301,35.54,33.64,24.22
20140302,42.54,32.98,24.83
20140303,68.0,46.92,32.55
20140304,47.24,26.35,18.26
20140305,23.1,22.06,14.44
20140306,16.15,18.01,11.24
20140307,27.53,28.18,18.61
20140308,36.64,32.2,21.57
20140309,20.7,18.26,13.61
20140310,38.42,42.2,26.92
20140311,67.13,40.52,25.72
20140312,18.37,17.37,10.75
20140313,45.39,22.72,18.45
20140314,53.95,34.22,25.84
20140315,45.08,37.67,27.32
20140316,41.4,32.15,29.45
20140317,76.0,37.35,28.77
20140318,35.58,19.28,15.1
20140319,32.84,20.39,19.48
20140320,16.48,12.8,10.18
20140321,32.16,26.62,22.89
20140322,63.43,39.39,34.02
20140323,70.77,33.5,30.55
20140324,85.97,42.97,29.2
20140325,73.56,30.28,25.62
20140326,81.38,32.82,31.37
20140327,85.58,30.56,30.29
20140328,73.7,29.67,22.71
20140329,43.67,15.74,16.5
20140330,38.73,18.33,23.83
20140331,36.82,20.55,26.72
20140401,75.96,32.14,34.15
20140402,45.09,16.23,18.13
20140403,16.63,8.35,12.25
20140404,22.34,12.82,16.13
20140405,15.52,6.63,9.49
20140406,32.16,18.06,23.21
20140407,49.93,18.7,24.62
20140408,83.19,34.07,37.5
20140409,65.79,28.05,24.81
20140410,24.0,10.86,16.86
20140411,36.43,14.53,27.31
20140412,58.27,24.22,33.73
20140413,57.81,21.54,28.98
20140414,81.17,27.85,27.86
20140415,41.72,9.49,13.49
20140416,41.53,17.37,29.4
20140417,46.08,17.63,25.8
20140418,26.23,10.97,14.42
20140419,25.77,10.7,16.15
20140420,38.99,13.23,19.3
20140421,31.93,11.61,20.12
20140422,42.93,16.49,24.09
20140423,82.04,29.56,27.23
20140424,57.4,22.27,19.46
20140425,42.18,16.34,16.32
20140426,33.3,10.84,13.09
20140427,28.76,7.57,12.68
20140428,33.18,10.28,18.65
20140429,42.35,12.6,22.65
20140430,56.21,25.49,31.7
20140501,71.61,35.79,26.67
20140502,35.14,12.86,12.7
20140503,21.22,12.4,15.28
20140504,14.16,5.49,7.98
20140505,16.65,5.92,10.58
20140506,28.81,14.61,19.95
20140507,38.65,12.77,18.92
20140508,22.33,8.1,14.7
20140509,32.02,12.08,25.46
20140510,36.51,15.02,27.6
20140511,36.06,11.43,25.71
20140512,20.77,8.13,12.91
20140513,52.4,18.96,25.76
20140514,24.33,8.22,12.57
20140515,17.38,6.29,14.72
20140516,21.75,9.07,19.33
20140517,23.29,9.44,18.25
20140518,31.41,17.43,23.33
20140519,49.36,17.48,22.73
20140520,40.36,9.96,14.02
20140521,35.56,10.14,17.41
20140522,49.9,13.45,20.54
20140523,62.95,20.88,19.1
20140524,40.75,15.54,17.9
20140525,28.56,10.29,14.8
20140526,26.89,7.27,12.76
20140527,38.56,13.08,25.64
20140528,32.8,10.06,18.32
20140529,37.56,19.42,26.36
20140530,41.73,14.53,26.78
20140531,58.33,19.96,22.88
20140601,78.22,20.13,21.79
20140602,38.88,11.19,16.75
20140603,32.98,10.12,17.67
20140604,34.12,10.42,18.68
20140605,27.61,11.06,16.62
20140606,24.92,10.28,17.61
20140607,22.8,8.99,17.68
20140608,20.57,8.45,10.9
20140609,28.99,12.51,14.6
20140610,35.43,11.26,13.99
20140611,37.68,10.07,13.13
20140612,25.17,7.96,12.48
20140613,12.46,6.02,12.73
20140614,19.5,10.62,18.1
20140615,30.59,15.57,18.7
20140616,63.01,17.05,18.73
20140617,90.72,18.74,17.19
20140618,54.75,13.38,15.11
20140619,24.27,7.79,11.39
20140620,33.66,9.58,16.63
20140621,34.78,10.41,14.22
20140622,35.91,8.74,14.42
20140623,26.0,8.48,13.57
20140624,33.06,12.59,16.17
20140625,46.5,18.72,14.67
20140626,56.96,15.95,12.25
20140627,23.38,7.24,8.85
20140628,22.14,8.27,10.47
20140629,26.59,7.22,13.09
20140630,37.94,10.22,17.84
20140701,46.32,13.19,14.51
20140702,53.26,12.94,12.84
20140703,68.4,14.02,12.83
20140704,56.79,14.08,12.57
20140705,49.94,14.46,12.13
20140706,35.16,11.53,10.96
20140707,42.11,15.25,15.21
20140708,32.81,11.83,12.44
20140709,26.57,8.6,12.84
20140710,16.92,8.29,15.32
20140711,15.59,6.55,12.08
20140712,15.68,6.08,10.88
20140713,17.96,6.76,12.52
20140714,39.99,13.57,15.51
20140715,63.71,15.85,13.91
20140716,41.9,15.14,10.27
20140717,42.37,13.96,10.53
20140718,57.99,14.85,11.46
20140719,80.61,15.35,13.3
20140720,57.53,16.13,11.43
20140721,27.0,9.75,10.34
20140722,19.53,6.84,16.3
20140723,27.34,14.14,21.69
20140724,27.81,9.41,19.92
20140725,39.6,13.22,24.41
20140726,59.16,8.0,12.71
20140727,73.56,13.03,18.95
20140728,62.71,17.47,13.99
20140729,46.76,14.53,11.51
20140730,36.27,11.23,11.12
20140731,36.28,11.73,14.64
20140801,27.58,10.74,9.2
20140802,25.01,11.69,13.42
20140803,23.16,8.04,10.91
20140804,18.32,7.73,9.84
20140805,13.18,8.02,13.25
20140806,17.5,8.04,14.33
20140807,22.27,7.72,13.88
20140808,28.97,12.01,16.57
20140809,25.59,10.03,15.74
20140810,25.98,10.44,12.68
20140811,27.51,8.83,12.26
20140812,17.43,6.68,12.01
20140813,15.85,8.86,14.3
20140814,29.58,12.06,13.94
20140815,41.82,15.44,15.07
20140816,40.21,13.24,14.06
20140817,59.96,15.8,17.78
20140818,63.25,18.92,18.23
20140819,43.99,16.02,16.19
20140820,55.06,19.82,17.43
20140821,77.29,20.51,16.72
20140822,76.95,16.75,17.99
20140823,65.36,20.89,20.45
20140824,44.83,13.54,12.81
20140825,28.99,9.97,10.55
20140826,24.32,10.78,14.68
20140827,31.29,13.72,19.32
