date,PM2.5,SO2,NO2
20130101,57.18,32.83,17.35
20130102,65.56,29.26,17.48
20130103,48.53,20.49,16.24
20130104,52.83,22.84,10.9
20130105,68.24,25.47,10.94
20130106,83.69,34.26,14.78
20130107,88.45,35.52,12.11
20130108,95.51,37.21,12.59
20130109,121.81,44.2,16.69
20130110,138.95,41.64,19.38
20130111,121.8,45.79,12.33
20130112,115.77,41.51,13.6
20130113,151.29,45.73,17.71
20130114,133.02,43.31,13.68
20130115,136.68,39.22,12.36
20130116,133.13,40.27,13.74
20130117,126.33,39.91,21.94
20130118,98.77,33.31,27.54
20130119,99.16,32.13,22.32
20130120,109.76,32.17,16.47
20130121,91.88,33.87,14.39
20130122,107.09,36.99,14.99
20130123,98.15,38.86,15.35
20130124,64.61,22.81,14.27
20130125,70.25,29.18,19.17
20130126,64.02,29.72,14.87
20130127,90.49,36.19,23.46
20130128,105.32,38.21,21.7
20130129,78.26,29.76,12.02
20130130,98.54,32.08,17.06
20130131,98.16,31.54,15.15
20130201,101.21,31.91,13.43
20130202,146.72,35.92,17.8
20130203,114.88,26.68,14.22
20130204,88.09,24.65,11.95
20130205,89.41,24.5,13.1
20130206,103.24,25.62,15.56
20130207,90.85,25.03,14.33
20130208,30.83,14.51,7.31
20130209,46.11,18.44,6.72
20130210,75.66,23.05,7.39
20130211,74.16,21.83,7.55
20130212,86.11,23.07,8.49
20130213,82.14,24.5,8.09
20130214,82.28,24.54,7.48
20130215,89.25,29.58,8.27
20130216,90.31,26.98,8.82
20130217,80.57,22.47,7.77
20130218,94.91,27.67,12.08
20130219,49.81,20.18,7.24
20130220,48.51,18.42,6.96
20130221,60.25,21.03,8.34
20130222,64.94,21.26,7.53
20130223,67.34,24.16,9.39
20130224,79.54,25.46,9.65
20130225,79.1,22.67,11.41
20130226,92.0,29.12,10.44
20130227,105.91,28.44,9.92
20130228,94.0,24.64,12.5
20130301,78.25,22.16,10.43
20130302,46.42,15.24,7.06
20130303,54.81,19.18,9.49
20130304,60.15,23.28,14.24
20130305,62.63,25.08,15.09
20130306,62.58,22.69,13.13
20130307,55.42,17.96,11.61
20130308,61.59,25.7,12.9
20130309,75.43,25.19,12.61
20130310,64.54,21.13,12.55
20130311,47.45,17.52,7.78
20130312,58.92,19.65,9.14
20130313,61.95,20.94,9.77
20130314,68.1,25.13,10.73
20130315,76.34,25.91,10.64
20130316,74.61,22.79,9.54
20130317,75.29,27.78,8.95
20130318,63.65,24.19,11.22
20130319,58.14,21.73,9.72
20130320,53.21,18.66,11.33
20130321,60.82,23.59,10.39
20130322,54.42,22.88,7.55
20130323,49.85,24.47,8.38
20130324,53.19,25.14,8.7
20130325,53.59,26.92,10.82
20130326,46.55,23.87,8.48
20130327,51.88,27.29,11.47
20130328,50.35,22.44,9.35
20130329,46.11,23.61,9.43
20130330,49.05,23.18,7.12
20130331,56.28,24.09,8.61
20130401,58.76,23.29,7.58
20130402,55.73,24.2,10.13
20130403,52.49,22.15,7.51
20130404,55.76,20.19,8.37
20130405,40.72,12.89,6.01
20130406,36.56,11.39,4.95
20130407,38.47,15.91,8.41
20130408,42.61,16.59,9.3
20130409,48.51,14.99,9.06
20130410,48.77,15.38,8.01
20130411,39.06,15.59,7.21
20130412,49.86,18.78,8.56
20130413,50.32,20.45,7.66
20130414,52.02,23.51,9.81
20130415,49.07,19.44,9.34
20130416,50.01,17.25,7.91
20130417,52.87,21.3,9.61
20130418,54.05,19.9,9.66
20130419,54.47,22.63,10.75
20130420,44.04,20.6,8.49
20130421,42.65,20.75,6.6
20130422,47.49,19.19,6.13
20130423,51.19,19.85,6.18
20130424,52.99,19.7,7.88
20130425,56.45,16.53,7.78
20130426,55.44,17.86,8.66
20130427,52.19,20.36,11.22
20130428,51.99,16.85,9.78
20130429,38.64,16.78,9.93
20130430,33.28,14.1,6.83
20130501,37.77,13.75,8.18
20130502,39.26,13.19,6.54
20130503,48.99,16.34,12.95
20130504,47.6,16.93,12.25
20130505,46.44,17.31,8.41
20130506,57.25,18.28,9.16
20130507,54.32,20.35,9.8
20130508,58.26,21.05,13.5
20130509,48.41,18.03,11.16
20130510,41.56,15.8,11.81
20130511,50.22,19.09,15.26
20130512,52.97,23.81,16.48
20130513,53.38,20.22,15.92
20130514,39.92,12.82,8.67
20130515,49.61,16.51,8.03
20130516,44.82,14.51,7.27
20130517,43.16,13.65,9.54
20130518,44.27,17.67,9.6
20130519,57.74,19.56,13.67
20130520,57.16,18.02,13.45
20130521,56.71,17.64,15.07
20130522,46.13,17.82,13.81
20130523,44.92,19.2,15.51
20130524,41.06,14.73,12.19
20130525,44.08,14.34,9.74
20130526,52.74,21.66,10.09
20130527,50.05,18.76,11.6
20130528,37.77,14.21,9.56
20130529,25.79,10.2,9.05
20130530,41.12,16.64,10.84
20130531,50.64,19.02,15.49
20130601,52.93,20.39,17.72
20130602,54.67,16.58,17.16
20130603,49.04,16.57,13.86
20130604,46.94,18.26,13.99
20130605,54.08,17.37,11.34
20130606,40.54,15.08,8.09
20130607,42.49,16.34,10.05
20130608,39.56,14.38,10.54
20130609,25.92,12.85,8.71
20130610,25.12,13.16,9.28
20130611,34.4,14.73,12.0
20130612,37.83,16.08,13.09
20130613,38.68,15.0,8.67
20130614,42.67,15.55,8.47
20130615,40.65,15.41,8.99
20130616,30.85,12.86,10.12
20130617,33.22,14.34,10.85
20130618,36.29,15.31,8.53
20130619,40.11,12.99,8.89
20130620,37.46,11.58,8.08
20130621,46.4,18.7,7.25
20130622,58.96,23.54,8.94
20130623,63.48,24.54,9.32
20130624,53.91,22.13,9.48
20130625,48.09,21.53,8.79
20130626,58.33,23.98,10.78
20130627,42.27,18.09,11.01
20130628,47.29,17.53,10.61
20130629,48.18,19.39,10.06
20130630,28.78,12.47,8.52
20130701,20.12,9.87,9.7
20130702,20.06,8.85,8.57
20130703,20.14,10.6,8.41
20130704,20.31,12.43,8.23
20130705,26.05,13.78,10.2
20130706,37.91,16.08,10.83
20130707,39.14,16.89,9.4
20130708,24.88,11.12,8.95
20130709,15.34,8.92,7.94
20130710,16.78,9.34,7.98
20130711,20.72,10.73,8.43
20130712,21.06,12.3,8.73
20130713,27.12,12.41,11.75
20130714,36.52,14.89,12.8
20130715,35.29,15.98,12.58
20130716,32.69,16.95,13.37
20130717,33.84,13.31,10.25
20130718,26.85,11.93,10.4
20130719,25.31,11.49,9.95
20130720,28.12,13.98,9.95
20130721,32.83,14.65,8.52
20130722,17.76,11.75,6.84
20130723,19.74,11.7,9.54
20130724,19.79,12.0,9.31
20130725,17.93,12.4,8.29
20130726,24.79,12.3,10.19
20130727,25.08,12.34,10.33
20130728,26.27,13.17,9.59
20130729,24.19,15.01,9.89
20130730,32.92,22.09,10.65
20130731,32.28,18.01,10.01
20130801,21.1,12.07,9.71
20130802,30.37,14.87,12.31
20130803,28.05,11.89,11.19
20130804,21.64,12.6,8.84
20130805,19.81,14.93,8.61
20130806,20.42,12.99,8.97
20130807,16.47,11.4,6.56
20130808,19.51,11.92,7.2
20130809,30.83,18.6,11.41
20130810,29.21,15.85,11.13
20130811,25.64,13.66,9.98
20130812,20.58,10.84,8.93
20130813,27.43,13.6,10.88
20130814,40.23,15.84,13.77
20130815,33.25,13.93,12.44
20130816,25.97,13.84,9.51
20130817,26.62,13.34,10.46
20130818,33.19,16.68,10.74
20130819,40.47,17.72,13.24
20130820,41.0,16.69,10.74
20130821,34.87,13.22,9.04
20130822,36.09,13.69,10.82
20130823,37.94,14.79,9.44
20130824,41.66,20.6,14.23
20130825,43.5,19.79,9.58
20130826,50.12,20.98,10.98
20130827,40.45,20.12,11.49
20130828,36.31,18.22,9.12
20130829,33.6,13.92,9.57
20130830,37.16,16.53,14.02
20130831,33.93,16.55,10.2
20130901,38.92,18.82,9.58
20130902,40.63,18.75,9.3
20130903,39.26,19.72,9.83
20130904,40.24,22.34,9.48
20130905,43.42,21.63,10.58
20130906,48.91,23.23,11.71
