date,PM2.5,SO2,NO2
20130101,28.33,17.12,10.64
20130102,36.47,26.84,16.12
20130103,27.86,22.98,14.02
20130104,64.09,40.82,19.18
20130105,87.08,46.63,21.75
20130106,98.03,43.54,22.35
20130107,84.35,31.8,18.16
20130108,63.6,24.76,17.1
20130109,70.09,34.55,19.7
20130110,118.74,47.41,24.1
20130111,60.4,22.92,12.1
20130112,72.63,33.26,16.98
20130113,105.98,41.45,18.15
20130114,134.56,47.95,23.3
20130115,41.91,21.77,12.47
20130116,38.28,22.37,15.67
20130117,70.56,39.38,28.36
20130118,127.95,51.67,34.49
20130119,173.51,64.6,34.78
20130120,122.93,38.48,23.26
20130121,35.6,20.43,13.58
20130122,58.57,27.3,18.9
20130123,49.01,18.27,15.59
20130124,14.0,11.21,9.05
20130125,24.21,15.76,12.57
20130126,28.6,17.67,15.08
20130127,48.38,26.48,20.1
20130128,77.07,35.8,20.19
20130129,91.54,39.5,18.76
20130130,137.67,46.73,24.63
20130131,118.54,35.31,20.78
20130201,96.62,27.11,19.69
20130202,122.12,39.38,28.28
20130203,104.8,30.12,22.22
20130204,66.5,24.26,18.94
20130205,62.69,25.4,17.87
20130206,78.03,27.88,19.54
20130207,80.91,32.13,21.91
20130208,54.13,25.54,16.27
20130209,77.34,25.08,13.3
20130210,142.02,35.77,17.43
20130211,122.94,34.43,18.48
20130212,45.93,17.83,9.88
20130213,50.06,25.61,12.86
20130214,43.61,21.75,11.39
20130215,43.29,25.03,13.36
20130216,120.97,34.84,18.12
20130217,72.39,25.49,14.23
20130218,51.32,20.63,14.6
20130219,49.04,22.04,13.61
20130220,45.6,20.46,12.62
20130221,53.75,22.83,16.37
20130222,46.3,20.8,15.46
20130223,95.94,33.41,24.24
20130224,135.6,41.41,24.88
20130225,113.3,33.38,17.88
20130226,100.99,31.09,18.63
20130227,145.15,42.96,22.44
20130228,110.92,26.83,18.09
20130301,28.18,17.67,11.79
20130302,35.17,21.35,13.08
20130303,31.47,10.0,9.15
20130304,39.11,17.7,12.49
20130305,53.47,25.08,14.89
20130306,54.3,11.72,9.02
20130307,47.5,9.64,10.04
20130308,51.84,15.82,11.86
20130309,90.28,12.01,8.8
20130310,48.26,16.15,11.38
20130311,47.02,23.98,14.57
20130312,64.43,15.71,10.83
20130313,83.71,25.27,19.78
20130314,66.06,25.26,17.01
20130315,74.9,28.43,18.43
20130316,95.66,36.24,22.86
20130317,70.45,20.87,12.43
20130318,57.17,8.06,9.38
20130319,62.67,10.5,10.3
20130320,39.64,15.59,14.66
20130321,59.97,22.18,15.85
20130322,41.95,18.52,17.24
20130323,54.79,16.39,14.2
20130324,41.82,19.1,13.47
20130325,55.25,26.17,19.49
20130326,37.98,13.86,12.48
20130327,29.95,12.24,11.87
20130328,37.05,18.03,16.97
20130329,69.24,26.24,20.33
20130330,55.87,19.45,14.93
20130331,97.51,28.25,22.4
20130401,52.48,11.9,12.15
20130402,38.21,20.94,18.38
20130403,54.25,23.77,15.49
20130404,77.09,21.08,16.24
20130405,67.13,5.96,5.58
20130406,29.19,8.13,10.08
20130407,53.11,11.62,10.25
20130408,54.19,6.71,7.73
20130409,32.74,6.48,7.48
20130410,27.5,7.53,10.7
20130411,26.15,10.65,14.23
20130412,30.65,13.34,13.28
20130413,35.68,11.81,8.27
20130414,42.57,11.39,9.01
20130415,60.34,14.14,7.86
20130416,59.8,9.73,8.1
20130417,57.5,17.89,14.34
20130418,70.6,24.31,15.99
20130419,53.77,20.36,15.07
20130420,57.58,20.22,14.05
20130421,69.2,22.98,13.88
20130422,79.89,21.46,14.88
20130423,71.2,11.8,8.65
20130424,52.05,8.49,10.49
20130425,43.49,10.66,11.71
20130426,44.69,16.67,13.15
20130427,43.2,17.12,9.73
20130428,58.75,13.66,11.36
20130429,39.08,13.01,12.19
20130430,29.08,11.62,8.61
20130501,35.47,14.91,13.31
20130502,36.73,14.91,11.4
20130503,36.17,15.57,10.49
20130504,59.82,24.18,15.88
20130505,62.22,21.7,10.95
20130506,64.37,23.25,11.28
20130507,68.73,24.55,12.05
20130508,62.28,20.74,11.06
20130509,41.3,8.13,6.53
20130510,33.04,7.7,8.18
20130511,27.34,9.93,8.0
20130512,43.35,12.86,7.86
20130513,60.45,13.24,7.73
20130514,51.91,14.79,10.0
20130515,59.3,22.2,14.85
20130516,55.78,18.67,10.93
20130517,52.62,14.35,9.05
20130518,45.3,12.06,6.97
20130519,61.02,7.81,6.63
20130520,52.75,10.91,9.83
20130521,41.65,14.29,8.91
