date,PM2.5,SO2,NO2
20130101,1.76,0.54,0.57
20130102,2.24,0.86,0.88
20130103,3.55,1.41,1.08
20130104,3.35,1.12,0.94
20130105,2.98,0.9,0.88
20130106,3.91,1.26,1.14
20130107,2.78,0.83,0.87
20130108,2.84,1.0,1.01
20130109,1.7,0.72,0.76
20130110,1.11,0.55,0.6
20130111,1.15,0.65,0.64
20130112,0.84,0.58,0.6
20130113,0.94,0.68,0.67
20130114,2.31,1.1,1.0
20130115,1.54,0.77,0.74
20130116,1.79,0.91,0.83
20130117,1.91,1.1,0.84
20130118,3.74,1.33,0.78
20130119,6.19,1.96,0.9
20130120,5.71,1.81,0.86
20130121,4.61,1.33,0.86
20130122,1.7,0.49,0.54
20130123,0.89,0.5,0.54
20130124,1.09,0.57,0.61
20130125,1.84,0.89,0.83
20130126,1.37,0.68,0.7
20130127,1.47,0.71,0.8
20130128,0.99,0.49,0.6
20130129,1.17,0.7,0.71
20130130,0.96,0.52,0.59
20130131,1.01,0.49,0.56
20130201,1.16,0.61,0.62
20130202,2.14,1.2,0.94
20130203,1.57,0.81,0.72
20130204,2.12,0.91,0.88
20130205,2.04,0.86,0.68
20130206,6.79,1.85,0.82
20130207,5.66,1.58,0.76
20130208,5.08,1.74,0.85
20130209,1.43,0.52,0.42
20130210,1.51,0.8,0.58
20130211,1.67,0.89,0.56
20130212,1.56,0.72,0.59
20130213,1.61,0.79,0.61
20130214,1.36,0.6,0.53
20130215,0.94,0.52,0.47
20130216,2.3,1.13,0.7
20130217,5.02,1.78,0.84
20130218,3.64,1.36,0.74
20130219,1.88,0.52,0.48
20130220,2.09,0.75,0.67
20130221,2.02,0.66,0.64
20130222,1.1,0.49,0.54
20130223,2.0,0.86,0.68
20130224,2.84,0.93,0.59
20130225,3.88,1.04,0.68
20130226,4.97,1.17,0.81
20130227,3.46,0.9,0.69
20130228,7.23,0.97,0.57
20130301,5.66,1.02,0.63
20130302,4.4,0.81,0.6
20130303,1.52,0.49,0.48
20130304,1.03,0.43,0.51
20130305,3.81,0.49,0.58
20130306,4.12,0.3,0.44
20130307,1.8,0.38,0.54
20130308,2.71,0.55,0.62
20130309,9.77,0.57,0.65
20130310,9.84,0.92,0.8
20130311,27.08,1.02,0.71
20130312,13.22,0.54,0.49
20130313,5.83,0.64,0.62
20130314,6.23,1.25,0.89
20130315,12.53,1.24,0.81
20130316,11.73,1.57,0.71
20130317,5.85,0.88,0.5
20130318,4.6,0.59,0.55
20130319,4.79,0.66,0.58
20130320,4.17,0.61,0.57
20130321,6.77,0.47,0.48
20130322,7.02,0.54,0.48
20130323,8.06,0.57,0.52
20130324,10.34,0.53,0.55
20130325,12.55,0.54,0.46
20130326,5.59,0.54,0.49
20130327,8.88,0.94,0.66
20130328,7.95,0.72,0.55
20130329,6.72,0.59,0.51
20130330,5.26,0.6,0.57
20130331,7.56,0.96,0.64
20130401,7.76,0.97,0.59
20130402,6.52,0.99,0.69
20130403,12.02,0.83,0.62
20130404,19.29,0.61,0.53
20130405,13.46,0.47,0.43
20130406,3.99,0.47,0.54
20130407,12.59,0.36,0.43
20130408,14.81,0.36,0.41
20130409,10.6,0.45,0.48
20130410,7.9,0.56,0.62
20130411,8.88,0.8,0.66
20130412,12.16,0.89,0.64
20130413,7.19,0.67,0.53
20130414,6.49,0.59,0.59
20130415,14.05,0.65,0.58
20130416,10.66,0.53,0.57
20130417,14.06,0.92,0.67
20130418,53.69,1.14,0.59
20130419,25.73,0.54,0.44
20130420,20.81,0.77,0.63
20130421,16.6,1.04,0.66
20130422,21.8,1.02,0.48
20130423,9.76,0.59,0.51
20130424,9.55,0.79,0.61
20130425,9.06,0.81,0.67
20130426,11.06,0.67,0.63
20130427,19.26,0.67,0.59
20130428,28.41,0.99,0.62
20130429,20.97,1.16,0.71
20130430,24.27,1.0,0.64
20130501,24.42,0.92,0.54
20130502,25.02,1.53,0.59
20130503,21.47,1.92,0.71
