date,PM2.5,SO2,NO2
20130101,30.47,9.08,32.98
20130102,41.97,9.69,38.32
20130103,38.55,11.2,25.88
20130104,22.36,8.5,21.22
20130105,25.01,7.62,23.41
20130106,29.92,10.15,25.32
20130107,34.11,9.31,33.0
20130108,45.83,12.8,40.71
20130109,39.12,12.65,26.64
20130110,44.37,13.16,23.33
20130111,41.01,11.0,33.18
20130112,49.15,12.58,39.9
20130113,49.03,14.72,42.37
20130114,30.36,7.35,23.5
20130115,26.92,5.14,27.52
20130116,41.48,7.19,47.45
20130117,39.27,10.26,31.94
20130118,46.6,10.58,22.68
20130119,28.25,5.79,23.52
20130120,18.86,3.4,27.65
20130121,17.21,3.86,29.79
20130122,29.82,9.27,46.35
20130123,47.01,9.78,29.27
20130124,51.72,7.89,38.26
20130125,40.83,10.6,26.18
20130126,59.87,8.33,23.43
20130127,43.47,8.61,23.26
20130128,32.12,7.11,17.11
20130129,18.29,4.38,26.24
20130130,20.14,4.32,21.44
20130131,22.08,3.52,19.5
20130201,20.03,4.35,35.75
20130202,25.25,6.13,32.59
20130203,21.23,3.44,18.66
20130204,22.88,3.82,42.9
20130205,20.04,4.57,36.19
20130206,12.86,3.58,16.85
20130207,16.25,3.28,12.95
20130208,8.63,5.21,13.52
20130209,11.0,5.6,11.04
20130210,32.17,7.32,15.0
20130211,18.19,4.45,8.92
20130212,19.97,5.21,9.03
20130213,13.99,5.22,11.25
20130214,22.18,4.07,17.88
20130215,26.11,7.03,28.05
20130216,17.04,4.63,10.22
20130217,24.5,3.29,15.33
20130218,19.52,3.04,29.42
20130219,19.19,5.88,29.41
20130220,16.38,6.26,15.77
20130221,21.08,5.87,21.11
20130222,20.22,8.02,21.62
20130223,19.15,6.06,12.7
20130224,28.71,4.63,14.45
20130225,24.62,3.16,15.05
20130226,24.58,3.33,26.09
20130227,23.34,5.88,35.75
20130228,13.21,4.19,16.66
20130301,17.92,2.33,23.3
20130302,16.68,6.7,24.7
20130303,22.27,8.34,17.67
20130304,24.51,9.7,21.61
20130305,23.58,5.94,19.65
20130306,24.86,5.21,22.64
20130307,29.11,6.15,44.4
20130308,37.97,9.0,61.08
20130309,25.08,4.99,37.88
20130310,15.7,3.73,33.52
20130311,17.91,3.9,20.39
20130312,17.42,3.32,15.28
20130313,18.39,3.54,39.91
20130314,25.72,7.21,25.69
20130315,25.39,4.89,13.77
20130316,21.65,3.84,13.19
20130317,17.44,2.87,20.05
20130318,18.44,7.15,28.39
20130319,14.27,2.95,23.42
20130320,12.43,2.99,23.96
20130321,24.54,4.27,29.48
20130322,25.39,3.25,19.78
20130323,20.07,2.94,26.53
20130324,17.1,6.46,28.32
20130325,22.23,6.94,17.91
20130326,20.42,2.59,16.09
20130327,16.19,5.25,30.06
20130328,15.63,3.23,26.65
20130329,16.75,3.09,28.34
20130330,12.83,2.49,13.08
20130331,13.62,3.62,19.46
20130401,15.44,3.24,18.18
20130402,19.02,3.19,34.18
20130403,29.97,3.46,13.73
20130404,21.01,2.16,13.83
20130405,7.62,3.77,17.98
20130406,15.74,7.36,17.47
20130407,21.77,6.91,14.03
20130408,25.07,4.7,21.84
20130409,18.7,3.34,24.53
20130410,28.27,5.22,21.53
20130411,29.51,5.71,27.6
20130412,22.79,4.98,19.41
20130413,21.51,5.37,29.58
20130414,59.84,22.67,67.61
20130415,63.54,12.17,47.13
20130416,34.23,4.71,24.59
20130417,19.86,3.6,30.09
20130418,15.7,3.33,26.04
20130419,12.33,2.98,20.09
20130420,10.57,2.48,17.57
20130421,15.85,4.54,20.66
20130422,17.62,3.06,11.04
20130423,18.58,2.78,19.19
20130424,16.68,3.58,31.07
20130425,16.64,5.74,25.46
20130426,15.59,4.64,20.92
20130427,36.13,4.05,13.48
20130428,20.29,2.28,13.86
20130429,12.63,1.9,14.52
20130430,11.98,3.03,24.04
20130501,17.15,7.83,22.82
20130502,13.79,3.86,11.99
20130503,21.73,4.4,22.2
20130504,24.98,4.78,20.81
20130505,19.56,3.59,17.37
20130506,17.53,3.0,15.0
20130507,15.03,2.45,14.38
20130508,10.9,2.22,15.62
20130509,8.39,2.59,17.01
20130510,10.2,3.98,23.37
20130511,26.53,12.07,38.86
20130512,26.33,6.11,25.87
20130513,15.98,4.02,16.4
20130514,11.9,2.19,17.92
20130515,5.76,2.01,11.79
20130516,4.64,3.07,18.38
20130517,15.85,4.07,33.15
20130518,7.49,4.86,18.8
20130519,6.14,5.21,11.93
20130520,8.08,3.59,15.06
20130521,6.73,4.73,20.42
20130522,5.72,4.41,23.18
20130523,11.46,5.15,24.68
20130524,10.71,5.73,22.49
20130525,4.09,1.91,15.49
20130526,3.04,2.89,10.53
20130527,4.11,5.03,11.58
20130528,4.56,3.8,13.43
20130529,4.4,1.9,14.62
20130530,5.51,2.97,16.47
20130531,7.31,6.64,16.5
20130601,7.35,4.33,15.01
20130602,7.06,5.32,14.78
20130603,8.99,6.52,17.93
20130604,6.55,4.5,12.47
20130605,4.51,1.89,15.27
20130606,4.26,1.36,14.26
20130607,5.27,2.86,9.92
20130608,5.74,4.44,8.91
20130609,4.24,4.55,10.04
20130610,5.8,4.21,17.22
20130611,12.53,5.17,19.95
20130612,15.91,5.96,12.14
20130613,14.2,4.81,13.69
20130614,10.03,4.44,14.32
20130615,4.89,1.68,10.86
20130616,3.97,1.64,7.84
20130617,2.55,1.62,9.04
20130618,2.72,1.93,12.68
20130619,7.55,4.94,20.19
20130620,11.86,6.33,21.97
20130621,9.08,2.82,10.53
20130622,4.16,2.06,7.68
20130623,2.01,1.68,7.77
20130624,2.5,2.84,10.31
20130625,4.71,4.21,7.68
20130626,5.0,4.5,6.25
20130627,4.99,4.53,6.98
20130628,3.96,3.73,6.27
20130629,3.6,2.33,6.35
20130630,3.6,1.69,8.66
20130701,3.23,1.87,7.96
20130702,1.26,1.56,6.27
20130703,1.77,1.66,8.77
20130704,3.0,2.46,10.76
20130705,4.26,3.56,11.4
20130706,3.75,2.66,9.68
20130707,1.71,1.77,7.87
20130708,2.51,1.46,9.51
20130709,4.86,1.85,13.08
20130710,5.81,1.43,15.03
20130711,7.7,3.41,16.06
20130712,18.11,7.71,22.67
20130713,24.04,9.36,22.99
20130714,6.59,3.76,7.68
20130715,2.38,1.32,10.83
20130716,1.95,1.3,12.68
20130717,2.91,1.48,10.63
20130718,7.97,2.82,16.78
20130719,4.35,1.96,9.58
20130720,1.84,1.44,8.63
20130721,2.48,1.58,7.8
20130722,2.55,1.6,8.27
20130723,3.22,1.68,10.82
20130724,2.68,1.54,11.51
20130725,1.37,1.36,9.69
20130726,1.71,1.35,10.81
20130727,1.5,1.56,9.21
20130728,1.54,1.52,10.25
20130729,2.92,1.9,13.8
20130730,5.72,2.16,14.88
20130731,2.72,1.58,9.32
20130801,4.25,2.24,8.99
20130802,4.1,2.11,9.27
20130803,1.4,1.4,8.03
20130804,2.17,1.98,12.56
20130805,7.62,5.73,24.69
20130806,3.93,2.42,16.1
20130807,1.81,1.73,9.4
20130808,1.98,1.93,12.74
20130809,8.56,4.85,20.43
20130810,15.17,7.65,25.83
20130811,9.73,2.26,16.52
20130812,8.9,2.88,16.36
20130813,12.52,3.74,14.03
20130814,3.88,1.61,4.41
20130815,2.7,1.88,5.94
20130816,2.95,2.08,8.79
20130817,3.42,2.26,10.65
20130818,4.07,1.4,13.14
20130819,5.68,2.27,18.15
20130820,23.59,7.29,37.77
20130821,39.9,9.73,43.75
20130822,36.76,10.43,32.26
20130823,13.08,4.22,12.94
20130824,3.8,1.89,10.6
20130825,2.8,1.45,12.1
20130826,4.18,2.05,18.21
20130827,9.47,5.16,22.9
20130828,11.65,5.9,24.41
20130829,13.18,6.75,22.01
20130830,18.11,6.42,26.06
20130831,21.44,6.16,34.41
20130901,20.11,5.74,32.03
20130902,14.61,6.0,19.15
20130903,6.03,4.02,22.47
20130904,6.31,2.16,12.62
20130905,12.27,2.6,12.17
20130906,13.81,3.29,12.41
20130907,17.86,4.06,18.05
20130908,15.24,3.85,13.73
20130909,14.64,3.74,10.8
20130910,15.03,3.4,12.25
20130911,16.17,3.15,11.69
20130912,16.45,3.65,12.05
20130913,11.88,3.18,16.25
20130914,9.49,2.85,16.17
20130915,19.32,4.78,27.23
20130916,13.49,3.73,13.07
20130917,19.49,4.35,10.3
20130918,11.83,3.7,10.63
20130919,12.63,3.69,13.42
20130920,17.08,6.31,23.93
20130921,22.55,7.32,19.87
20130922,19.0,7.96,20.04
20130923,25.18,4.27,10.0
20130924,10.84,2.23,7.54
20130925,9.26,3.73,13.51
20130926,19.22,5.99,16.19
20130927,19.87,5.22,13.95
20130928,26.09,5.22,18.12
20130929,32.42,5.92,17.28
20130930,28.66,5.21,23.33
20131001,26.83,5.22,18.25
20131002,28.48,7.28,20.96
20131003,39.75,10.38,19.58
20131004,49.82,8.39,19.17
20131005,38.59,8.28,26.77
20131006,35.86,12.8,30.56
20131007,30.7,9.47,17.62
20131008,47.57,7.77,18.52
20131009,20.25,5.56,16.02
20131010,18.12,4.39,21.0
20131011,25.47,6.66,25.19
20131012,24.7,5.47,13.98
20131013,18.82,4.5,10.39
20131014,15.69,4.7,16.5
20131015,23.23,6.16,15.03
20131016,52.77,7.25,14.05
20131017,34.24,6.87,16.59
20131018,28.44,7.52,19.35
20131019,40.34,11.77,22.75
20131020,51.39,11.99,22.46
20131021,52.56,10.13,19.34
20131022,42.37,10.24,20.22
20131023,52.14,13.58,27.1
20131024,40.62,13.27,26.75
