date,PM2.5,SO2,NO2
20130101,36.78,9.38,11.39
20130102,28.51,7.78,9.81
20130103,16.72,6.75,6.93
20130104,24.43,9.46,11.3
20130105,20.43,8.27,9.8
20130106,24.5,6.46,8.49
20130107,38.84,7.05,10.63
20130108,31.74,8.94,11.16
20130109,37.04,9.64,11.04
20130110,34.23,9.09,11.64
20130111,40.38,11.62,15.58
20130112,37.44,10.49,13.66
20130113,47.18,11.95,15.07
20130114,42.07,9.78,12.32
20130115,43.86,8.5,11.61
20130116,46.45,8.67,11.42
20130117,43.24,8.58,10.37
20130118,36.04,10.99,13.53
20130119,42.03,8.78,10.71
20130120,63.09,9.74,12.78
20130121,41.8,10.18,12.27
20130122,39.16,9.91,11.25
20130123,48.15,11.72,14.53
20130124,26.86,7.48,9.01
20130125,7.98,3.63,4.67
20130126,12.85,4.54,6.01
20130127,27.87,8.53,10.03
20130128,46.81,13.48,15.6
20130129,61.96,15.67,16.9
20130130,59.09,14.32,17.93
20130131,57.47,14.4,16.07
20130201,32.38,9.94,9.57
20130202,10.35,5.28,6.44
20130203,17.67,6.99,8.85
20130204,21.07,7.23,8.52
20130205,26.87,9.16,11.75
20130206,30.19,8.29,10.6
20130207,16.43,4.94,6.7
20130208,14.11,5.04,6.19
20130209,26.75,9.75,10.19
20130210,42.05,9.41,10.4
20130211,26.72,9.41,9.62
20130212,41.39,13.67,15.07
20130213,44.43,13.7,15.34
20130214,23.5,7.73,9.68
20130215,20.6,6.43,8.14
20130216,30.24,10.97,12.66
20130217,36.06,10.84,12.93
20130218,21.55,8.47,7.95
20130219,16.76,7.99,7.13
20130220,12.9,6.75,6.68
20130221,21.43,9.97,9.31
20130222,22.69,9.15,9.5
20130223,13.52,7.02,7.09
20130224,15.14,6.5,6.3
20130225,33.42,10.45,11.2
20130226,53.54,16.23,17.92
20130227,55.69,15.01,15.03
20130228,40.63,10.49,11.4
20130301,18.08,5.77,5.26
20130302,12.37,5.62,5.87
20130303,29.65,10.11,12.28
20130304,43.96,12.18,15.28
20130305,43.01,12.56,17.33
20130306,33.33,10.13,14.09
20130307,8.14,4.31,5.97
20130308,7.35,4.0,5.23
20130309,9.43,4.24,6.87
20130310,8.14,4.06,4.77
20130311,26.42,10.14,11.47
20130312,18.27,6.45,9.02
20130313,7.71,3.83,5.1
20130314,17.68,7.8,9.71
20130315,14.6,5.67,7.42
20130316,16.24,6.57,8.48
20130317,16.2,6.99,8.23
20130318,8.79,4.52,6.59
20130319,10.28,5.13,6.11
20130320,9.63,4.88,5.8
20130321,15.4,6.98,8.36
20130322,9.22,4.85,5.24
20130323,11.63,4.33,6.65
20130324,14.42,5.14,7.45
20130325,12.27,5.06,7.45
20130326,26.59,9.89,13.22
20130327,12.57,5.52,7.1
20130328,7.83,4.09,5.21
20130329,10.4,4.26,5.75
20130330,12.43,5.14,6.88
20130331,18.05,7.04,8.25
20130401,16.81,6.91,8.86
20130402,19.39,6.56,9.44
20130403,7.71,3.96,4.64
20130404,5.87,2.74,4.47
20130405,9.55,3.51,6.95
20130406,8.26,3.13,4.79
20130407,7.4,2.71,4.06
20130408,7.13,2.4,3.66
20130409,4.74,2.26,3.49
20130410,4.63,2.36,4.08
20130411,5.54,2.48,4.34
20130412,7.92,3.8,5.64
20130413,6.43,3.45,4.68
20130414,4.35,2.24,3.14
20130415,4.34,2.64,3.55
20130416,5.47,3.07,3.99
20130417,6.87,3.14,4.3
20130418,7.71,2.69,4.07
20130419,4.91,2.08,3.44
20130420,5.51,2.1,3.92
20130421,6.7,2.56,4.44
20130422,19.66,6.25,9.51
20130423,33.04,8.92,9.12
20130424,30.62,8.09,7.4
20130425,19.95,4.84,5.13
20130426,7.28,2.39,4.49
20130427,11.3,3.45,6.63
20130428,22.44,7.1,9.07
20130429,15.01,4.21,6.9
20130430,6.24,1.96,3.62
20130501,4.88,1.71,4.02
20130502,4.87,1.58,3.72
20130503,6.27,1.66,4.39
20130504,9.63,3.06,6.86
20130505,10.03,3.09,5.35
20130506,7.3,2.11,4.41
20130507,13.55,4.45,8.15
20130508,36.28,11.78,11.9
20130509,28.31,7.6,8.94
20130510,24.77,6.35,7.44
20130511,21.52,4.39,5.32
20130512,20.06,4.49,4.92
20130513,18.56,4.17,4.64
20130514,19.14,4.17,4.52
20130515,17.86,3.56,3.53
20130516,16.9,3.81,5.42
20130517,25.98,7.27,6.7
20130518,29.93,6.73,5.88
20130519,33.78,7.6,5.65
20130520,18.06,3.97,3.54
20130521,19.51,4.37,4.22
20130522,15.13,3.49,4.76
20130523,15.5,4.51,6.96
20130524,11.58,2.86,4.47
20130525,14.25,3.28,5.37
20130526,27.73,5.87,5.74
20130527,21.97,4.68,5.67
20130528,14.62,4.15,5.86
20130529,10.37,3.0,5.02
20130530,7.43,2.2,3.84
20130531,30.18,7.85,8.3
20130601,18.01,4.74,4.28
20130602,11.65,2.59,4.41
20130603,14.6,2.97,4.96
20130604,16.73,3.68,4.06
20130605,24.33,5.37,4.7
20130606,33.25,8.23,5.51
20130607,33.87,9.75,5.48
20130608,18.75,5.54,4.72
20130609,17.93,4.4,4.37
20130610,15.87,3.92,3.98
20130611,18.53,4.05,5.21
20130612,20.72,3.73,4.52
20130613,21.01,5.27,4.31
20130614,36.72,11.69,5.31
20130615,42.93,12.08,4.81
20130616,34.37,8.7,4.41
20130617,20.68,4.79,3.58
20130618,16.42,3.24,3.63
20130619,18.39,3.43,3.72
20130620,20.85,3.35,3.82
20130621,18.9,3.21,3.82
20130622,12.73,2.47,3.22
20130623,11.55,2.63,3.65
20130624,17.03,4.1,4.59
20130625,25.87,6.22,4.06
20130626,32.46,6.73,4.34
20130627,25.05,4.84,3.62
20130628,20.16,4.52,3.55
20130629,26.19,5.94,3.83
20130630,38.22,8.3,4.4
20130701,37.66,7.93,4.11
